,feature_ugly,feature_pretty
46,Hemiplegia or paraplegia,Hemiplegia or paraplegia
47,Discharge systolic bp,Systolic BP on discharge
48,Mcv admit value,MCV value on admission
49,Rdw discharge value,RDW value on discharge
50,Neut admit value,Neutrophil value on admission
51,Rbc admit value,RBC value on admission
52,Wbc discharge value,WBC count on discharge
53,Anxiety,Anxiety
54,Admissiontime hospital burden,Number of other patients admitted on same day
55,Lymph admit value,Lymphocyte value on admission
56,Dischargedonopiate,Discharged with opiate prescription
57,Abs neut anc discharge value,ANC value on discharge
58,Length of stay of last admission,Length of stay of last admission
59,Acs female householder no husband present,"ACS Number of families with female householder, no husband present"
60,Ondialysis,On dialysis
61,Medsonadmitdate,Medications administered in hospital on day of admission
62,Hospital transfer description,Hospital transfer description
63,Temperature discharge,Temperature on discharge
64,Platelet count admit value,Platelet count on admission
65,Egfr aa discharge value,"EGFR, AA discharge value"
66,Tpn,Received TPN
67,Hematocrit admit value,Hematocrit value on admission
68,Dischargetime hour of day,Discharge hour of day
69,B01002 001e,ACS Median age
70,B11001 009e,B11001 009e
71,B25010 001e,"ACS Average size of households, renters and owners"
72,Mcv discharge value,MCV value on discharge
73,B02001 008e,B02001 008e
74,Dementia,Dementia
75,Abs lymph admit value,Abs lymph admit value
76,B11001 005e,"ACS Number of families with male householder, no wife present"
77,Creatinine discharge value,Creatinine value on discharge
78,Egfr aa admit value,Egfr aa admit value
79,Neut discharge value,Neut discharge value
80,Rbc discharge value,Rbc discharge value
81,Lymph discharge value,Lymph discharge value
82,Medsfirst24hours,Medications administered in the first 24 hours
83,Platelet count discharge value,Platelet count discharge value
84,Creatinine admit value,Creatinine value on admission
85,B01002 002e,ACS Median age of males
86,Dischargetime weekofyear,Dischargetime weekofyear
87,Length of stay over 3 days,Length of stay over 3 days
88,Diabetes without chronic complication,Diabetes without chronic complication
89,Peripheral vascular disease,Peripheral vascular disease
90,Hematocrit discharge value,Hematocrit discharge value
91,B23025 005e,ACS Population unemployed
92,Cbc admit time hospital burden,Cbc admit time hospital burden
93,Heartrate discharge,Heart rate on discharge
94,Dischargedonbenzo,Dischargedonbenzo
95,Mch admit value,Mch admit value
96,B23025 007e,B23025 007e
97,Abs lymph discharge value,Abs lymph discharge value
98,Benzosduringadmit,Benzodiazepines administered during admission
99,Cbc discharge time hospital burden,Cbc discharge time hospital burden
100,Egfr other admit value,Egfr other admit value
101,Temperature admit,Temperature admit
102,Acs 185 to 199 ratio income poverty level past 12 mo,Acs 185 to 199 ratio income poverty level past 12 mo
103,Pt ot consult,Pt ot consult
104,Chronic pulmonary disease,Chronic pulmonary disease
105,Heartrate admit,Heart rate on admission
106,Mchc discharge value,MCHC value on discharge
107,Opiatesduringadmit,Opiatesduringadmit
108,B01002 003e,ACS Median age of females
109,Hemoglobin discharge value,Hemoglobin discharge value
110,Admissiontime weekofyear,Admission time numeric week of the year
111,B11001 008e,ACS Number of householders living alone
112,Pressureulcer no,Pressure ulcer absent
113,Psychosis,Psychosis
114,Dischargetime hospital burden,Dischargetime hospital burden
115,Egfr other discharge value,Egfr other discharge value
116,Geoprob new addr,Geoprob new addr
117,Mch discharge value,Mch discharge value
118,Glucose discharge value,Glucose discharge value
119,Length of stay over 5 days,Length of stay over 5 days
120,Bun discharge value,BUN value on discharge
121,Cmp discharge time hospital burden,Cmp discharge time hospital burden
122,Icu length of stay in days,ICU length of stay in days
123,Glucose admit value,Glucose admit value
124,Alkaline phosphatase admit value,Alkaline phosphatase admit value
125,Alkaline phosphatase discharge value,Alkaline phosphatase discharge value
126,Hemoglobin admit value,Hemoglobin admit value
127,Baso discharge value,Baso discharge value
128,Cbc admit time on weekend,Cbc admit time on weekend
129,Cbc discharge time day of week,Cbc discharge time day of week
130,Cbc discharge time at night 6p 10p,Cbc discharge time at night 6p 10p
131,Cbc admit time weekofyear,Cbc admit time weekofyear
132,Cbc admit time very late night 12a 4a,Cbc admit time very late night 12a 4a
133,Cbc admit time quarter,Cbc admit time quarter
134,Cbc admit time on holiday,Cbc admit time on holiday
135,Cbc discharge time during working day 7a 6p,Cbc discharge time during working day 7a 6p
136,Cbc admit time month,Cbc admit time month
137,Cbc admit time late night 10p 12a,Cbc admit time late night 10p 12a
138,Cbc admit time hour of day,Cbc admit time hour of day
139,Abs mono admit value,Abs mono admit value
140,Abs mono discharge value,Abs mono discharge value
141,Abs eosin discharge value,Abs eosin discharge value
142,Abs eosin admit value,Abs eosin admit value
143,Cbc discharge time early morning 4a 7a,Cbc discharge time early morning 4a 7a
144,Absolute nrbc discharge value,Absolute nrbc discharge value
145,Cbc discharge time hour of day,Cbc discharge time hour of day
146,Cbc discharge time late night 10p 12a,Cbc discharge time late night 10p 12a
147,Cbc discharge time month,Cbc discharge time month
148,Cbc discharge time on holiday,Cbc discharge time on holiday
149,Cbc discharge time on weekend,Cbc discharge time on weekend
150,Cbc discharge time quarter,Cbc discharge time quarter
151,Cbc discharge time very late night 12a 4a,Cbc discharge time very late night 12a 4a
152,Cbc discharge time weekofyear,Cbc discharge time weekofyear
153,Cdiffinfection,Cdiffinfection
154,Cerebral palsy,Cerebral palsy
155,Abs baso discharge value,Abs baso discharge value
156,Chloride admit value,Chloride admit value
157,Absolute nrbc admit value,Absolute nrbc admit value
158,Admissiontime at night 6p 10p,Admissiontime at night 6p 10p
159,Baso admit value,Baso admit value
160,Admissiontime day of week,Admission day of week
161,Ast discharge value,Ast discharge value
162,Ast admit value,Ast admit value
163,Anion gap discharge value,Anion gap discharge value
164,Anion gap admit value,Anion gap admit value
165,Alt discharge value,Alt discharge value
166,Bilirubin total admit value,Bilirubin total admit value
167,Bilirubin total discharge value,Bilirubin total discharge value
168,Alt admit value,Alt admit value
169,Albumin discharge value,Albumin discharge value
170,Albumin admit value,Albumin admit value
171,Aids hiv,Aids hiv
172,Bun admit value,BUN value on admission
173,Admissiontime very late night 12a 4a,Admissiontime very late night 12a 4a
174,Calcium admit value,Calcium admit value
175,Calcium discharge value,Calcium discharge value
176,Admissiontime quarter,Admissiontime quarter
177,Admissiontime on weekend,Admissiontime on weekend
178,Admissiontime on holiday,Admissiontime on holiday
179,Admissiontime month,Admissiontime month
180,Cbc admit time at night 6p 10p,Cbc admit time at night 6p 10p
181,Admissiontime late night 10p 12a,Admissiontime late night 10p 12a
182,Admissiontime hour of day,Admissiontime hour of day
183,Cbc admit time day of week,First CBC resulted day of week
184,Cbc admit time during working day 7a 6p,Cbc admit time during working day 7a 6p
185,Admissiontime early morning 4a 7a,Admissiontime early morning 4a 7a
186,Cbc admit time early morning 4a 7a,Cbc admit time early morning 4a 7a
187,Admissiontime during working day 7a 6p,Admitted between 7am and 6pm
188,Chloride discharge value,Chloride discharge value
189,Dischargetime late night 10p 12a,Dischargetime late night 10p 12a
190,Cmp admit time at night 6p 10p,Cmp admit time at night 6p 10p
191,Mchc admit value,Mchc admit value
192,Nucleated reds admit value,Nucleated reds admit value
193,Myocardial infarction,Myocardial infarction
194,Mpv discharge value,Mpv discharge value
195,Mpv admit value,Mpv admit value
196,Mono discharge value,Mono discharge value
197,Mono admit value,Mono admit value
198,Moderate or severe liver disease,Moderate or severe liver disease
199,Mild liver disease,Mild liver disease
200,Lineinfection,Lineinfection
201,Cmp admit time day of week,First CMP resulted day of week
202,Length of stay over 7 days,Length of stay over 7 days
203,Length of stay over 14 days,Length of stay over 14 days
204,Knee replacement,Knee replacement
205,Infectiousdiseaseconsult,Infectiousdiseaseconsult
206,In this admission lasticudischarge,Discharged from ICU at any point during current hospitalization
207,In this admission firsticuadmit,Admitted to ICU at any point during current hospitalization
208,Hospiceconsult,Hospice consult received
209,Hip replacement,Hip replacement
210,Nucleated reds discharge value,Nucleated reds discharge value
211,On day of admission firsticuadmit,Admitted to ICU on first day of hospitalization
212,On day of admission lasticudischarge,Discharged from ICU on first day of hospitalization
213,Palliativecareconsult,Palliativecareconsult
214,Spiritualcareconsult,Spiritualcareconsult
215,Solid organ transplant,Solid organ transplant
216,Sodium discharge value,Sodium discharge value
217,Sodium admit value,Sodium admit value
218,Short gut syndrome,Short gut syndrome
219,Rheumatic disease,Rheumatic disease
220,Protein total discharge value,Protein total discharge value
221,Protein total admit value,Protein total admit value
222,Pressureulcer nan,Pressure ulcer information unavailable
223,Pressureulcer yes,Pressure ulcer
224,Pressureulcer present on admission to the hospital,Pressure ulcer present on admission to the hospital
225,Pressureulcer history of pressure ulcer,History of pressure ulcer
226,Potassium discharge value,Potassium discharge value
227,Potassium admit value,Potassium admit value
228,Pneumonia,Pneumonia
229,Peptic ulcer disease,Peptic ulcer disease
230,Patientclassdescription,Patient class description
231,Fallduringadmission,Fallduringadmission
232,Eosin discharge value,Eosin discharge value
233,Eosin admit value,Eosin admit value
234,Cmp discharge time on holiday,Cmp discharge time on holiday
235,Cmp discharge time late night 10p 12a,Cmp discharge time late night 10p 12a
236,Cmp discharge time hour of day,Cmp discharge time hour of day
237,Cmp discharge time early morning 4a 7a,Cmp discharge time early morning 4a 7a
238,Cmp discharge time during working day 7a 6p,Cmp discharge time during working day 7a 6p
239,Cmp discharge time day of week,Cmp discharge time day of week
240,Cmp discharge time at night 6p 10p,Cmp discharge time at night 6p 10p
241,Cmp admit time weekofyear,Cmp admit time weekofyear
242,Cmp admit time very late night 12a 4a,Cmp admit time very late night 12a 4a
243,Cmp admit time quarter,Cmp admit time quarter
244,Cmp admit time on weekend,Cmp admit time on weekend
245,Cmp admit time on holiday,Cmp admit time on holiday
246,Cmp admit time month,Cmp admit time month
247,Cmp admit time late night 10p 12a,Cmp admit time late night 10p 12a
248,Cmp admit time hour of day,Cmp admit time hour of day
249,Cmp admit time hospital burden,Cmp admit time hospital burden
250,Cmp admit time early morning 4a 7a,Cmp admit time early morning 4a 7a
251,Cmp admit time during working day 7a 6p,Cmp admit time during working day 7a 6p
252,Cmp discharge time month,Cmp discharge time month
253,Cmp discharge time on weekend,Cmp discharge time on weekend
254,Dischargetime very late night 12a 4a,Dischargetime very late night 12a 4a
255,Cmp discharge time quarter,Cmp discharge time quarter
256,Dischargetime quarter,Dischargetime quarter
257,Dischargetime on weekend,Dischargetime on weekend
258,Dischargetime on holiday,Dischargetime on holiday
259,Dischargetime month,Dischargetime month
260,Dischargetime early morning 4a 7a,Dischargetime early morning 4a 7a
261,Dischargetime during working day 7a 6p,Dischargetime during working day 7a 6p
262,Dischargetime day of week,Dischargetime day of week
263,Dischargetime at night 6p 10p,Dischargetime at night 6p 10p
264,Discharged in past 30d,Had a hospital discharge in the past 30 days
265,Diff type discharge value,Diff type discharge value
266,Diff type admit value,Diff type admit value
267,Diabetes with chronic complication,Diabetes with chronic complication
268,Connective tissue disorder,Connective tissue disorder
269,Co2 discharge value,Co2 discharge value
270,Co2 admit value,Co2 admit value
271,Cmp discharge time weekofyear,Cmp discharge time weekofyear
272,Cmp discharge time very late night 12a 4a,Cmp discharge time very late night 12a 4a
273,Abs baso admit value,Abs baso admit value
16,Insurance2,Insurance provider
83,Financialclass nan,Financial class information unavailable
93,Readmitted90d,Readmitted90d
104,Financialclass medicare,Medicare
131,Readmitted365d,Readmitted365d
135,Readmitted1d,Readmitted1d
142,Readmitted28d,Readmitted28d
143,Readmitted20d,Readmitted20d
145,Readmitted30d,Readmitted30d
146,Readmitted3650d,Readmitted3650d
147,Readmitted3d,Readmitted3d
148,Readmitted45d,Readmitted45d
149,Readmitted5d,Readmitted5d
172,Readmitted7d,Readmitted7d
212,Readmitted15d,Readmitted15d
214,Readmitted180d,Readmitted180d
239,Financialclass private health insurance,Private health insurance
240,Financialclass other,Insurance other
242,Financialclass medicaid,Medicaid
270,Readmitted0 5d,Readmitted0 5d
271,cmp_admit_time_within_24h, CMP resulted within 24 hours of admission
272,cbc_admit_time_within_24h, CBC resulted within 24 hours of admission
999,Attending specialty institute desc,Department of attending physician
