,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1554,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1601,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1610,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1622,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1628,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1637,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
,Time,Target,Number of Features,Threshold,Number of Patients,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC,ROC AUC,Average Precision,Brier Score Loss,Brier Score Loss Sigmoid Calibration,Brier Score Loss Isotonic Calibration
0,2019-04-05-1654,readmitted30d,291,0.16225534397708588,2195,"0    0.997350
1    0.025974
dtype: float64","0    0.025974
1    0.997350
dtype: float64","0    0.862511
1    0.615385
dtype: float64","0    0.615385
1    0.862511
dtype: float64","0    0.974026
1    0.002650
dtype: float64","0    0.002650
1    0.974026
dtype: float64","0    0.137489
1    0.384615
dtype: float64","0    0.861048
1    0.861048
dtype: float64",0.7316327022209376,0.3334131136372222,0.10726360396222892,0.1082355679979769,0.10895560248987292
