,index,bilirubin_total_discharge_value
150,Cancelled by clinician,22
151,14.1,21
152,"CANCELLED,Specimen not collected or received",20
153,14.8,20
154,14.6,19
155,Unable to assay. Possible interfering substance(s) present.,19
156,14.3,18
157,14.4,18
158,Unable to assay.  Unable to locate specimen.,16
159,14.7,16
160,Specimen received unlabelled.,15
161,Unable to assay. Specimen incorrectly identified.,15
162,14.5,15
163,15.1,14
164,15.2,11
165,14.9,11
166,15.3,11
167,15.8,10
168,16.4,10
169,15.0,9
170,16.3,9
171,15.6,9
172,15.9,9
173,Specimen hemolyzed.,9
174,15.4,8
175,16.1,8
176,19.1,7
177,16.5,7
178,Identity unclear. Specimen labelled incorrectly.,7
179,16.2,7
180,17.0,6
181,16.7,6
182,16.6,6
183,19.2,6
184,24.4,6
185,20.0,5
186,19.9,5
187,15.7,5
188,17.5,5
189,18.6,5
190,Unable to assay. Specimen grossly hemolyzed.,5
191,18.0,5
192,17.3,5
193,16.9,5
194,17.7,5
195,22.7,4
196,Disregard results. Specimen incorrectly identified.,4
197,Requisitioning entry error,4
198,16.0,4
199,15.5,4
200,19.4,4
201,18.9,4
202,18.5,4
203,18.4,4
204,18.3,4
205,19.5,4
206,26.8,4
207,18.2,4
208,20.2,4
209,21.6,4
210,23.4,4
211,25.4,3
212,22.1,3
213,22.8,3
214,23.2,3
215,18.7,3
216,23.3,3
217,Unable to quantitate due to possible contamination.,3
218,17.8,3
219,21.2,3
220,24.5,3
221,19.6,3
222,19.7,3
223,23.5,3
224,SEE NBIL,3
225,17.2,3
226,17.6,3
227,30.4,3
228,18.1,3
229,21.1,3
230,Unable to assay. Specimen improperly collected/handled.,2
231,17.1,2
232,17.4,2
233,23.6,2
234,19.0,2
235,27.1,2
236,23.0,2
237,23.1,2
238,24.2,2
239,24.3,2
240,25.6,2
241,25.8,2
242,38.4,2
243,27.2,2
244,22.5,2
245,27.4,2
246,35.0,2
247,28.3,2
248,28.6,2
249,29.5,2
250,29.7,2
251,31.7,2
252,22.9,2
253,"Test accessioning error,please disregard.",2
254,30.3,2
255,21.8,2
256,20.8,2
257,20.7,2
258,21.3,2
259,Patient refused collection,2
260,20.6,2
261,20.9,2
262,20.3,2
263,19.8,2
264,22.0,2
265,33.6,1
266,33.5,1
267,34.5,1
268,36.4,1
269,34.9,1
270,SPECIMEN HEMOLYZED,1
271,35.3,1
272,Specimen leaked in transport.,1
273,35.7,1
274,31.4,1
275,Specimen collected in wrong container type.,1
276,Unable to assay. Analytical difficulty.,1
277,37.6,1
278,37.9,1
279,Incorrect test ordered.,1
280,Ignore results. Specimen hemolyzed,1
281,Test inadvertently not performed,1
282,CONVERTED TO ISTAT,1
283,>32.2,1
284,MISLABELED,1
285,31.0,1
286,55.5,1
287,50.3,1
288,46.9,1
289,44.2,1
290,42.7,1
291,39.1,1
292,38.6,1
293,Ignore results. Specimen was contaminated,1
294,SEE NEWBORN BILIRUBIN,1
295,28.0,1
296,25.3,1
297,30.2,1
298,25.0,1
299,24.7,1
300,24.6,1
301,24.1,1
302,24.0,1
303,23.9,1
304,23.7,1
305,22.6,1
306,22.4,1
307,22.2,1
308,21.9,1
309,21.4,1
310,20.5,1
311,20.4,1
312,19.3,1
313,25.1,1
314,TEST ORDERED AND RESULTED ON WRONG ACCOUNT NUMBER,1
315,25.5,1
316,26.1,1
317,29.9,1
318,29.4,1
319,29.1,1
320,28.8,1
321,28.4,1
322,17.9,1
323,27.9,1
324,27.7,1
325,27.0,1
326,26.6,1
327,26.5,1
328,26.4,1
329,26.3,1
330,36.9,0
331,21.0,0
332,30.6,0
