,index,creatinine_admit_value
671,7.86,12
672,7.07,12
673,5.13,12
674,8.85,12
675,8.31,12
676,5.96,12
677,6.25,12
678,7.27,12
679,7.93,12
680,5.43,12
681,7.20,12
682,5.33,12
683,5.06,12
684,6.85,12
685,8.44,12
686,6.54,12
687,6.56,12
688,6.57,12
689,6.58,12
690,6.66,12
691,<0.20,12
692,2.4,12
693,5.72,12
694,8.19,12
695,7.69,12
696,8.15,12
697,6.82,12
698,5.60,12
699,7.45,12
700,4.99,12
701,<0.2,11
702,7.23,11
703,7.74,11
704,7.53,11
705,7.48,11
706,7.38,11
707,7.29,11
708,7.47,11
709,9.09,11
710,9.15,11
711,7.39,11
712,7.36,11
713,6.02,11
714,8.06,11
715,5.31,11
716,7.97,11
717,7.89,11
718,5.76,11
719,8.53,11
720,6.70,11
721,6.74,11
722,6.36,11
723,0.12,11
724,6.33,11
725,5.12,11
726,6.29,11
727,8.45,11
728,6.47,11
729,7.12,11
730,7.09,11
731,10.04,10
732,8.75,10
733,8.03,10
734,7.75,10
735,7.91,10
736,8.70,10
737,8.83,10
738,11.30,10
739,8.16,10
740,7.84,10
741,8.07,10
742,2.9,10
743,2.7,10
744,8.09,10
745,10.02,10
746,Unable to assay. Specimen improperly collected/handled.,10
747,8.63,10
748,5.35,10
749,7.56,10
750,5.95,10
751,7.30,10
752,6.14,10
753,6.17,10
754,6.18,10
755,6.28,10
756,6.35,10
757,6.51,10
758,6.59,10
759,7.19,10
760,6.61,10
761,9.44,10
762,8.20,10
763,7.10,10
764,6.71,10
765,9.80,10
766,6.72,10
767,7.06,10
768,7.03,10
769,6.92,10
770,7.35,10
771,7.01,10
772,5.89,10
773,8.27,10
774,2.5,10
775,8.26,10
776,7.42,10
777,5.16,10
778,8.93,10
779,5.87,10
780,5.49,10
781,5.78,10
782,8.28,10
783,9.28,9
784,9.23,9
785,7.02,9
786,7.52,9
787,9.05,9
788,7.04,9
789,Unable to assay. Specimen significantly icteric.,9
790,7.05,9
791,9.07,9
792,9.18,9
793,7.46,9
794,8.18,9
795,7.43,9
796,9.14,9
797,7.40,9
798,7.18,9
799,10.71,9
800,8.14,9
801,7.96,9
802,10.21,9
803,7.21,9
804,7.22,9
805,9.30,9
806,8.13,9
807,10.47,9
808,9.81,9
809,7.25,9
810,10.58,9
811,7.71,9
812,6.83,9
813,9.86,9
814,6.41,9
815,6.39,9
816,7.76,9
817,6.27,9
818,8.38,9
819,6.13,9
820,0.11,9
821,8.34,9
822,6.00,9
823,5.83,9
824,8.96,9
825,7.54,9
826,8.25,9
827,8.92,9
828,7.63,9
829,8.90,9
830,7.67,9
831,7.68,9
832,7.78,9
833,6.30,9
834,6.46,9
835,8.50,9
836,8.62,9
837,6.55,9
838,8.51,9
839,3.1,9
840,6.62,9
841,8.48,9
842,9.62,8
843,11.15,8
844,9.12,8
845,9.99,8
846,10.09,8
847,8.55,8
848,9.10,8
849,8.59,8
850,8.87,8
851,9.00,8
852,9.50,8
853,2.6,8
854,10.40,8
855,11.17,8
856,10.12,8
857,10.76,8
858,9.21,8
859,10.16,8
860,8.39,8
861,8.47,8
862,9.98,8
863,10.42,8
864,9.40,8
865,9.04,8
866,8.21,8
867,7.82,8
868,7.57,8
869,6.64,8
870,6.05,8
871,7.80,8
872,7.72,8
873,7.61,8
874,7.16,8
875,8.05,8
876,6.69,8
877,8.02,8
878,6.79,8
879,8.17,8
880,8.04,8
881,7.28,8
882,3.2,8
883,8.00,8
884,7.31,8
885,7.08,8
886,6.98,8
887,7.51,8
888,7.99,8
889,7.34,8
890,Identity unclear. Specimen labelled incorrectly.,8
891,7.15,8
892,6.99,8
893,7.33,8
894,6.10,7
895,6.15,7
896,10.39,7
897,10.05,7
898,8.33,7
899,8.32,7
900,8.29,7
901,10.72,7
902,10.00,7
903,5.80,7
904,10.10,7
905,6.20,7
906,9.08,7
907,10.26,7
908,9.84,7
909,9.78,7
910,9.11,7
911,8.57,7
912,6.78,7
913,9.72,7
914,9.70,7
915,10.38,7
916,7.49,7
917,9.26,7
918,10.07,7
919,10.69,7
920,8.41,7
921,9.64,7
922,5.2,7
923,4.97,7
924,7.77,7
925,3.6,7
926,10.45,7
927,7.64,7
928,7.60,7
929,8.94,7
930,9.45,7
931,8.10,7
932,11.33,7
933,8.76,7
934,7.79,7
935,7.24,7
936,9.48,7
937,11.45,7
938,10.34,7
939,Unable to quantitate due to possible contamination.,7
940,10.85,7
941,9.29,7
942,7.58,7
943,7.55,7
944,9.54,7
945,9.55,7
946,8.66,7
947,9.36,7
948,9.02,7
949,7.70,7
950,10.88,7
951,8.64,7
952,8.22,7
953,8.65,7
954,9.75,6
955,9.32,6
956,9.77,6
957,9.41,6
958,12.53,6
959,13.30,6
960,9.79,6
961,10.41,6
962,9.38,6
963,10.35,6
964,9.31,6
965,9.20,6
966,9.27,6
967,9.68,6
968,9.24,6
969,9.49,6
970,9.58,6
971,10.33,6
972,9.59,6
973,9.61,6
974,9.52,6
975,7.14,6
976,9.63,6
977,12.60,6
978,13.13,6
979,10.55,6
980,9.46,6
981,9.57,6
982,9.69,6
983,7.17,6
984,7.98,6
985,8.82,6
986,9.91,6
987,11.27,6
988,10.03,6
989,10.75,6
990,4.9,6
991,8.24,6
992,8.99,6
993,3.4,6
994,8.68,6
995,3.0,6
996,8.97,6
997,10.81,6
998,Requisitioning entry error,6
999,6.40,6
1000,8.11,6
1001,7.66,6
1002,11.10,6
1003,11.07,6
1004,8.79,6
1005,8.89,6
1006,10.98,6
1007,8.88,6
1008,8.81,6
1009,10.93,6
1010,6.26,6
1011,7.88,6
1012,6.49,6
1013,8.52,6
1014,9.16,6
1015,10.61,6
1016,7.41,6
1017,6.86,6
1018,7.44,6
1019,10.13,6
1020,10.65,6
1021,8.58,6
1022,8.56,6
1023,0.10,6
1024,12.15,6
1025,6.68,6
1026,6.67,6
1027,14.50,6
1028,7.90,6
1029,8.67,5
1030,10.14,5
1031,10.24,5
1032,9.25,5
1033,7.73,5
1034,10.19,5
1035,7.50,5
1036,10.27,5
1037,10.17,5
1038,7.94,5
1039,8.91,5
1040,10.31,5
1041,9.01,5
1042,14.00,5
1043,10.01,5
1044,8.73,5
1045,7.81,5
1046,8.71,5
1047,10.06,5
1048,13.83,5
1049,7.83,5
1050,8.69,5
1051,12.63,5
1052,9.34,5
1053,10.78,5
1054,11.54,5
1055,9.89,5
1056,12.38,5
1057,"Test accessioning error,please disregard.",5
1058,9.92,5
1059,12.02,5
1060,3.3,5
1061,12.30,5
1062,12.10,5
1063,10.62,5
1064,11.41,5
1065,6.89,5
1066,8.61,5
1067,8.60,5
1068,8.46,5
1069,Unable to assay. Specimen grossly hemolyzed.,5
1070,11.24,5
1071,11.95,5
1072,8.35,5
1073,11.62,5
1074,11.65,5
1075,10.43,5
1076,10.44,5
1077,13.11,5
1078,12.98,5
1079,9.53,5
1080,4.0,5
1081,10.96,5
1082,11.00,5
1083,12.67,5
1084,9.73,5
1085,3.9,5
1086,11.92,5
1087,10.59,5
1088,11.14,5
1089,12.08,5
1090,11.61,4
1091,11.63,4
1092,11.51,4
1093,11.38,4
1094,11.47,4
1095,11.44,4
1096,8.72,4
1097,11.69,4
1098,10.80,4
1099,11.25,4
1100,11.23,4
1101,11.22,4
1102,11.21,4
1103,8.78,4
1104,10.83,4
1105,10.97,4
1106,10.95,4
1107,10.94,4
1108,10.91,4
1109,11.66,4
1110,10.70,4
1111,14.88,4
1112,10.57,4
1113,12.42,4
1114,12.43,4
1115,12.44,4
1116,12.47,4
1117,10.28,4
1118,10.60,4
1119,13.82,4
1120,12.37,4
1121,12.70,4
1122,12.74,4
1123,12.76,4
1124,12.80,4
1125,10.53,4
1126,13.36,4
1127,10.20,4
1128,12.34,4
1129,11.70,4
1130,10.36,4
1131,11.71,4
1132,11.76,4
1133,11.78,4
1134,11.87,4
1135,11.91,4
1136,11.99,4
1137,10.08,4
1138,10.18,4
1139,10.67,4
1140,10.11,4
1141,10.63,4
1142,7.92,4
1143,12.21,4
1144,10.15,4
1145,<0.06,4
1146,10.86,4
1147,8.84,4
1148,9.71,4
1149,9.5,4
1150,9.51,4
1151,4.5,4
1152,9.60,4
1153,9.06,4
1154,9.66,4
1155,9.67,4
1156,5.8,4
1157,9.74,4
1158,9.22,4
1159,9.76,4
1160,7.0,4
1161,9.82,4
1162,9.17,4
1163,8.49,4
1164,9.90,4
1165,16.40,4
1166,9.95,4
1167,8.98,4
1168,4.7,4
1169,7.3,4
1170,2.8,4
1171,9.33,4
1172,9.37,4
1173,9.39,4
1174,0.09,4
1175,0.08,4
1176,12.94,3
1177,9.85,3
1178,13.29,3
1179,12.99,3
1180,9.47,3
1181,13.40,3
1182,12.49,3
1183,12.48,3
1184,9.83,3
1185,12.40,3
1186,12.58,3
1187,9.35,3
1188,13.47,3
1189,9.93,3
1190,12.36,3
1191,9.94,3
1192,13.50,3
1193,13.28,3
1194,13.16,3
1195,10.52,3
1196,12.77,3
1197,13.17,3
1198,12.89,3
1199,12.87,3
1200,9.96,3
1201,12.81,3
1202,9.56,3
1203,12.78,3
1204,9.43,3
1205,13.27,3
1206,7.1,3
1207,12.71,3
1208,9.42,3
1209,13.21,3
1210,10.56,3
1211,13.10,3
1212,12.65,3
1213,13.26,3
1214,12.16,3
1215,12.29,3
1216,8.23,3
1217,0.06,3
1218,4.1,3
1219,see below,3
1220,3.8,3
1221,11.60,3
1222,11.59,3
1223,11.53,3
1224,11.52,3
1225,11.50,3
1226,11.48,3
1227,11.46,3
1228,10.77,3
1229,11.42,3
1230,11.35,3
1231,11.29,3
1232,11.28,3
1233,11.19,3
1234,11.13,3
1235,11.12,3
1236,11.09,3
1237,11.04,3
1238,11.03,3
1239,11.02,3
1240,10.84,3
1241,Disregard results. Specimen incorrectly identified.,3
1242,11.68,3
1243,4.8,3
1244,12.26,3
1245,11.72,3
1246,10.64,3
1247,10.37,3
1248,12.13,3
1249,10.66,3
1250,6.6,3
1251,12.07,3
1252,10.68,3
1253,6.34,3
1254,6.3,3
1255,8.37,3
1256,11.96,3
1257,6.2,3
1258,6.0,3
1259,11.89,3
1260,8.3,3
1261,11.85,3
1262,11.82,3
1263,11.80,3
1264,10.74,3
1265,5.7,3
1266,5.5,3
1267,5.3,3
1268,11.75,3
1269,11.74,3
1270,11.73,3
1271,13.52,3
1272,12.82,3
1273,14.89,3
1274,10.32,3
1275,14.25,3
1276,10.29,3
1277,13.85,3
1278,14.26,3
1279,14.27,3
1280,8.95,3
1281,10.30,3
1282,15.77,3
1283,8.77,3
1284,16.48,3
1285,13.74,3
1286,14.30,3
1287,13.91,3
1288,13.73,3
1289,13.72,3
1290,16.64,3
1291,13.94,3
1292,13.57,3
1293,14.02,3
1294,9.03,3
1295,13.63,3
1296,15.30,3
1297,17.10,3
1298,14.07,3
1299,14.94,3
1300,9.19,3
1301,14.37,3
1302,14.36,3
1303,14.65,2
1304,16.17,2
1305,10.73,2
1306,7.9,2
1307,14.77,2
1308,16.10,2
1309,14.87,2
1310,16.13,2
1311,14.82,2
1312,14.69,2
1313,14.74,2
1314,15.96,2
1315,16.02,2
1316,14.70,2
1317,14.80,2
1318,13.56,2
1319,11.86,2
1320,11.88,2
1321,16.28,2
1322,12.09,2
1323,16.25,2
1324,16.24,2
1325,6.5,2
1326,12.05,2
1327,12.04,2
1328,12.03,2
1329,8.43,2
1330,14.51,2
1331,8.4,2
1332,11.98,2
1333,14.56,2
1334,7.5,2
1335,16.21,2
1336,11.94,2
1337,11.93,2
1338,14.59,2
1339,5.9,2
1340,11.67,2
1341,16.20,2
1342,11.90,2
1343,15.86,2
1344,4.2,2
1345,11.08,2
1346,Patient refused collection,2
1347,11.20,2
1348,15.18,2
1349,11.18,2
1350,Patient expired,2
1351,11.16,2
1352,Patient discharged,2
1353,15.20,2
1354,11.11,2
1355,15.48,2
1356,11.06,2
1357,11.26,2
1358,11.05,2
1359,15.25,2
1360,8.8,2
1361,8.86,2
1362,10.99,2
1363,Ignore results. Specimen was contaminated,2
1364,10.92,2
1365,10.90,2
1366,10.89,2
1367,10.87,2
1368,Specimen collected in wrong container type.,2
1369,15.66,2
1370,15.93,2
1371,15.05,2
1372,15.90,2
1373,15.87,2
1374,16.32,2
1375,15.81,2
1376,11.58,2
1377,11.57,2
1378,11.56,2
1379,11.55,2
1380,3.7,2
1381,15.80,2
1382,Unable to assay. Specimen too old to perform test.,2
1383,15.67,2
1384,24.11,2
1385,15.73,2
1386,15.70,2
1387,11.39,2
1388,10.79,2
1389,15.10,2
1390,22.79,2
1391,Specimen icteric,2
1392,10.82,2
1393,11.31,2
1394,12.12,2
1395,16.30,2
1396,8.5,2
1397,18.31,2
1398,17.71,2
1399,13.81,2
1400,13.08,2
1401,13.06,2
1402,13.01,2
1403,10.50,2
1404,10.51,2
1405,13.87,2
1406,13.89,2
1407,12.97,2
1408,16.34,2
1409,12.95,2
1410,16.66,2
1411,12.93,2
1412,12.90,2
1413,16.65,2
1414,13.93,2
1415,12.86,2
1416,12.85,2
1417,18.09,2
1418,15.40,2
1419,13.15,2
1420,16.86,2
1421,17.51,2
1422,16.88,2
1423,17.19,2
1424,13.59,2
1425,13.51,2
1426,13.49,2
1427,13.65,2
1428,13.45,2
1429,10.4,2
1430,13.42,2
1431,17.04,2
1432,13.39,2
1433,13.75,2
1434,13.68,2
1435,13.34,2
1436,7.2,2
1437,17.37,2
1438,13.70,2
1439,13.25,2
1440,13.24,2
1441,13.23,2
1442,13.22,2
1443,9.2,2
1444,12.96,2
1445,12.75,2
1446,14.33,2
1447,12.51,2
1448,12.50,2
1449,12.46,2
1450,10.2,2
1451,9.87,2
1452,9.88,2
1453,12.39,2
1454,14.31,2
1455,16.45,2
1456,12.35,2
1457,16.44,2
1458,14.18,2
1459,12.32,2
1460,12.28,2
1461,14.42,2
1462,9.97,2
1463,12.23,2
1464,12.22,2
1465,19.95,2
1466,8.6,2
1467,12.19,2
1468,14.44,2
1469,12.52,2
1470,14.62,2
1471,14.14,2
1472,14.10,2
1473,10.23,2
1474,12.66,2
1475,12.62,2
1476,12.61,2
1477,19.01,2
1478,12.59,2
1479,14.11,2
1480,14.15,2
1481,10.22,2
1482,14.17,2
1483,9.8,2
1484,14.08,2
1485,12.72,2
1486,16.59,2
1487,"DUPLICATE ORDER,PATIENT CREDITED",1
1488,0.1,1
1489,10.0,1
1490,0.07,1
1491,Medical record number mismatch. Disregard results.,1
1492,MISLABELED,1
1493,Ignore results. Specimen hemolyzed,1
1494,10.54,1
1495,LCAN LOCATION TOUTING ERROR,1
1496,Ignore results.  Ordered on wrong patient.,1
1497,Ignore results.  Specimen mislabeled.,1
1498,10.1,1
1499,MISID NOTIFIED SHENEFE DIAL 04/06 1340 TS,1
1500,8.7,1
1501,10.5,1
1502,Notified by unit that specimen labelled incorrectly.,1
1503,9.1,1
1504,10.49,1
1505,Test reordered on another CCHS MRN.,1
1506,10.48,1
1507,CONVERTED TO ISTAT,1
1508,Specimen drawn in wrong tube.,1
1509,"UNSUITABLE FOR ANALYSIS,SAMPLES LEFT AT SATELLITE",1
1510,Unable to assay due to viscosity of specimen.,1
1511,Specimen contaminated,1
1512,10.3,1
1513,10.46,1
1514,10.25,1
1515,SPECIMEN HEMOLYZED,1
1516,Unable to assay. Analytical difficulty.,1
1517,PT EXPIRED,1
1518,8.9,1
1519,Unable to quantitate due to age of specimen.,1
1520,Test inadvertently not performed,1
1521,POS CONTAMINATION 998335BY 897715 103018,1
1522,9.4,1
1523,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
1524,17.67,1
1525,11.0,1
1526,18.54,1
1527,18.79,1
1528,18.77,1
1529,18.75,1
1530,18.71,1
1531,18.66,1
1532,18.62,1
1533,18.59,1
1534,18.52,1
1535,16.51,1
1536,18.50,1
1537,18.49,1
1538,18.23,1
1539,18.18,1
1540,18.16,1
1541,18.15,1
1542,18.07,1
1543,18.80,1
1544,18.91,1
1545,18.96,1
1546,19.08,1
1547,19.62,1
1548,19.57,1
1549,19.50,1
1550,19.47,1
1551,19.43,1
1552,19.42,1
1553,19.41,1
1554,19.40,1
1555,19.36,1
1556,19.32,1
1557,19.30,1
1558,19.29,1
1559,19.24,1
1560,19.20,1
1561,19.18,1
1562,18.03,1
1563,18.02,1
1564,17.95,1
1565,17.20,1
1566,17.09,1
1567,17.06,1
1568,17.05,1
1569,16.98,1
1570,16.96,1
1571,16.90,1
1572,16.85,1
1573,16.80,1
1574,16.78,1
1575,16.77,1
1576,16.76,1
1577,16.72,1
1578,16.67,1
1579,16.63,1
1580,16.55,1
1581,17.11,1
1582,17.22,1
1583,17.92,1
