,index,mono_admit_value
315,29.5,8
316,25.5,8
317,27.6,8
318,25.3,7
319,26.5,7
320,29,7
321,25.8,7
322,29.9,7
323,40.0,7
324,30.1,7
325,30.3,7
326,37.0,7
327,36.0,7
328,28.3,7
329,26.6,7
330,41.0,6
331,47.0,6
332,28.4,6
333,Unable to assay. Possible interfering substance(s) present.,6
334,28.5,6
335,27.8,6
336,26.8,6
337,27.7,6
338,27.9,6
339,27.5,6
340,28.9,6
341,26,5
342,34,5
343,27.1,5
344,39.0,5
345,29.8,5
346,38.5,5
347,27.3,5
348,32,5
349,Specimen received unlabelled.,5
350,26.9,5
351,Ignore results. Specimen was contaminated,5
352,Cancelled by clinician,5
353,50.0,5
354,30,5
355,28.1,4
356,30.8,4
357,28,4
358,45.0,4
359,35.4,4
360,28.6,4
361,31.4,4
362,49.0,4
363,33,4
364,24,4
365,42.0,4
366,29.6,4
367,29.7,4
368,"Test accessioning error,please disregard.",4
369,27.2,4
370,28.8,4
371,41.7,3
372,35.9,3
373,32.8,3
374,48.0,3
375,"CANCELLED,Specimen not collected or received",3
376,35.3,3
377,35.2,3
378,35.1,3
379,34.6,3
380,41,3
381,33.3,3
382,44.0,3
383,46.0,3
384,31.7,3
385,28.7,3
386,30.2,3
387,29.1,3
388,31,3
389,30.4,3
390,30.9,3
391,29.4,3
392,31.8,3
393,31.6,3
394,30.5,3
395,38.8,2
396,49.5,2
397,39.2,2
398,32.4,2
399,38.2,2
400,38,2
401,46.2,2
402,37.8,2
403,37.3,2
404,36.9,2
405,36.7,2
406,37.9,2
407,65.8,2
408,32.6,2
409,36.2,2
410,44.6,2
411,44,2
412,43.5,2
413,43,2
414,Unable to assay.  Unable to locate specimen.,2
415,Test inadvertently not performed,2
416,25.7,2
417,Specimen contaminated,2
418,42,2
419,Ignore results. Specimen clotted.,2
420,Ignore results.  Specimen clotted.,2
421,Identity unclear. Specimen labelled incorrectly.,2
422,41.4,2
423,Disregard results. Specimen incorrectly identified.,2
424,68.0,2
425,36.4,2
426,36.8,2
427,31.1,2
428,32.2,2
429,34.7,2
430,34.2,2
431,34.1,2
432,31.9,2
433,33.9,2
434,34.8,2
435,33.8,2
436,33.7,2
437,32.1,2
438,56.0,2
439,33.1,2
440,34.5,2
441,31.5,2
442,35.7,2
443,36,2
444,31.2,2
445,35.6,2
446,31.3,2
447,43.4,1
448,41.6,1
449,SAMPLE CLOTTED IGNORE RESULTS,1
450,Results called to and read back by:,1
451,53.0,1
452,Patient expired,1
453,Patient discharged,1
454,41.9,1
455,53,1
456,Medical record number mismatch. Disregard results.,1
457,MISLABELED,1
458,43.1,1
459,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
460,45.8,1
461,Ignore results. Specimen mislabeled,1
462,Ignore results. Specimen hemolyzed,1
463,32.7,1
464,45.3,1
465,43.7,1
466,41.5,1
467,29.2,1
468,45,1
469,SEE MANUAL DIFF BELOW,1
470,SPECIMEN CLOTTED,1
471,42.5,1
472,43.0,1
473,32.9,1
474,29.3,1
475,33.2,1
476,Unable to assay. Primary specimen no longer available for additional,1
477,44.3,1
478,42.9,1
479,Unable to assay. Broken/spilled in transit.,1
480,42.8,1
481,Unable to assay. Analytical difficulty.,1
482,33.5,1
483,IMPCOL,1
484,33.6,1
485,32.3,1
486,Test Not Performed,1
487,53.1,1
488,Specimen no longer available for testing.,1
489,Specimen drawn in wrong tube.,1
490,43.9,1
491,42.6,1
492,Clerical Error,1
493,ER NOTIFIED TO REDRAW,1
494,Disregard results.,1
495,60.7,1
496,46.6,1
497,46.7,1
498,46.9,1
499,47,1
500,49.7,1
501,55.0,1
502,48.8,1
503,55.7,1
504,56,1
505,39.6,1
506,39.1,1
507,56.8,1
508,39,1
509,57.0,1
510,30.6,1
511,58,1
512,38.1,1
513,59.0,1
514,37.7,1
515,37.6,1
516,37.5,1
517,37.2,1
518,37,1
519,35.8,1
520,46.3,1
521,54.4,1
522,79.0,1
523,51.6,1
524,36.5,1
525,52.8,1
526,Called to,1
527,CNDUPL,1
528,CLTD,1
529,41.3,1
530,CLOTTED,1
531,52.0,1
532,ACRE,1
533,<<DO NOT REPORT>>,1
534,41.2,1
535,64,1
536,61.8,1
537,70.4,1
538,51.0,1
539,40.8,1
540,69.6,1
541,67.0,1
542,34.9,1
543,65.5,1
544,53.3,1
545,40.3,1
546,73.0,0
547,REQUEST CREDITED,0
548,50.5,0
