,index,mcv_admit_value
230,101.0,607
231,77.5,605
232,100.7,599
233,77.4,598
234,99.8,591
235,100.9,575
236,101.3,572
237,77.2,565
238,76.9,564
239,101.2,562
240,77.1,562
241,77.0,552
242,77.3,547
243,99.6,539
244,101.4,536
245,76.8,530
246,101.5,521
247,101.8,516
248,76.7,511
249,76.6,510
250,76.3,505
251,101.6,504
252,100.2,497
253,76.4,495
254,76.5,485
255,101.7,471
256,76.1,471
257,100.4,464
258,76.0,461
259,102.1,448
260,102.0,446
261,76.2,445
262,101.9,436
263,102.3,432
264,75.1,432
265,75.8,431
266,102.2,430
267,102.7,429
268,75.7,425
269,Unable to report,418
270,75.9,415
271,102.4,413
272,75.6,410
273,75.3,405
274,102.5,401
275,102.6,394
276,74.9,392
277,75.4,385
278,102.8,380
279,75.5,377
280,102.9,372
281,75.2,360
282,74.7,358
283,74.8,351
284,103.1,347
285,74.3,334
286,103.4,329
287,74.5,327
288,74.6,322
289,103.0,321
290,74.2,318
291,103.3,314
292,74.1,313
293,103.2,300
294,103.5,296
295,74.4,295
296,73.7,290
297,103.7,287
298,103.9,286
299,74.0,285
300,73.8,281
301,103.8,279
302,73.9,272
303,104.2,271
304,73.3,268
305,103.6,263
306,73.5,262
307,73.6,261
308,75.0,260
309,73.4,257
310,104.0,248
311,73.0,245
312,73.2,244
313,104.7,243
314,104.1,239
315,73.1,238
316,104.5,237
317,104.3,233
318,72.3,232
319,105.0,226
320,72.4,225
321,72.5,223
322,104.6,223
323,72.7,220
324,72.1,220
325,72.9,219
326,72.8,218
327,72.0,218
328,72.6,215
329,71.7,215
330,104.4,214
331,104.8,212
332,104.9,210
333,72.2,209
334,71.8,209
335,105.2,200
336,71.6,197
337,71.3,193
338,71.9,191
339,71.4,190
340,71.5,190
341,71.1,183
342,105.4,180
343,105.1,177
344,70.6,175
345,70.1,171
346,105.5,171
347,105.9,169
348,105.7,168
349,71.2,165
350,70.3,164
351,69.6,163
352,105.6,162
353,70.5,162
354,105.8,162
355,105.3,162
356,106.3,157
357,71.0,156
358,106.0,154
359,106.5,150
360,106.1,150
361,70.4,148
362,70.8,147
363,69.0,147
364,70.0,146
365,70.7,145
366,69.1,144
367,70.9,143
368,70.2,141
369,69.3,135
370,69.7,131
371,69.9,129
372,106.8,128
373,69.4,125
374,106.2,123
375,106.4,121
376,106.6,121
377,69.8,120
378,68.9,120
379,69.5,119
380,106.7,118
381,107.1,116
382,68.1,116
383,68.8,115
384,69.2,113
385,106.9,113
386,68.3,112
387,68.7,111
388,68.5,110
389,68.2,107
390,107.2,105
391,107.3,104
392,107.5,104
393,68.6,103
394,68.4,101
395,107.8,99
396,67.7,97
397,107.9,94
398,107.6,94
399,107.0,94
400,Duplicate request,94
401,68.0,94
402,67.6,91
403,66.4,91
404,67.1,89
405,107.4,86
406,66.7,86
407,66.9,85
408,67.9,82
409,108.1,81
410,108.4,81
411,108.8,81
412,67.3,80
413,66.2,80
414,67.4,79
415,108.3,79
416,108.9,79
417,108.7,78
418,108.0,78
419,67.0,78
420,Unable to assay. Quantity not sufficient.,77
421,66.3,75
422,108.5,75
423,66.5,74
424,66.8,74
425,67.2,73
426,65.9,73
427,107.7,73
428,67.5,71
429,65.6,70
430,65.7,70
431,67.8,66
432,108.6,66
433,109.2,66
434,108.2,65
435,66.6,64
436,66.1,64
437,66.0,64
438,65.8,64
439,109.0,64
440,109.5,62
441,65.3,62
442,Unable to assay. No specimen received.,62
443,65.1,62
444,64.9,61
445,64.0,59
446,64.3,57
447,109.6,57
448,109.1,56
449,109.4,56
450,64.6,54
451,110.0,54
452,109.3,54
453,65.5,52
454,65.4,52
455,65.0,52
456,64.7,52
457,109.8,50
458,64.4,49
459,63.8,49
460,63.9,48
461,64.8,47
462,109.9,47
463,63.7,45
464,63.4,45
465,65.2,44
466,110.2,44
467,110.3,43
468,62.6,43
469,64.1,43
470,63.5,41
471,110.4,41
472,63.3,41
473,62.4,40
474,63.0,40
475,110.9,40
476,64.5,40
477,63.6,39
478,111.1,39
479,110.8,39
480,109.7,38
481,110.6,38
482,63.2,38
483,63.1,37
484,62.9,36
485,62.7,35
486,64.2,35
487,Unable to assay. Specimen incorrectly identified.,35
488,62.8,35
489,111.7,34
490,111.0,33
491,62.5,33
492,111.9,33
493,110.5,33
494,112.3,32
495,110.1,32
496,61.4,32
497,61.5,31
498,62.1,31
499,112.1,31
500,61.7,30
501,111.2,30
502,111.3,30
503,110.7,29
504,61.8,29
505,60.5,28
506,62.0,28
507,62.2,28
508,60.7,28
509,62.3,27
510,113.0,27
511,112.9,27
512,113.7,26
513,61.6,26
514,60.9,25
515,Microtainer specimen,25
516,111.8,25
517,111.5,24
518,112.0,24
519,61.9,24
520,60.8,24
521,112.5,23
522,61.1,23
523,111.6,23
524,61.3,22
525,111.4,20
526,112.2,20
527,60.6,20
528,112.6,20
529,113.9,20
530,59.7,20
531,112.7,19
532,112.4,18
533,113.6,18
534,59.4,18
535,59.6,18
536,61.0,17
537,114.2,17
538,113.8,16
539,60.4,16
540,59.9,16
541,114.7,16
542,Requisitioning entry error,15
543,99.9,15
544,113.3,15
545,113.2,15
546,58.1,15
547,114.5,14
548,114.8,14
549,58.5,14
550,58.7,14
551,60.1,14
552,60.2,14
553,113.4,13
554,60.3,13
555,61.2,13
556,59.8,12
557,60.0,12
558,114.9,12
559,113.1,12
560,59.3,12
561,58.8,11
562,58.4,11
563,114.0,11
564,112.8,11
565,Specimen received unlabelled.,11
566,115.3,11
567,100.1,11
568,58.3,11
569,Unable to assay. Possible interfering substance(s) present.,11
570,Unable to assay. Specimen improperly collected/handled.,11
571,117.2,10
572,113.5,10
573,114.3,10
574,"CANCELLED,Specimen not collected or received",10
575,59.5,9
576,59.0,9
577,115.0,9
578,57.5,9
579,114.4,9
580,114.1,9
581,116.6,9
582,117.0,9
583,116.9,8
584,115.2,8
585,58.9,8
586,58.2,8
587,115.8,8
588,119.0,8
589,57.6,8
590,Unable to quantitate due to possible contamination.,8
591,59.2,8
592,59.1,8
593,57.9,8
594,57.2,8
595,115.6,8
596,115.4,7
597,115.5,7
598,57.0,7
599,56.4,7
600,117.7,7
601,120.4,7
602,118.5,6
603,116.7,6
604,119.9,6
605,120.3,6
606,117.3,6
607,117.1,6
608,116.2,6
609,Identity unclear. Specimen labelled incorrectly.,6
610,55.7,6
611,56.2,6
612,57.7,6
613,57.4,6
614,116.0,6
615,58.6,6
616,115.7,6
617,55.6,6
618,115.1,6
619,114.6,6
620,<<DO NOT REPORT>>,6
621,55.9,5
622,117.5,5
623,56.1,5
624,116.3,5
625,117.9,5
626,118.1,5
627,118.4,5
628,57.3,5
629,55.2,5
630,55.4,5
631,116.4,5
632,Ignore results. Specimen was contaminated,5
633,Cancelled by clinician,5
634,58.0,5
635,116.8,5
636,115.9,5
637,122.4,5
638,116.1,5
639,117.6,4
640,118.8,4
641,118.0,4
642,118.2,4
643,116.5,4
644,118.7,4
645,121.1,4
646,118.9,4
647,56.6,4
648,"Test accessioning error,please disregard.",4
649,53.7,4
650,53.9,4
651,54.6,4
652,55.0,4
653,122.8,4
654,122.6,4
655,55.8,4
656,56.3,4
657,56.5,4
658,120.8,4
659,Disregard results. Specimen incorrectly identified.,4
660,56.7,4
661,56.8,4
662,119.1,4
663,119.2,4
664,120.2,4
665,119.6,4
666,57.1,4
667,117.4,3
668,123.3,3
669,128.6,3
670,Ignore results.  Specimen clotted.,3
671,CLOTTED,3
672,52.9,3
673,57.8,3
674,53.8,3
675,121.8,3
676,119.8,3
677,121.4,3
678,119.4,3
679,56.9,3
680,118.6,3
681,54.8,2
682,Ignore results. Specimen clotted.,2
683,LCAN LOCATION ROUTING ERROR,2
684,Specimen collected in wrong container type.,2
685,Specimen contaminated,2
686,56.0,2
687,Test Not Performed,2
688,50.2,2
689,Test incorrectly ordered.,2
690,Test inadvertently not performed,2
691,51.5,2
692,51.8,2
693,Unable to assay.  Unable to locate specimen.,2
694,55.5,2
695,53.3,2
696,55.1,2
697,Unable to assay. Specimen too old to perform test.,2
698,54.4,2
699,54.9,2
700,124.4,2
701,122.7,2
702,121.0,2
703,124.7,2
704,125.6,2
705,123.2,2
706,123.0,2
707,122.1,2
708,121.7,2
709,94,2
710,121.6,2
711,120.9,2
712,120.6,2
713,120.1,2
714,117.8,2
715,128.2,2
716,119.7,2
717,119.3,2
718,118.3,2
719,124.6,2
720,Unable to assay. Broken/spilled in transit.,1
721,85,1
722,84,1
723,Cold agglutinin not corrected by heating,1
724,81,1
725,79,1
726,78,1
727,see below,1
728,88,1
729,Unable to assay. Analytical difficulty.,1
730,"Unable to assay,specimen age exceeds the recommended acceptable limit",1
731,89,1
732,Disregard results.,1
733,Clerical Error,1
734,ER NOTIFIED TO REDRAW,1
735,IMPCOL,1
736,Cancelled,1
737,Ignore results. Specimen hemolyzed,1
738,Ignore results. Specimen mislabeled,1
739,Called to,1
740,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
741,MISLABELED,1
742,Medical record number mismatch. Disregard results.,1
743,Patient discharged,1
744,Results called to and read back by:,1
745,SPECIMEN CLOTTED,1
746,CNDUPL,1
747,CLTD,1
748,Specimen drawn in wrong tube.,1
749,Test Not Indicated,1
750,Blood/Anticoagulant Ratio in tube unsatisfactory.,1
751,ACRE,1
752,93,1
753,92,1
754,Test reordered by CCHS hospital.,1
755,90,1
756,Disregard previous report of:,1
757,119.5,1
758,120.5,1
759,31.0,1
760,155.2,1
761,146.4,1
762,141.8,1
763,140.6,1
764,138.6,1
765,137.9,1
766,135.9,1
767,135.2,1
768,134.6,1
769,133.5,1
770,133.3,1
771,132.8,1
772,132.6,1
773,132.2,1
774,131.5,1
775,159.5,1
776,48.0,1
777,120.7,1
778,48.6,1
779,55.3,1
780,54.7,1
781,54.3,1
782,54.2,1
783,54.1,1
784,53.6,1
785,53.2,1
786,53.1,1
787,53.0,1
788,52.7,1
789,52.6,1
790,51.7,1
791,51.3,1
792,50.9,1
793,50.4,1
794,130.8,1
795,130.3,1
796,130.2,1
797,126.2,1
798,125.9,1
799,125.5,1
800,125.4,1
801,125.1,1
802,125.0,1
803,124.9,1
804,124.3,1
805,124.1,1
806,123.9,1
807,123.8,1
808,122.9,1
809,122.5,1
810,122.2,1
811,121.9,1
812,121.3,1
813,126.0,1
814,126.1,1
815,10.7,1
816,129.3,1
817,126.6,1
818,126.7,1
819,127.2,1
820,129.6,1
821,127.3,1
822,127.5,1
823,127.6,1
824,127.8,1
825,126.4,1
826,128.0,1
827,128.4,1
828,128.7,1
829,129.1,1
830,121.5,0
831,130.7,0
832,129.2,0
833,REQUEST CREDITED,0
834,124.0,0
