,index,rbc_admit_value
164,3.43,1852
165,3.44,1850
166,5.06,1839
167,3.39,1796
168,5.07,1772
169,5.08,1749
170,5.09,1747
171,3.40,1746
172,3.38,1736
173,3.37,1715
174,3.35,1703
175,3.36,1697
176,3.34,1663
177,5.10,1640
178,3.32,1632
179,5.12,1630
180,5.11,1624
181,3.30,1570
182,3.33,1563
183,5.13,1560
184,5.15,1536
185,3.28,1524
186,3.31,1523
187,5.14,1521
188,5.16,1512
189,3.29,1500
190,3.27,1446
191,3.26,1437
192,5.18,1421
193,5.19,1418
194,5.17,1407
195,3.25,1403
196,3.22,1376
197,3.21,1366
198,3.20,1358
199,3.24,1339
200,3.23,1335
201,5.20,1316
202,5.23,1296
203,5.21,1287
204,3.16,1279
205,5.22,1264
206,3.19,1262
207,3.18,1239
208,3.13,1226
209,3.15,1223
210,3.17,1195
211,5.24,1190
212,3.08,1180
213,5.26,1160
214,3.12,1160
215,5.25,1153
216,3.11,1150
217,3.14,1142
218,3.10,1128
219,3.07,1127
220,5.27,1117
221,3.09,1091
222,5.28,1086
223,3.05,1081
224,3.04,1079
225,3.06,1044
226,5.30,1042
227,5.29,1039
228,Unable to assay. Clotted specimen.,1022
229,3.03,1012
230,5.32,980
231,3.02,976
232,2.97,960
233,3.00,959
234,2.99,933
235,5.31,923
236,3.01,921
237,5.33,916
238,5.36,914
239,2.98,911
240,5.34,892
241,2.96,886
242,Account Credited,883
243,5.35,878
244,2.95,874
245,5.37,844
246,2.91,829
247,2.93,818
248,5.38,808
249,2.94,806
250,2.90,799
251,5.40,788
252,2.92,767
253,2.89,756
254,5.39,749
255,5.43,732
256,5.41,721
257,2.88,716
258,2.85,716
259,2.86,711
260,2.84,709
261,5.42,702
262,2.87,702
263,2.81,677
264,5.44,672
265,5.46,661
266,2.82,660
267,2.83,658
268,5.45,631
269,2.80,615
270,2.78,608
271,5.48,592
272,2.79,592
273,5.47,588
274,5.49,582
275,2.76,577
276,2.75,567
277,2.72,561
278,2.74,555
279,2.77,547
280,5.50,546
281,2.71,522
282,5.51,517
283,2.73,516
284,2.70,509
285,2.68,508
286,2.69,507
287,5.52,505
288,2.67,500
289,5.54,490
290,5.55,485
291,5.53,485
292,2.65,474
293,5.57,439
294,5.56,438
295,5.58,435
296,2.66,432
297,2.64,427
298,Unable to report,416
299,2.63,411
300,5.59,403
301,2.62,395
302,2.59,390
303,2.61,384
304,2.60,382
305,5.61,382
306,2.58,381
307,5.63,379
308,5.64,365
309,5.62,362
310,5.60,351
311,5.66,337
312,2.57,335
313,2.56,331
314,5.65,328
315,5.69,327
316,2.52,327
317,2.54,324
318,2.53,323
319,2.55,314
320,5.68,308
321,2.50,300
322,5.67,291
323,2.51,286
324,5.72,281
325,2.48,274
326,2.49,273
327,5.71,258
328,5.70,253
329,5.75,253
330,2.47,250
331,2.46,250
332,2.44,249
333,5.76,248
334,5.73,242
335,5.74,242
336,2.41,239
337,2.43,232
338,2.42,231
339,2.45,228
340,2.40,214
341,5.78,213
342,2.38,212
343,5.77,210
344,5.80,200
345,2.37,199
346,5.82,198
347,2.39,196
348,5.79,182
349,2.36,180
350,5.83,178
351,5.85,174
352,2.32,174
353,2.34,169
354,2.35,166
355,5.86,166
356,5.81,164
357,5.88,160
358,5.84,153
359,2.31,151
360,5.89,148
361,2.30,146
362,5.90,142
363,5.87,141
364,2.28,141
365,2.33,141
366,2.29,136
367,5.91,133
368,2.26,133
369,2.25,130
370,5.92,125
371,2.27,125
372,5.94,124
373,5.98,121
374,2.24,119
375,2.22,117
376,5.93,117
377,2.20,115
378,5.95,115
379,2.23,112
380,5.97,111
381,2.21,105
382,5.99,102
383,2.19,101
384,2.18,99
385,2.17,97
386,6.00,97
387,Duplicate request,96
388,6.01,96
389,5.96,96
390,2.16,94
391,6.04,93
392,2.15,90
393,6.03,83
394,2.12,82
395,2.11,82
396,6.07,79
397,6.06,79
398,Unable to assay. Quantity not sufficient.,78
399,6.02,77
400,6.05,76
401,6.09,74
402,2.14,73
403,6.08,73
404,6.10,73
405,2.10,71
406,2.13,71
407,6.11,69
408,Unable to assay. No specimen received.,66
409,2.07,64
410,2.09,63
411,6.14,63
412,2.05,62
413,6.18,61
414,6.13,61
415,2.02,59
416,6.15,57
417,6.12,56
418,2.08,56
419,2.06,55
420,6.19,53
421,2.03,52
422,6.16,51
423,6.22,50
424,2.01,48
425,6.17,48
426,1.92,48
427,1.99,46
428,1.97,45
429,6.23,44
430,6.34,43
431,2.00,42
432,6.20,41
433,6.21,40
434,6.27,40
435,6.33,38
436,6.25,38
437,1.96,38
438,1.90,38
439,2.04,38
440,6.28,37
441,1.91,37
442,1.98,36
443,6.35,36
444,Unable to assay. Specimen incorrectly identified.,36
445,6.26,36
446,1.93,34
447,6.24,34
448,6.29,33
449,1.84,33
450,6.30,33
451,1.95,31
452,1.94,30
453,6.36,29
454,6.32,29
455,6.31,28
456,6.42,27
457,Microtainer specimen,26
458,6.37,26
459,6.47,25
460,6.40,25
461,1.86,25
462,1.89,24
463,1.88,24
464,6.41,24
465,1.74,23
466,1.81,23
467,6.48,22
468,6.49,22
469,6.39,22
470,1.85,22
471,6.38,21
472,1.80,21
473,6.45,20
474,1.87,19
475,1.83,19
476,6.54,19
477,6.51,19
478,1.68,18
479,6.65,18
480,1.82,18
481,6.60,18
482,6.52,18
483,6.68,18
484,1.73,17
485,6.43,17
486,6.58,17
487,1.79,17
488,1.77,17
489,6.46,17
490,1.65,16
491,1.75,16
492,1.76,16
493,1.78,15
494,1.61,15
495,6.50,15
496,Requisitioning entry error,14
497,1.72,14
498,6.53,13
499,1.67,13
500,1.70,13
501,6.71,12
502,6.44,12
503,6.55,12
504,1.62,12
505,6.76,12
506,1.56,12
507,Specimen received unlabelled.,11
508,Unable to assay. Specimen improperly collected/handled.,11
509,Unable to assay. Possible interfering substance(s) present.,11
510,1.60,11
511,6.64,11
512,6.59,11
513,6.73,10
514,6.78,10
515,6.79,10
516,1.66,10
517,6.56,10
518,"CANCELLED,Specimen not collected or received",10
519,1.55,10
520,1.58,9
521,6.88,9
522,6.70,9
523,6.57,9
524,6.74,9
525,6.67,9
526,1.47,9
527,7.19,8
528,Unable to quantitate due to possible contamination.,8
529,1.63,8
530,1.59,8
531,1.54,8
532,6.72,7
533,6.77,7
534,1.64,7
535,1.50,7
536,6.62,7
537,6.69,6
538,6.63,6
539,1.51,6
540,1.48,6
541,Identity unclear. Specimen labelled incorrectly.,6
542,6.82,6
543,1.39,6
544,6.66,6
545,1.57,6
546,1.71,6
547,6.83,6
548,<<DO NOT REPORT>>,6
549,6.92,6
550,Ignore results. Specimen was contaminated,5
551,6.81,5
552,6.90,5
553,6.89,5
554,1.46,5
555,6.85,5
556,6.87,5
557,1.42,5
558,Cancelled by clinician,5
559,1.69,5
560,6.95,4
561,6.97,4
562,7.05,4
563,7.08,4
564,6.91,4
565,7.15,4
566,7.22,4
567,1.52,4
568,1.53,4
569,"Test accessioning error,please disregard.",4
570,7.11,4
571,6.98,4
572,6.86,4
573,1.40,4
574,1.45,4
575,Disregard results. Specimen incorrectly identified.,4
576,1.41,4
577,1.34,4
578,6.80,4
579,1.43,4
580,1.37,3
581,1.36,3
582,6.84,3
583,7.13,3
584,7.40,3
585,7.55,3
586,1.22,3
587,6.61,3
588,7.18,3
589,7.17,3
590,7.16,3
591,7.12,3
592,Ignore results.  Specimen clotted.,3
593,CLOTTED,3
594,7.07,3
595,7.06,3
596,1.49,3
597,7.04,3
598,6.99,3
599,1.44,3
600,6.75,3
601,Unable to assay.  Unable to locate specimen.,3
602,>8.00,2
603,7.43,2
604,7.76,2
605,Test Not Performed,2
606,Specimen contaminated,2
607,7.53,2
608,1.35,2
609,Test incorrectly ordered.,2
610,Test inadvertently not performed,2
611,7.57,2
612,7.39,2
613,7.24,2
614,Specimen collected in wrong container type.,2
615,1.23,2
616,LCAN LOCATION ROUTING ERROR,2
617,6.93,2
618,Ignore results. Specimen clotted.,2
619,1.27,2
620,7.00,2
621,1.25,2
622,Unable to assay. Specimen too old to perform test.,2
623,7.21,2
624,7.36,2
625,7.25,2
626,7.27,2
627,7.28,2
628,7.32,2
629,1.38,2
630,7.34,2
631,7.35,2
632,1.29,2
633,8.06,1
634,1.33,1
635,1.01,1
636,0.84,1
637,0.85,1
638,0.91,1
639,0.92,1
640,0.95,1
641,0.96,1
642,0.97,1
643,0.98,1
644,0.99,1
645,1.08,1
646,1.31,1
647,1.13,1
648,1.15,1
649,1.16,1
650,1.17,1
651,1.20,1
652,1.24,1
653,1.26,1
654,1.28,1
655,1.30,1
656,1.32,1
657,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
658,Unable to assay. Broken/spilled in transit.,1
659,9.24,1
660,8.73,1
661,8.61,1
662,8.32,1
663,see below,1
664,6.94,1
665,7.02,1
666,7.03,1
667,7.10,1
668,7.20,1
669,7.30,1
670,7.31,1
671,7.33,1
672,7.37,1
673,7.38,1
674,7.42,1
675,7.47,1
676,7.49,1
677,7.52,1
678,7.54,1
679,7.56,1
680,7.62,1
681,7.65,1
682,7.67,1
683,7.68,1
684,7.71,1
685,8.81,1
686,ACRE,1
687,Unable to assay. Analytical difficulty.,1
688,Blood/Anticoagulant Ratio in tube unsatisfactory.,1
689,"Unable to assay,specimen age exceeds the recommended acceptable limit",1
690,Test reordered by CCHS hospital.,1
691,Test Not Indicated,1
692,Specimen drawn in wrong tube.,1
693,SPECIMEN CLOTTED,1
694,SAMPLE CLOTTED IGNORE RESULTS,1
695,Results called to and read back by:,1
696,Patient discharged,1
697,Medical record number mismatch. Disregard results.,1
698,MISLABELED,1
699,7.99,1
700,Ignore results. Specimen mislabeled,1
701,Ignore results. Specimen hemolyzed,1
702,IMPCOL,1
703,HIDE,1
704,ER NOTIFIED TO REDRAW,1
705,Disregard results.,1
706,Disregard previous report of:,1
707,Cold agglutinin not corrected by heating,1
708,Clerical Error,1
709,Cancelled,1
710,Called to,1
711,CNDUPL,1
712,CLTD,1
713,0.80,1
714,REQUEST CREDITED,0
