,index,abs_lymph_admit_value
114,0.81,1722
115,0.79,1695
116,1.94,1694
117,1.98,1683
118,0.76,1667
119,0.75,1665
120,2.00,1658
121,1.99,1644
122,0.77,1635
123,2.03,1635
124,1.95,1631
125,1.96,1618
126,0.78,1604
127,0.74,1584
128,0.70,1583
129,2.10,1577
130,0.73,1576
131,2.04,1569
132,2.06,1562
133,1.97,1559
134,2.01,1556
135,2.08,1546
136,0.71,1512
137,2.02,1499
138,0.72,1486
139,2.12,1477
140,2.07,1474
141,2.05,1473
142,0.68,1460
143,0.69,1458
144,2.11,1455
145,0.62,1447
146,2.13,1446
147,2.09,1445
148,0.65,1443
149,2.16,1438
150,0.67,1424
151,0.64,1421
152,0.66,1415
153,2.20,1375
154,0.63,1364
155,2.17,1364
156,2.15,1364
157,2.14,1352
158,2.18,1347
159,2.22,1343
160,2.19,1334
161,0.61,1299
162,2.21,1297
163,2.30,1292
164,2.24,1275
165,2.25,1247
166,0.60,1231
167,2.23,1224
168,2.27,1216
169,2.29,1213
170,0.59,1205
171,2.28,1189
172,2.26,1188
173,2.32,1165
174,2.37,1160
175,0.55,1158
176,0.58,1158
177,2.34,1155
178,2.40,1153
179,2.35,1144
180,2.33,1136
181,2.36,1131
182,2.38,1120
183,2.31,1098
184,0.56,1093
185,0.57,1093
186,0.54,1072
187,2.39,1067
188,0.53,1062
189,2.45,1039
190,2.41,1036
191,2.42,1034
192,2.44,1026
193,0.51,1021
194,0.52,996
195,2.48,996
196,2.46,987
197,2.43,982
198,2.52,981
199,0.50,979
200,2.49,958
201,2.51,956
202,2.50,947
203,2.54,933
204,2.47,928
205,2.55,914
206,0.49,907
207,2.56,896
208,2.53,884
209,2.57,883
210,2.59,878
211,0.47,865
212,2.60,864
213,2.62,854
214,2.58,833
215,0.48,831
216,2.64,822
217,2.61,816
218,2.70,806
219,0.45,794
220,2.66,792
221,2.63,790
222,2.65,785
223,Unable to assay. Clotted specimen.,784
224,0.46,782
225,2.67,778
226,2.71,764
227,2.69,751
228,0.43,747
229,0.42,740
230,2.68,737
231,2.73,735
232,0.44,724
233,2.72,715
234,2.76,691
235,2.75,690
236,0.40,689
237,Account Credited,687
238,0.41,684
239,2.74,678
240,2.77,678
241,2.80,669
242,2.79,658
243,2.85,654
244,2.78,652
245,0.39,648
246,2.82,634
247,2.84,627
248,2.83,617
249,2.88,601
250,0.37,601
251,2.87,591
252,2.81,588
253,0.38,587
254,0.35,587
255,2.89,583
256,2.90,583
257,2.93,574
258,2.92,573
259,2.86,572
260,2.91,571
261,2.97,556
262,2.94,547
263,2.96,538
264,0.36,538
265,3.00,525
266,0.34,506
267,2.99,505
268,2.95,504
269,2.98,501
270,3.01,499
271,3.02,497
272,3.04,496
273,3.08,478
274,3.06,467
275,3.03,467
276,3.07,461
277,3.11,459
278,0.33,452
279,0.31,445
280,3.05,444
281,3.16,444
282,3.12,443
283,3.10,440
284,3.09,436
285,0.32,434
286,0.30,416
287,3.13,411
288,3.17,410
289,3.19,401
290,3.18,399
291,3.14,394
292,3.15,393
293,3.21,393
294,0.29,380
295,3.24,374
296,3.20,366
297,3.23,365
298,3.28,364
299,0.28,361
300,3.22,360
301,3.25,354
302,3.32,353
303,3.34,351
304,3.26,341
305,3.30,332
306,3.27,330
307,3.29,326
308,0.27,323
309,0.25,319
310,3.31,318
311,Unable to report,317
312,3.39,315
313,3.43,305
314,3.44,304
315,3.37,301
316,3.38,299
317,3.49,299
318,3.35,299
319,0.26,296
320,3.33,293
321,3.53,288
322,3.36,287
323,3.41,286
324,3.40,283
325,3.50,274
326,0.24,271
327,3.48,270
328,3.46,268
329,3.47,262
330,3.42,254
331,3.45,248
332,3.56,238
333,0.23,238
334,3.51,235
335,3.59,233
336,3.52,233
337,3.61,228
338,3.54,228
339,3.58,227
340,3.62,226
341,3.67,222
342,3.55,221
343,3.66,220
344,3.60,218
345,0.22,211
346,3.57,210
347,0.21,208
348,3.69,208
349,3.70,207
350,3.64,204
351,3.65,200
352,3.76,196
353,3.71,196
354,0.20,192
355,3.72,188
356,3.80,188
357,3.68,185
358,0.19,185
359,3.73,185
360,3.86,183
361,3.74,182
362,3.78,176
363,3.63,175
364,3.85,175
365,3.77,171
366,3.82,171
367,3.75,169
368,3.79,168
369,3.83,167
370,0.18,163
371,3.81,159
372,3.84,154
373,4.03,152
374,3.97,150
375,3.90,149
376,3.93,146
377,0.17,146
378,3.87,146
379,3.88,143
380,3.91,139
381,3.92,139
382,3.99,139
383,3.94,138
384,3.96,138
385,4.00,137
386,4.15,135
387,4.05,135
388,3.89,134
389,3.95,129
390,4.10,128
391,4.06,125
392,4.14,125
393,3.98,125
394,Too Few Cells To Do Differential,125
395,0.15,123
396,4.01,123
397,4.02,122
398,4.12,116
399,4.21,115
400,4.07,114
401,4.17,114
402,4.04,113
403,0.14,113
404,0.16,113
405,4.08,111
406,4.22,111
407,4.09,108
408,4.11,107
409,4.16,107
410,4.20,105
411,4.24,99
412,0.13,99
413,0.00,99
414,4.19,97
415,4.13,97
416,4.25,94
417,4.30,94
418,4.32,90
419,4.35,90
420,4.23,89
421,4.36,87
422,4.47,87
423,4.34,85
424,4.41,84
425,0.12,84
426,4.26,83
427,4.18,82
428,4.39,81
429,4.40,80
430,0.10,80
431,0.11,80
432,4.48,79
433,4.51,78
434,4.43,78
435,4.38,77
436,4.28,77
437,4.42,77
438,4.37,75
439,4.58,74
440,4.31,74
441,4.29,73
442,4.55,72
443,4.33,72
444,4.52,71
445,4.27,71
446,4.44,71
447,4.49,70
448,4.46,69
449,4.53,67
450,4.50,66
451,4.65,66
452,0.09,65
453,4.61,64
454,4.45,63
455,4.75,63
456,4.91,62
457,4.72,61
458,4.56,61
459,4.71,60
460,4.76,58
461,4.92,58
462,4.60,57
463,4.66,56
464,4.69,56
465,4.86,56
466,4.89,55
467,4.64,55
468,4.68,54
469,4.62,54
470,Unable to assay. Quantity not sufficient.,53
471,0.08,53
472,4.63,53
473,4.87,53
474,4.57,52
475,4.81,52
476,4.67,51
477,4.85,51
478,4.78,50
479,4.77,50
480,4.80,49
481,4.98,48
482,4.59,48
483,4.79,46
484,4.82,45
485,4.94,45
486,Duplicate request,45
487,4.90,45
488,4.54,45
489,4.84,44
490,4.99,43
491,0.07,43
492,4.70,42
493,4.83,41
494,4.95,41
495,4.74,40
496,4.93,40
497,4.97,39
498,4.96,38
499,Unable to assay. No specimen received.,36
500,0.06,36
501,0.05,35
502,4.73,35
503,4.88,35
504,0.04,29
505,5.12,28
506,Unable to assay. Specimen incorrectly identified.,27
507,5.03,25
508,5.30,25
509,5.32,25
510,5.10,23
511,5.14,23
512,5.17,23
513,5.00,22
514,5.02,21
515,5.24,21
516,5.04,20
517,5.13,20
518,5.36,19
519,6.04,19
520,Microtainer specimen,19
521,5.09,19
522,5.21,18
523,5.76,18
524,5.48,18
525,5.49,18
526,5.53,17
527,5.88,17
528,5.29,17
529,5.31,17
530,0.03,17
531,5.41,17
532,5.20,17
533,5.07,17
534,5.05,17
535,6.20,17
536,5.56,16
537,5.11,16
538,5.22,16
539,5.23,16
540,5.19,16
541,5.28,16
542,5.42,16
543,5.78,16
544,6.13,16
545,5.16,15
546,5.65,15
547,5.25,15
548,5.92,15
549,5.06,15
550,5.58,15
551,5.15,15
552,5.62,15
553,5.37,14
554,5.68,14
555,5.67,14
556,5.52,14
557,5.55,14
558,5.39,13
559,5.61,13
560,6.15,13
561,5.59,13
562,6.75,13
563,5.98,13
564,5.35,13
565,5.82,13
566,5.47,13
567,5.77,12
568,6.94,12
569,5.84,12
570,5.08,12
571,5.93,12
572,5.83,12
573,5.71,12
574,6.00,12
575,5.38,12
576,5.64,12
577,5.51,12
578,5.72,12
579,5.45,12
580,5.50,12
581,6.30,11
582,5.97,11
583,5.89,11
584,REVISED,11
585,6.05,11
586,6.03,11
587,6.39,11
588,5.95,11
589,6.48,11
590,5.26,11
591,5.27,11
592,5.33,11
593,5.79,11
594,5.57,11
595,5.54,11
596,6.50,11
597,6.66,10
598,5.90,10
599,7.61,10
600,5.81,10
601,7.23,10
602,5.94,10
603,5.01,10
604,5.44,10
605,5.99,10
606,5.63,10
607,6.58,10
608,6.47,10
609,6.27,10
610,6.56,10
611,5.46,10
612,6.24,10
613,6.72,10
614,5.80,10
615,6.74,10
616,5.85,10
617,7.18,10
618,5.86,10
619,5.75,10
620,6.54,9
621,Requisitioning entry error,9
622,6.10,9
623,5.96,9
624,6.14,9
625,6.32,9
626,5.60,9
627,6.59,9
628,8.35,9
629,5.73,9
630,6.07,9
631,6.51,9
632,7.00,9
633,7.22,9
634,6.46,9
635,5.40,9
636,5.70,9
637,7.05,9
638,0.02,9
639,6.76,9
640,5.18,9
641,6.36,9
642,6.19,9
643,6.26,8
644,6.42,8
645,6.34,8
646,6.28,8
647,7.25,8
648,6.55,8
649,6.45,8
650,5.69,8
651,6.22,8
652,6.95,8
653,7.13,8
654,6.11,8
655,6.64,8
656,6.08,8
657,6.02,8
658,5.87,8
659,6.21,8
660,6.49,8
661,Unable to assay. Specimen improperly collected/handled.,8
662,6.99,8
663,8.37,7
664,6.96,7
665,6.97,7
666,6.85,7
667,6.87,7
668,6.77,7
669,6.53,7
670,7.03,7
671,6.82,7
672,7.15,7
673,8.27,7
674,7.36,7
675,6.44,7
676,6.38,7
677,6.01,7
678,Manual review follows,7
679,6.18,7
680,7.66,7
681,5.74,7
682,7.26,7
683,6.06,7
684,5.34,7
685,Unable to quantitate due to possible contamination.,7
686,Unable to assay. Possible interfering substance(s) present.,6
687,7.68,6
688,6.78,6
689,7.63,6
690,5.43,6
691,<0.03,6
692,5.66,6
693,6.93,6
694,6.92,6
695,6.91,6
696,6.90,6
697,6.89,6
698,6.86,6
699,7.38,6
700,6.68,6
701,6.65,6
702,7.08,6
703,7.11,6
704,6.69,6
705,6.16,6
706,6.17,6
707,6.83,6
708,6.23,6
709,0.01,6
710,7.82,6
711,6.31,6
712,8.00,6
713,6.67,6
714,6.80,5
715,8.05,5
716,7.86,5
717,7.04,5
718,8.28,5
719,8.78,5
720,8.26,5
721,8.19,5
722,7.01,5
723,7.33,5
724,7.80,5
725,7.43,5
726,7.40,5
727,7.20,5
728,8.76,5
729,6.35,5
730,6.63,5
731,6.40,5
732,6.88,5
733,6.79,5
734,6.62,5
735,6.60,5
736,6.57,5
737,6.43,5
738,6.29,5
739,8.87,5
740,6.25,5
741,6.12,5
742,Cancelled by clinician,5
743,Ignore results. Specimen was contaminated,5
744,Specimen received unlabelled.,5
745,5.91,5
746,9.29,5
747,7.57,5
748,6.52,4
749,6.70,4
750,7.07,4
751,7.09,4
752,8.48,4
753,6.61,4
754,7.12,4
755,7.14,4
756,8.01,4
757,8.52,4
758,7.19,4
759,6.41,4
760,6.33,4
761,7.93,4
762,6.09,4
763,7.31,4
764,7.32,4
765,7.58,4
766,7.34,4
767,9.61,4
768,7.37,4
769,7.41,4
770,7.42,4
771,7.48,4
772,7.74,4
773,7.72,4
774,"Test accessioning error,please disregard.",4
775,7.06,4
776,8.80,4
777,6.73,4
778,8.15,4
779,8.36,4
780,8.45,4
781,9.49,4
782,8.17,4
783,9.25,4
784,8.44,4
785,8.47,4
786,9.15,3
787,"CANCELLED,Specimen not collected or received",3
788,8.67,3
789,9.62,3
790,7.62,3
791,9.69,3
792,7.81,3
793,9.76,3
794,9.28,3
795,8.46,3
796,11.23,3
797,7.73,3
798,7.79,3
799,7.78,3
800,8.41,3
801,8.99,3
802,10.05,3
803,10.26,3
804,9.23,3
805,7.75,3
806,9.31,3
807,8.84,3
808,9.56,3
809,8.06,3
810,8.72,3
811,8.82,3
812,8.09,3
813,8.10,3
814,8.50,3
815,8.12,3
816,8.51,3
817,8.97,3
818,7.99,3
819,9.58,3
820,8.54,3
821,9.46,3
822,8.55,3
823,8.59,3
824,14.85,3
825,7.94,3
826,9.38,3
827,7.87,3
828,8.31,3
829,8.96,3
830,7.95,3
831,7.46,3
832,7.52,3
833,7.47,3
834,7.24,3
835,7.51,3
836,7.27,3
837,6.37,3
838,7.45,3
839,7.10,3
840,7.16,3
841,7.29,3
842,6.71,3
843,7.55,3
844,7.17,3
845,7.21,3
846,8.21,2
847,8.24,2
848,7.59,2
849,8.20,2
850,8.29,2
851,6.84,2
852,8.16,2
853,9.52,2
854,9.35,2
855,9.42,2
856,8.39,2
857,8.43,2
858,6.98,2
859,8.11,2
860,9.27,2
861,8.56,2
862,8.57,2
863,9.22,2
864,9.60,2
865,8.02,2
866,9.64,2
867,9.80,2
868,7.89,2
869,7.91,2
870,7.92,2
871,7.28,2
872,7.96,2
873,7.98,2
874,9.82,2
875,9.78,2
876,8.07,2
877,9.75,2
878,9.73,2
879,9.70,2
880,9.06,2
881,8.03,2
882,8.04,2
883,7.02,2
884,9.09,2
885,8.85,2
886,8.98,2
887,8.95,2
888,10.74,2
889,10.78,2
890,13.96,2
891,13.75,2
892,10.91,2
893,10.92,2
894,13.31,2
895,10.96,2
896,11.07,2
897,11.17,2
898,11.27,2
899,11.28,2
900,11.34,2
901,12.46,2
902,11.48,2
903,12.30,2
904,12.20,2
905,12.12,2
906,11.76,2
907,1159,2
908,11.93,2
909,10.62,2
910,14.45,2
911,10.55,2
912,10.13,2
913,8.90,2
914,8.77,2
915,8.71,2
916,8.68,2
917,8.66,2
918,10.00,2
919,10.04,2
920,15.51,2
921,10.12,2
922,10.15,2
923,10.53,2
924,15.13,2
925,10.17,2
926,10.18,2
927,10.19,2
928,14.98,2
929,10.34,2
930,10.42,2
931,10.43,2
932,10.49,2
933,9.88,2
934,9.33,2
935,11.94,2
936,9.95,2
937,22.21,2
938,Ignore results. Specimen clotted.,2
939,7.67,2
940,Identity unclear. Specimen labelled incorrectly.,2
941,9.99,2
942,7.65,2
943,7.85,2
944,23.24,2
945,7.53,2
946,Test inadvertently not performed,2
947,7.77,2
948,7.64,2
949,7.56,2
950,7.44,2
951,7.39,2
952,7.83,2
953,7.49,2
954,10.33,1
955,10.27,1
956,47.67,1
957,48.12,1
958,10.41,1
959,Unable to assay.  Unable to locate specimen.,1
960,Unable to assay. Broken/spilled in transit.,1
961,10.46,1
962,47.76,1
963,47.80,1
964,Unable to assay. Primary specimen no longer available for additional,1
965,10.75,1
966,10.58,1
967,10.59,1
968,10.63,1
969,10.67,1
970,10.77,1
971,10.71,1
972,313.24,1
973,10.72,1
974,10.73,1
975,50.11,1
976,10.76,1
977,484,1
978,Specimen contaminated,1
979,10.25,1
980,32.50,1
981,8.70,1
982,8.69,1
983,Patient discharged,1
984,320,1
985,Patient expired,1
986,8.65,1
987,8.64,1
988,8.63,1
989,45.95,1
990,10.01,1
991,10.03,1
992,46.85,1
993,10.06,1
994,10.24,1
995,Results called to and read back by:,1
996,10.07,1
997,10.09,1
998,10.10,1
999,10.11,1
1000,SEE MANUAL DIFF BELOW,1
1001,SPECIMEN CLOTTED,1
1002,10.79,1
1003,Specimen drawn in wrong tube.,1
1004,Specimen no longer available for testing.,1
1005,46.94,1
1006,47.35,1
1007,50.58,1
1008,10.90,1
1009,10.81,1
1010,11.59,1
1011,11.32,1
1012,567,1
1013,11.38,1
1014,11.41,1
1015,11.42,1
1016,58.71,1
1017,11.44,1
1018,58.82,1
1019,11.50,1
1020,11.52,1
1021,11.54,1
1022,11.57,1
1023,58.87,1
1024,562,1
1025,11.61,1
1026,11.66,1
1027,11.69,1
1028,11.74,1
1029,11.75,1
1030,11.77,1
1031,11.83,1
1032,11.85,1
1033,11.87,1
1034,11.89,1
1035,11.90,1
1036,11.92,1
1037,11.30,1
1038,552,1
1039,10.84,1
1040,101.79,1
1041,10.85,1
1042,5080,1
1043,510,1
1044,10.88,1
1045,33.15,1
1046,517,1
1047,52.27,1
1048,10.93,1
1049,54.23,1
1050,10.94,1
1051,54.76,1
1052,1004,1
1053,101.97,1
1054,11.26,1
1055,1020,1
1056,107.61,1
1057,108.99,1
1058,1084,1
1059,545,1
1060,11.09,1
1061,11.11,1
1062,11.12,1
1063,11.13,1
1064,55.40,1
1065,11.21,1
1066,3114,1
1067,432,1
1068,9.90,1
1069,8.73,1
1070,9.39,1
1071,9.63,1
1072,40.95,1
1073,40.58,1
1074,42.01,1
1075,<<DO NOT REPORT>>,1
1076,9.59,1
1077,9.57,1
1078,ACRE,1
1079,42.46,1
1080,39.55,1
1081,9.55,1
1082,CLOTTED,1
1083,9.54,1
1084,9.53,1
1085,CLTD,1
1086,CNDUPL,1
1087,9.51,1
1088,9.50,1
1089,38.82,1
1090,9.47,1
1091,38.45,1
1092,9.45,1
1093,9.44,1
1094,9.43,1
1095,Called to,1
1096,42.66,1
1097,9.41,1
1098,998,1
1099,99.04,1
1100,9.65,1
1101,912,1
1102,9.87,1
1103,9.91,1
1104,9.93,1
1105,9.85,1
1106,9.94,1
1107,9.84,1
1108,9.96,1
1109,9.81,1
1110,9.97,1
1111,9.79,1
1112,41.46,1
1113,91.53,1
1114,9.72,1
1115,9.67,1
1116,9.71,1
1117,92.10,1
1118,41.42,1
1119,9.68,1
1120,92.19,1
1121,944,1
1122,95.71,1
1123,95.78,1
1124,96.18,1
1125,96.29,1
1126,970,1
1127,98.10,1
1128,9.40,1
1129,3794,1
1130,8.74,1
1131,Clerical Error,1
1132,85.13,1
1133,84.74,1
1134,839,1
1135,825,1
1136,816,1
1137,813,1
1138,81.65,1
1139,809,1
1140,805,1
1141,35.01,1
1142,43.02,1
1143,34.70,1
1144,34.56,1
1145,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
1146,8.94,1
1147,8.93,1
1148,8.92,1
1149,MISLABELED,1
1150,34.16,1
1151,43.49,1
1152,34.06,1
1153,332,1
1154,33.60,1
1155,33.59,1
1156,Medical record number mismatch. Disregard results.,1
1157,33.35,1
1158,8.75,1
1159,865,1
1160,87.54,1
1161,88.03,1
1162,35.32,1
1163,9.37,1
1164,Disregard results.,1
1165,9.34,1
1166,11.97,1
1167,37.53,1
1168,9.30,1
1169,37.22,1
1170,367,1
1171,429,1
1172,IMPCOL,1
1173,9.26,1
1174,36.44,1
1175,9.21,1
1176,898,1
1177,9.20,1
1178,9.19,1
1179,9.17,1
1180,35.18,1
1181,9.14,1
1182,9.13,1
1183,9.11,1
1184,Ignore results. Specimen hemolyzed,1
1185,9.07,1
1186,Ignore results. Specimen mislabeled,1
1187,9.05,1
1188,9.00,1
1189,8.79,1
1190,12.51,1
1191,110.57,1
1192,756,1
1193,76426,1
1194,770,1
1195,78.23,1
1196,79.83,1
1197,8.08,1
1198,69.36,1
1199,689,1
1200,68.75,1
1201,8.13,1
1202,8.14,1
1203,672,1
1204,670,1
1205,8.18,1
1206,66.75,1
1207,8.22,1
1208,760,1
1209,75.60,1
1210,20.58,1
1211,74.60,1
1212,20.21,1
1213,20.13,1
1214,20.09,1
1215,7.50,1
1216,7.76,1
1217,7.35,1
1218,7.30,1
1219,7.88,1
1220,7.90,1
1221,704,1
1222,71.29,1
1223,71.37,1
1224,72.34,1
1225,72.52,1
1226,74.40,1
1227,8.23,1
1228,66.49,1
1229,65.01,1
1230,646,1
1231,30.87,1
1232,8.53,1
1233,31.11,1
1234,31.38,1
1235,8.58,1
1236,31.84,1
1237,8.60,1
1238,8.62,1
1239,1982,1
1240,1978,1
1241,1968,1
1242,190.50,1
1243,19.81,1
1244,19.54,1
1245,19.27,1
1246,30.68,1
1247,30.63,1
1248,8.49,1
1249,63.46,1
1250,8.30,1
1251,64.01,1
1252,8.32,1
1253,8.33,1
1254,8.34,1
1255,637,1
1256,63.21,1
1257,30.60,1
1258,8.38,1
1259,616,1
1260,8.42,1
1261,61.72,1
1262,60.22,1
1263,30.55,1
1264,20.51,1
1265,20.60,1
1266,19.07,1
1267,271,1
1268,27.88,1
1269,27.83,1
1270,27.45,1
1271,27.33,1
1272,27.32,1
1273,27.22,1
1274,27.19,1
1275,2652,1
1276,26.81,1
1277,26.41,1
1278,26.37,1
1279,26.09,1
1280,250.47,1
1281,25.05,1
1282,2462,1
1283,27.99,1
1284,2754,1
1285,20.74,1
1286,28.15,1
1287,7.54,1
1288,7.69,1
1289,7.70,1
1290,7.71,1
1291,2941,1
1292,29.57,1
1293,29.52,1
1294,29.39,1
1295,29.33,1
1296,29.27,1
1297,284,1
1298,281,1
1299,280.82,1
1300,28.63,1
1301,28.43,1
1302,246.76,1
1303,2412,1
1304,241.54,1
1305,24.96,1
1306,221,1
1307,22.95,1
1308,22.46,1
1309,22.17,1
1310,218,1
1311,215.73,1
1312,21.99,1
1313,21.85,1
1314,21.77,1
1315,21.40,1
1316,21.19,1
1317,2072,1
1318,2040,1
1319,2024,1
1320,2006,1
1321,2212,1
1322,227292,1
1323,23.14,1
1324,24.00,1
1325,24.83,1
1326,24.78,1
1327,24.50,1
1328,24.35,1
1329,24.22,1
1330,24.19,1
1331,2393,1
1332,23.22,1
1333,2377,1
1334,2362,1
1335,23.99,1
1336,23.70,1
1337,23.69,1
1338,23.66,1
1339,1123,1
1340,19.25,1
1341,1872,1
1342,1337,1
1343,13.73,1
1344,13.72,1
1345,13.48,1
1346,13.39,1
1347,13.32,1
1348,13.28,1
1349,13.24,1
1350,13.15,1
1351,13.14,1
1352,13.13,1
1353,13.04,1
1354,13.01,1
1355,13.00,1
1356,129.55,1
1357,1248,1
1358,133.86,1
1359,1355,1
1360,14.77,1
1361,1366,1
1362,14.57,1
1363,14.53,1
1364,14.43,1
1365,14.38,1
1366,14.37,1
1367,14.33,1
1368,14.28,1
1369,14.21,1
1370,14.18,1
1371,14.16,1
1372,14.12,1
1373,14.09,1
1374,14.02,1
1375,139.64,1
1376,138.12,1
1377,1241,1
1378,124.69,1
1379,1228,1
1380,122.65,1
1381,12.31,1
1382,12.24,1
1383,12.23,1
1384,12.16,1
1385,12.10,1
1386,12.05,1
1387,12.04,1
1388,12.03,1
1389,12.00,1
1390,1183,1
1391,117.05,1
1392,1163,1
1393,1146,1
1394,1133,1
1395,1132,1
1396,12.35,1
1397,12.36,1
1398,12.39,1
1399,12.68,1
1400,1203,1
1401,1200,1
1402,12.94,1
1403,12.89,1
1404,12.87,1
1405,12.69,1
1406,12.66,1
1407,12.41,1
1408,12.65,1
1409,12.53,1
1410,7.60,1
1411,12.47,1
1412,12.45,1
1413,12.42,1
1414,186.24,1
1415,14.66,1
1416,14.78,1
1417,1728,1
1418,17.77,1
1419,17.63,1
1420,17.33,1
1421,17.26,1
1422,17.21,1
1423,1680,1
1424,1668,1
1425,1652,1
1426,164.89,1
1427,16.88,1
1428,16.85,1
1429,16.58,1
1430,16.54,1
1431,16.47,1
1432,16.43,1
1433,17.78,1
1434,174.34,1
1435,14.79,1
1436,1796,1
1437,1856,1
1438,1854,1
1439,1842,1
1440,1833,1
1441,1832,1
1442,1831,1
1443,1823,1
1444,1818,1
1445,18.88,1
1446,18.52,1
1447,18.43,1
1448,18.22,1
1449,18.19,1
1450,18.11,1
1451,18.09,1
1452,16.40,1
1453,16.36,1
1454,15.35,1
1455,1469,1
1456,15.30,1
1457,15.28,1
1458,15.23,1
1459,15.18,1
1460,15.05,1
1461,149.79,1
1462,1451,1
1463,15.37,1
1464,1415,1
1465,1406,1
1466,14.89,1
1467,14.86,1
1468,310,1
1469,14.82,1
1470,16.11,1
1471,6.81,1
1472,15.39,1
1473,1540,1
1474,16.08,1
1475,16.07,1
1476,1593,1
1477,158.13,1
1478,1574,1
1479,156.58,1
1480,15.75,1
1481,1541,1
1482,1527,1
1483,1516,1
1484,1509,1
1485,15.97,1
1486,15.92,1
1487,15.83,1
1488,7.97,0
1489,10.65,0
1490,29.71,0
1491,REQUEST CREDITED,0
