,index,bilirubin_total_admit_value
146,14.0,27
147,Unable to assay. No specimen received.,25
148,14.2,22
149,14.1,22
150,Cancelled by clinician,21
151,13.9,21
152,14.6,20
153,14.8,20
154,"CANCELLED,Specimen not collected or received",20
155,14.4,20
156,14.3,19
157,14.5,19
158,Unable to assay. Possible interfering substance(s) present.,19
159,14.7,18
160,14.9,16
161,Specimen received unlabelled.,16
162,15.1,16
163,15.3,15
164,Unable to assay. Specimen incorrectly identified.,15
165,15.2,14
166,Unable to assay.  Unable to locate specimen.,13
167,16.5,12
168,15.9,12
169,15.6,11
170,16.4,11
171,15.4,11
172,19.1,11
173,15.0,11
174,16.0,11
175,Specimen hemolyzed.,10
176,Identity unclear. Specimen labelled incorrectly.,10
177,16.3,10
178,17.5,10
179,15.5,9
180,16.1,9
181,15.8,9
182,17.2,9
183,18.2,8
184,17.7,8
185,19.2,8
186,16.2,7
187,16.9,7
188,17.3,7
189,17.6,7
190,15.7,7
191,24.4,7
192,16.6,7
193,16.7,7
194,18.0,6
195,17.1,6
196,18.6,6
197,Unable to assay. Specimen grossly hemolyzed.,6
198,20.0,6
199,19.4,6
200,18.1,5
201,18.7,5
202,17.0,5
203,18.3,5
204,18.4,5
205,19.5,4
206,18.5,4
207,19.9,4
208,20.2,4
209,18.9,4
210,17.8,4
211,23.2,4
212,21.6,4
213,23.3,4
214,26.8,4
215,Requisitioning entry error,4
216,22.5,4
217,Unable to quantitate due to possible contamination.,4
218,22.1,4
219,21.3,4
220,21.2,4
221,21.1,4
222,20.6,4
223,19.0,3
224,SEE NBIL,3
225,Disregard results. Specimen incorrectly identified.,3
226,30.4,3
227,17.9,3
228,25.6,3
229,25.4,3
230,20.3,3
231,24.2,3
232,23.4,3
233,17.4,3
234,22.8,3
235,19.6,3
236,19.7,3
237,22.7,3
238,22.2,3
239,20.9,3
240,Unable to assay. Specimen improperly collected/handled.,2
241,16.8,2
242,"Test accessioning error,please disregard.",2
243,24.5,2
244,29.5,2
245,Patient refused collection,2
246,24.3,2
247,24.7,2
248,25.1,2
249,25.8,2
250,26.3,2
251,Incorrect test ordered.,2
252,27.1,2
253,27.2,2
254,27.4,2
255,28.6,2
256,19.8,2
257,29.7,2
258,38.4,2
259,30.3,2
260,31.7,2
261,24.0,2
262,35.0,2
263,23.6,2
264,20.8,2
265,23.5,2
266,23.1,2
267,23.0,2
268,22.9,2
269,20.4,2
270,21.8,2
271,22.0,2
272,20.5,2
273,20.7,2
274,44.2,1
275,42.7,1
276,39.1,1
277,Specimen leaked in transport.,1
278,37.9,1
279,38.6,1
280,46.9,1
281,37.6,1
282,36.4,1
283,35.7,1
284,35.3,1
285,Specimen contaminated,1
286,>32.2,1
287,50.3,1
288,SPECIMEN HEMOLYZED,1
289,Unable to assay. Inappropriate specimen received for the test requested.,1
290,Unable to assay. Analytical difficulty.,1
291,Notified by unit that specimen labelled incorrectly.,1
292,Medical record number mismatch. Disregard results.,1
293,SEE NEWBORN BILIRUBIN,1
294,34.9,1
295,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
296,55.5,1
297,Ignore results. Specimen was contaminated,1
298,Ignore results. Specimen hemolyzed,1
299,CONVERTED TO ISTAT,1
300,Specimen collected in wrong container type.,1
301,POS CONTAMINATION 998335BY 897715 103018,1
302,Test inadvertently not performed,1
303,MISLABELED,1
304,19.3,1
305,34.5,1
306,23.9,1
307,26.4,1
308,26.1,1
309,25.5,1
310,25.3,1
311,24.6,1
312,24.1,1
313,TEST ORDERED AND RESULTED ON WRONG ACCOUNT NUMBER,1
314,26.6,1
315,22.6,1
316,22.4,1
317,22.3,1
318,21.9,1
319,21.4,1
320,21.0,1
321,26.5,1
322,27.0,1
323,33.6,1
324,27.7,1
325,33.5,1
326,31.4,1
327,31.0,1
328,30.2,1
329,29.9,1
330,29.4,1
331,29.1,1
332,28.8,1
333,28.4,1
334,28.3,1
335,28.1,1
336,28.0,1
337,23.7,1
338,30.6,0
339,36.9,0
