,index,alt_admit_value
179,160,29
180,164,29
181,Unable to assay. Possible interfering substance(s) present.,29
182,156,29
183,189,28
184,171,28
185,170,28
186,175,27
187,165,26
188,183,26
189,194,26
190,211,25
191,169,25
192,178,25
193,176,25
194,213,24
195,185,24
196,Unable to assay. No specimen received.,24
197,173,24
198,177,24
199,191,24
200,209,23
201,182,22
202,Cancelled by clinician,22
203,198,22
204,201,21
205,196,21
206,197,21
207,208,21
208,219,21
209,204,20
210,195,20
211,210,20
212,225,20
213,229,20
214,233,20
215,199,19
216,200,19
217,193,19
218,231,19
219,<4,19
220,"CANCELLED,Specimen not collected or received",19
221,186,19
222,257,19
223,206,18
224,187,18
225,243,18
226,220,18
227,251,17
228,205,17
229,217,17
230,221,17
231,214,17
232,202,16
233,269,16
234,Specimen received unlabelled.,16
235,227,15
236,239,15
237,184,15
238,237,15
239,181,15
240,228,15
241,265,14
242,303,14
243,255,14
244,263,14
245,252,14
246,277,14
247,283,14
248,Unable to assay. Specimen incorrectly identified.,14
249,212,13
250,216,13
251,266,13
252,230,13
253,261,13
254,226,13
255,207,12
256,254,12
257,242,12
258,305,12
259,275,12
260,236,12
261,223,12
262,232,12
263,294,12
264,276,12
265,270,12
266,292,12
267,Unable to assay.  Unable to locate specimen.,12
268,290,11
269,296,11
270,271,11
271,298,11
272,284,11
273,264,11
274,246,11
275,259,11
276,247,11
277,218,11
278,245,11
279,311,10
280,240,10
281,287,10
282,234,10
283,215,10
284,306,10
285,352,10
286,250,10
287,289,10
288,258,10
289,351,10
290,272,10
291,321,9
292,262,9
293,282,9
294,486,9
295,238,9
296,344,9
297,249,9
298,224,9
299,222,9
300,314,9
301,313,9
302,310,9
303,334,9
304,309,9
305,335,8
306,354,8
307,346,8
308,376,8
309,425,8
310,312,8
311,304,8
312,340,8
313,248,8
314,256,8
315,260,8
316,285,8
317,281,8
318,279,8
319,317,7
320,331,7
321,274,7
322,299,7
323,356,7
324,315,7
325,469,7
326,360,7
327,295,7
328,444,7
329,253,7
330,462,7
331,328,7
332,Identity unclear. Specimen labelled incorrectly.,7
333,421,7
334,278,7
335,288,7
336,322,7
337,280,7
338,341,7
339,320,7
340,487,7
341,329,6
342,441,6
343,324,6
344,402,6
345,374,6
346,408,6
347,244,6
348,399,6
349,439,6
350,319,6
351,438,6
352,454,6
353,318,6
354,390,6
355,434,6
356,427,6
357,385,6
358,286,6
359,325,6
360,348,6
361,Unable to assay. Specimen grossly hemolyzed.,6
362,300,6
363,357,6
364,301,6
365,302,6
366,268,6
367,267,6
368,347,6
369,355,6
370,363,6
371,458,6
372,343,6
373,345,6
374,307,6
375,273,5
376,353,5
377,505,5
378,392,5
379,297,5
380,350,5
381,241,5
382,349,5
383,414,5
384,394,5
385,504,5
386,389,5
387,411,5
388,291,5
389,587,5
390,308,5
391,387,5
392,235,5
393,570,5
394,330,5
395,447,5
396,358,5
397,382,5
398,437,5
399,366,5
400,568,5
401,339,5
402,459,5
403,445,5
404,333,5
405,337,4
406,Unable to quantitate due to possible contamination.,4
407,336,4
408,400,4
409,372,4
410,Requisitioning entry error,4
411,398,4
412,375,4
413,379,4
414,396,4
415,327,4
416,Unable to assay due to viscosity of specimen.,4
417,371,4
418,419,4
419,428,4
420,519,4
421,440,4
422,436,4
423,430,4
424,471,4
425,472,4
426,3,4
427,480,4
428,420,4
429,452,4
430,293,4
431,412,4
432,323,4
433,490,3
434,497,3
435,551,3
436,455,3
437,367,3
438,457,3
439,364,3
440,544,3
441,463,3
442,507,3
443,540,3
444,530,3
445,Result not available due to interference by hemolysis. Suggest reorder,3
446,Unable to assay. Analytical difficulty.,3
447,359,3
448,512,3
449,830,3
450,528,3
451,495,3
452,481,3
453,524,3
454,592,3
455,560,3
456,450,3
457,404,3
458,405,3
459,409,3
460,589,3
461,326,3
462,418,3
463,395,3
464,581,3
465,422,3
466,572,3
467,391,3
468,426,3
469,599,3
470,316,3
471,429,3
472,605,3
473,384,3
474,635,3
475,561,3
476,564,3
477,624,3
478,377,3
479,565,3
480,442,3
481,332,3
482,569,3
483,433,3
484,342,3
485,338,2
486,1001,2
487,1034,2
488,1067,2
489,403,2
490,562,2
491,525,2
492,962,2
493,672,2
494,673,2
495,538,2
496,675,2
497,974,2
498,535,2
499,533,2
500,676,2
501,527,2
502,518,2
503,Patient refused collection,2
504,679,2
505,Disregard results. Specimen incorrectly identified.,2
506,682,2
507,683,2
508,502,2
509,499,2
510,498,2
511,496,2
512,488,2
513,485,2
514,545,2
515,546,2
516,550,2
517,554,2
518,620,2
519,614,2
520,908,2
521,623,2
522,609,2
523,607,2
524,625,2
525,606,2
526,629,2
527,596,2
528,594,2
529,633,2
530,638,2
531,639,2
532,585,2
533,642,2
534,647,2
535,574,2
536,573,2
537,657,2
538,658,2
539,804,2
540,509,2
541,423,2
542,393,2
543,451,2
544,449,2
545,435,2
546,432,2
547,417,2
548,416,2
549,415,2
550,413,2
551,410,2
552,401,2
553,397,2
554,"Test accessioning error,please disregard.",2
555,456,2
556,388,2
557,386,2
558,762,2
559,381,2
560,380,2
561,378,2
562,373,2
563,370,2
564,752,2
565,Unable to assay due to interference by lipemia.,2
566,Unable to assay. Specimen improperly collected/handled.,2
567,453,2
568,616,2
569,467,2
570,477,2
571,460,2
572,473,2
573,1404,1
574,1383,1
575,1429,1
576,1522,1
577,820,1
578,784,1
579,817,1
580,816,1
581,859,1
582,1551,1
583,860,1
584,789,1
585,1401,1
586,856,1
587,866,1
588,874,1
589,796,1
590,815,1
591,810,1
592,760,1
593,808,1
594,887,1
595,1601,1
596,764,1
597,838,1
598,1500,1
599,800,1
600,835,1
601,780,1
602,777,1
603,773,1
604,1511,1
605,1651,1
606,1681,1
607,841,1
608,768,1
609,1496,1
610,1693,1
611,842,1
612,852,1
613,1489,1
614,843,1
615,1697,1
616,1472,1
617,847,1
618,848,1
619,1512,1
620,781,1
621,782,1
622,849,1
623,827,1
624,802,1
625,361,1
626,895,1
627,<10,1
628,Quantity not sufficient for repeat testing.,1
629,1082,1
630,1093,1
631,POS CONTAMINATION 998335BY 897715 103018,1
632,Notified by unit that specimen labelled incorrectly.,1
633,1109,1
634,Medical record number mismatch. Disregard results.,1
635,1114,1
636,1115,1
637,MISLABELED,1
638,Incorrect test ordered.,1
639,Ignore results. Specimen was contaminated,1
640,Ignore results. Specimen hemolyzed,1
641,1156,1
642,CONVERTED TO ISTAT,1
643,1076,1
644,SAMPLE GROSSLY LIPEMIC SENT TO MAIN CAMPUS FOR TESTING.,1
645,SPECIMEN GROSSLY LIPEMIC UNABLE TO OBTAIN RESULT,1
646,1032,1
647,Test inadvertently not performed,1
648,1005,1
649,1009,1
650,Specimen leaked in transport.,1
651,1028,1
652,Specimen grossly lipemic,1
653,Specimen contaminated,1
654,SPECIMEN HEMOLYZED,1
655,Specimen collected in wrong container type.,1
656,1047,1
657,1049,1
658,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
659,1052,1
660,1058,1
661,1171,1
662,1180,1
663,1372,1
664,991,1
665,931,1
666,1293,1
667,928,1
668,926,1
669,925,1
670,1313,1
671,1319,1
672,923,1
673,922,1
674,1331,1
675,1338,1
676,914,1
677,1343,1
678,1344,1
679,913,1
680,932,1
681,1277,1
682,754,1
683,1238,1
684,1191,1
685,981,1
686,971,1
687,1211,1
688,966,1
689,1224,1
690,960,1
691,1271,1
692,1241,1
693,956,1
694,1250,1
695,1256,1
696,946,1
697,945,1
698,758,1
699,1990,1
700,753,1
701,542,1
702,511,1
703,2802,1
704,513,1
705,514,1
706,516,1
707,517,1
708,522,1
709,523,1
710,526,1
711,529,1
712,536,1
713,537,1
714,539,1
715,2650,1
716,2645,1
717,595,1
718,543,1
719,547,1
720,548,1
721,2584,1
722,552,1
723,555,1
724,559,1
725,2514,1
726,575,1
727,579,1
728,2496,1
729,584,1
730,586,1
731,590,1
732,510,1
733,508,1
734,506,1
735,501,1
736,3633,1
737,365,1
738,3675,1
739,368,1
740,3922,1
741,406,1
742,4172,1
743,424,1
744,3169,1
745,4274,1
746,443,1
747,446,1
748,448,1
749,461,1
750,464,1
751,465,1
752,468,1
753,470,1
754,475,1
755,476,1
756,482,1
757,483,1
758,484,1
759,2958,1
760,491,1
761,492,1
762,494,1
763,2884,1
764,500,1
765,1758,1
766,591,1
767,597,1
768,1865,1
769,1998,1
770,362,1
771,681,1
772,1964,1
773,1951,1
774,684,1
775,687,1
776,692,1
777,693,1
778,694,1
779,699,1
780,708,1
781,713,1
782,714,1
783,1860,1
784,598,1
785,719,1
786,722,1
787,723,1
788,724,1
789,725,1
790,729,1
791,732,1
792,736,1
793,1798,1
794,1790,1
795,738,1
796,744,1
797,745,1
798,750,1
799,2,1
800,677,1
801,669,1
802,22285,1
803,601,1
804,602,1
805,603,1
806,6068,1
807,2359,1
808,611,1
809,612,1
810,2311,1
811,2303,1
812,617,1
813,621,1
814,626,1
815,668,1
816,627,1
817,630,1
818,631,1
819,667,1
820,666,1
821,2076,1
822,665,1
823,663,1
824,660,1
825,652,1
826,1,1
827,650,1
828,648,1
829,640,1
830,6312,1
831,553,0
832,383,0
833,549,0
834,695,0
835,905,0
