,index,platelet_count_discharge_value
573,574,45
574,589,45
575,12,44
576,582,44
577,558,44
578,17,43
579,10,43
580,575,42
581,586,42
582,602,42
583,580,41
584,613,41
585,16,40
586,593,40
587,606,40
588,585,40
589,596,40
590,597,40
591,576,39
592,13,39
593,618,39
594,601,39
595,584,38
596,578,38
597,620,38
598,605,36
599,591,36
600,595,36
601,607,36
602,Unable to assay. Specimen incorrectly identified.,35
603,610,35
604,600,34
605,609,34
606,603,34
607,11,34
608,604,34
609,594,34
610,612,34
611,614,33
612,611,33
613,617,33
614,627,33
615,9,33
616,616,31
617,590,31
618,615,30
619,8,30
620,592,29
621,631,28
622,621,28
623,634,28
624,622,28
625,644,27
626,Microtainer specimen,26
627,625,26
628,"Platelet clumps noted,unable to estimate.",25
629,599,25
630,653,25
631,619,25
632,632,25
633,7,25
634,647,24
635,6,24
636,629,24
637,624,24
638,630,24
639,598,24
640,638,24
641,704,23
642,666,23
643,643,23
644,636,23
645,608,23
646,626,23
647,628,23
648,633,23
649,4,23
650,648,22
651,641,22
652,640,22
653,683,22
654,635,22
655,675,21
656,650,21
657,673,21
658,658,21
659,637,21
660,711,20
661,639,20
662,652,20
663,665,20
664,661,20
665,651,20
666,679,20
667,2,19
668,649,19
669,695,19
670,663,19
671,656,19
672,725,18
673,664,18
674,3,18
675,667,18
676,659,18
677,674,18
678,676,18
679,685,17
680,657,17
681,678,17
682,668,17
683,5,17
684,670,17
685,642,16
686,660,16
687,686,16
688,623,16
689,677,16
690,Requisitioning entry error,15
691,712,15
692,645,15
693,669,15
694,672,15
695,689,15
696,716,15
697,646,14
698,654,14
699,721,14
700,752,14
701,723,14
702,681,14
703,680,14
704,717,14
705,700,14
706,682,14
707,"Platelet clumps noted,estimate appears adequate.",14
708,705,14
709,720,13
710,733,13
711,1,13
712,684,13
713,Unable to count due to clumping on chamber. Estimate appears decreased.,13
714,734,13
715,747,13
716,708,13
717,662,13
718,655,13
719,727,13
720,726,13
721,719,13
722,722,12
723,Unable to assay. Specimen improperly collected/handled.,12
724,698,12
725,671,12
726,748,12
727,694,12
728,735,12
729,796,11
730,Specimen received unlabelled.,11
731,745,11
732,709,11
733,687,11
734,706,11
735,692,11
736,693,11
737,688,10
738,740,10
739,690,10
740,691,10
741,703,10
742,702,10
743,"CANCELLED,Specimen not collected or received",10
744,Unable to assay. Possible interfering substance(s) present.,10
745,714,10
746,715,9
747,803,9
748,see below,9
749,728,9
750,707,9
751,738,9
752,718,9
753,739,9
754,758,9
755,761,9
756,710,9
757,696,9
758,701,9
759,699,9
760,759,8
761,791,8
762,730,8
763,744,8
764,736,8
765,797,8
766,784,8
767,767,8
768,Unable to quantitate due to possible contamination.,8
769,UNABLE TO ASSAY DUE TO PLATELET CLUMPING,8
770,741,8
771,867,8
772,729,8
773,830,8
774,724,7
775,731,7
776,850,7
777,856,7
778,Platelet clumps present.,7
779,742,7
780,697,7
781,800,7
782,861,7
783,754,7
784,777,7
785,713,7
786,770,7
787,756,7
788,755,7
789,763,7
790,779,7
791,778,7
792,762,7
793,775,7
794,773,7
795,753,7
796,746,7
797,764,6
798,<<DO NOT REPORT>>,6
799,765,6
800,768,6
801,781,6
802,772,6
803,782,6
804,837,6
805,732,6
806,Identity unclear. Specimen labelled incorrectly.,6
807,785,6
808,737,6
809,814,6
810,786,6
811,787,6
812,750,6
813,807,6
814,939,6
815,789,6
816,860,6
817,751,6
818,853,5
819,Ignore results. Specimen was contaminated,5
820,862,5
821,769,5
822,849,5
823,799,5
824,776,5
825,774,5
826,831,5
827,828,5
828,824,5
829,821,5
830,783,5
831,793,5
832,Cancelled by clinician,5
833,816,5
834,815,5
835,875,5
836,984,5
837,790,5
838,"Test accessioning error,please disregard.",4
839,882,4
840,885,4
841,900,4
842,871,4
843,897,4
844,874,4
845,823,4
846,859,4
847,827,4
848,808,4
849,809,4
850,812,4
851,813,4
852,858,4
853,743,4
854,780,4
855,930,4
856,892,4
857,829,4
858,771,4
859,Disregard results. Specimen incorrectly identified.,4
860,766,4
861,848,4
862,965,4
863,855,4
864,945,4
865,947,3
866,969,3
867,896,3
868,895,3
869,(NOTE),3
870,987,3
871,946,3
872,932,3
873,902,3
874,903,3
875,931,3
876,CLOTTED,3
877,Ignore results.  Specimen clotted.,3
878,914,3
879,912,3
880,913,3
881,893,3
882,749,3
883,"Platelets Clumped,Estimate High",3
884,818,3
885,1055,3
886,890,3
887,836,3
888,835,3
889,834,3
890,833,3
891,826,3
892,820,3
893,819,3
894,811,3
895,1077,3
896,810,3
897,806,3
898,805,3
899,802,3
900,798,3
901,962,3
902,0,3
903,760,3
904,757,3
905,843,3
906,957,3
907,846,3
908,881,3
909,873,3
910,870,3
911,869,3
912,877,3
913,866,3
914,888,3
915,1282,2
916,1014,2
917,Specimen contaminated,2
918,Platelet estimate decreased,2
919,1017,2
920,973,2
921,Specimen collected in wrong container type.,2
922,975,2
923,977,2
924,Platelet estimate adequate,2
925,964,2
926,Test Not Performed,2
927,982,2
928,993,2
929,Test inadvertently not performed,2
930,LCAN LOCATION ROUTING ERROR,2
931,1118,2
932,Ignore results. Specimen clotted.,2
933,1071,2
934,1123,2
935,1048,2
936,1563,2
937,Unable to assay.  Unable to locate specimen.,2
938,1020,2
939,1200,2
940,1032,2
941,1024,2
942,<2,2
943,Test incorrectly ordered.,2
944,1075,2
945,Clumped,2
946,854,2
947,889,2
948,825,2
949,925,2
950,838,2
951,935,2
952,905,2
953,817,2
954,851,2
955,832,2
956,909,2
957,933,2
958,864,2
959,847,2
960,891,2
961,845,2
962,929,2
963,842,2
964,923,2
965,872,2
966,907,2
967,841,2
968,953,2
969,unable to assay due to platelet clumping,2
970,792,2
971,794,2
972,795,2
973,879,2
974,857,2
975,840,2
976,917,2
977,887,2
978,921,2
979,1148,1
980,1144,1
981,1146,1
982,958,1
983,1143,1
984,1141,1
985,29.5,1
986,1139,1
987,1134,1
988,Unable to assay. Analytical difficulty.,1
989,863,1
990,1120,1
991,Unable to assay. Broken/spilled in transit.,1
992,1149,1
993,1167,1
994,UNABLE TO RESULT DUE TO PLATELET CLUMPING,1
995,868,1
996,Test Not Indicated,1
997,1247,1
998,878,1
999,1222,1
1000,876,1
1001,1211,1
1002,1210,1
1003,1206,1
1004,1205,1
1005,Test reordered by CCHS hospital.,1
1006,1150,1
1007,865,1
1008,1194,1
1009,1183,1
1010,"UNABLE TO ESTIMATE PLATLETS CLUMPED CALLED TO LANKA,D ",1
1011,"UNABLE TO PERFORM TEST,PLATELET CLUMPS PTESENT",1
1012,1163,1
1013,UNABLE TO REPORT DUE TO PLATELET CLUMPING,1
1014,1158,1
1015,1152,1
1016,290k/ul,1
1017,1094,1
1018,1117,1
1019,1013,1
1020,1043,1
1021,Unable to count due to clumping on chamber. Estimate appears increased.,1
1022,1038,1
1023,822,1
1024,Unable to report platelet count due to the presence of platelet clumps. ,1
1025,804,1
1026,1016,1
1027,1015,1
1028,801,1
1029,1010,1
1030,1116,1
1031,"Verified and result read back,called to",1
1032,1009,1
1033,1006,1
1034,1004,1
1035,1003,1
1036,1002,1
1037,1000,1
1038,37.0,1
1039,'unable to assay due to platelet clumping',1
1040,1044,1
1041,1045,1
1042,1047,1
1043,312 Thousand,1
1044,1110,1
1045,1105,1
1046,1104,1
1047,296 th/mm3,1
1048,852,1
1049,1097,1
1050,1095,1
1051,TNP,1
1052,1091,1
1053,844,1
1054,Unable to assay. Specimen too old to perform test.,1
1055,1066,1
1056,1065,1
1057,1062,1
1058,1060,1
1059,1057,1
1060,1053,1
1061,1051,1
1062,1050,1
1063,TO BE REDRAWN,1
1064,886,1
1065,1273,1
1066,CLUMPED ON SMEAR,1
1067,226000,1
1068,<4,1
1069,ACRE,1
1070,926,1
1071,Blood/Anticoagulant Ratio in tube unsatisfactory.,1
1072,1788,1
1073,1777,1
1074,CLOT PRESENT UNALBE TO REPORT PLATELETS,1
1075,924,1
1076,CLTD,1
1077,CNDUPL,1
1078,998,1
1079,Called to,1
1080,1715,1
1081,Cancelled,1
1082,1705,1
1083,1704,1
1084,922,1
1085,Clerical Error,1
1086,1670,1
1087,Disregard results.,1
1088,920,1
1089,999,1
1090,186000,1
1091,1649,1
1092,1964,1
1093,955,1
1094,967,1
1095,952,1
1096,2000,1
1097,971,1
1098,949,1
1099,943,1
1100,972,1
1101,942,1
1102,974,1
1103,941,1
1104,1869,1
1105,940,1
1106,1948,1
1107,978,1
1108,979,1
1109,980,1
1110,936,1
1111,934,1
1112,986,1
1113,223 10*3/uL,1
1114,991,1
1115,ER NOTIFIED TO REDRAW,1
1116,FEMORAL SPECIMEN CLOTTED. NO ACCURATE PLATELET COUNT AVAILABLE,1
1117,880,1
1118,SAMPLE CLOTTED IGNORE RESULTS,1
1119,Platelet count confirmed by manual review of peripheral blood smear.,1
1120,898,1
1121,1402,1
1122,894,1
1123,26 CR1 884655,1
1124,1397,1
1125,Platelets performed on blue top.,1
1126,1372,1
1127,1354,1
1128,Results called to and read back by:,1
1129,1331,1
1130,IMPCOL,1
1131,SEE BELOW,1
1132,1326,1
1133,SPECIMEN CLOTTED,1
1134,1313,1
1135,963,1
1136,884,1
1137,Specimen drawn in wrong tube.,1
1138,1285,1
1139,883,1
1140,1281,1
1141,1426,1
1142,901,1
1143,904,1
1144,MISLABELED,1
1145,919,1
1146,918,1
1147,1607,1
1148,916,1
1149,Ignore results. Specimen hemolyzed,1
1150,Ignore results. Specimen mislabeled,1
1151,1572,1
1152,915,1
1153,908,1
1154,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
1155,1530,1
1156,1456,1
1157,Medical record number mismatch. Disregard results.,1
1158,NOTIFIED A MILLER PLT EST APPEARS ADEQUATE,1
1159,"NUMEROUS PLATELET CLUMPS,UNABLE TO ASSAY",1
1160,906,1
1161,1492,1
1162,PLATELETS CLUMPED,1
1163,PLATELETS CLUMPED ON SMEAR NOTIFIED RN,1
1164,PLTCL1,1
1165,Patient discharged,1
1166,#,1
1167,REQUEST CREDITED,0
