,index,primary_diagnosis_desc
102,Cellulitis of left lower limb,2430
103,ALZHEIMER'S DISEASE,2417
104,Unspecified atrial fibrillation,2410
105,Unspecified asthma with (acute) exacerbation,2403
106,EPILEPSY NOS-NOT INTRACT,2387
107,ABDOMINAL PAIN-SITE NOS,2381
108,"Transient cerebral ischemic attack,unspecified",2343
109,NAUSEA AND VOMITING,2316
110,Hydronephrosis with renal and ureteral calculous o,2313
111,Paranoid schizophrenia,2310
112,DIAB W MANIF NEC TYPE II,2275
113,ACUTE & CHR RESP FAILURE,2275
114,Weakness,2265
115,ALTERED MENTAL STATUS,2264
116,INFECT D/T INDWELL CATH,2246
117,Melena,2245
118,CAROTD ART OCC NO INFARC,2244
119,SPINAL STENOSIS-LUMBAR,2240
120,MALIG NEOPL KIDNEY,2230
121,"Noninfective gastroenteritis and colitis,unspecif",2209
122,"FEVER,UNSPECIFIED",2206
123,Acute on chronic diastolic (congestive) heart fail,2205
124,Matern care for low transverse scar from prev cesa,2201
125,"Gastrointestinal hemorrhage,unspecified",2171
126,INTERTROCHANTERIC FX-CL,2147
127,LUMBAR DISC DISPLACEMENT,2101
128,Acute on chronic systolic (congestive) heart failu,2083
129,CHOLELITH W AC CHOLECYST,2075
130,Sepsis due to Escherichia coli [E. coli],2061
131,Unspecified,2055
132,Type 1 diabetes mellitus with ketoacidosis without,2046
133,CEREBRAL EMBOL W INFARCT,2043
134,Acute on chronic combined systolic and diastolic h,2043
135,Hypertensive urgency,2007
136,ABDOMINAL PAIN-SITE NEC,2004
137,Flu due to oth ident influenza virus w oth resp ma,1977
138,OBST CHR BRONCH W/ACUTE,1965
139,Nonrheumatic mitral (valve) insufficiency,1957
140,EPIGASTRIC ABD PAIN,1948
141,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr ,1925
142,HEADACHE,1903
143,"Nausea with vomiting,unspecified",1884
144,Type 2 diabetes mellitus with hyperglycemia,1881
145,Athscl heart disease of native coronary artery w/o,1879
146,PAROX VENTRIC TACHYCARD,1865
147,CALCULUS OF KIDNEY,1860
148,BLOOD IN STOOL,1846
149,OTH CURR COND-ANTEPARTUM,1840
150,INFEC D/T JOINT PROSTHES,1804
151,INCISIONAL HERNIA,1793
152,FOC EPILEP SIMPL INTRACT,1788
153,INTESTINAL ADHES W OBSTR,1766
154,ORTHOSTATIC HYPOTENSION,1758
155,"Spinal stenosis,lumbar region",1751
156,Dvtrcli of lg int w perforation and abscess w/o bl,1699
157,"Schizoaffective disorder,unspecified",1686
158,OSTEOARTHROS NOS-L/LEG,1685
159,DIVRTICULOS-COLON/HEMOR,1666
160,ANEMIA NOS,1649
161,Hypo-osmolality and hyponatremia,1648
162,ATRIAL FLUTTER,1636
163,E. COLI SEPTICEMIA,1630
164,Unspecified intestinal obstruction,1629
165,Unspecified acute appendicitis,1627
166,Streptococcus B carrier state complicating childbi,1622
167,HYP KDY DIS UNS CKD ESRD,1617
168,Abnlt in fetal heart rate and rhythm comp labor an,1615
169,Acute pancreatitis without necrosis or infection u,1612
170,Hyp chr kidney disease w stage 5 chr kidney diseas,1604
171,UTERINE LEIOMYOMA NOS,1595
172,HYP HRT/KD UNSP HF/CKD 1,1557
173,CERV SPONDYL W MYELOPATH,1542
174,OTH DIGESTV SYSTEM COMP,1511
175,"Local-rel symptc epi w simple part seiz,ntrct,w/",1499
176,SHORTNESS OF BREATH,1484
177,"Fever,unspecified",1473
178,Orthostatic hypotension,1471
179,CELLULITIS OF ARM,1470
180,BLOOD INF DT CEN VEN CTH,1462
181,"Altered mental status,unspecified",1461
182,Shortness of breath,1451
183,RECURR MAJR DEPRESS-MOD,1450
184,INTRACEREBRAL HEMORRHAGE,1445
185,RECTAL & ANAL HEMORRHAGE,1443
186,ABDOM AORTIC ANEURYSM,1429
187,PSYCHOSIS NOS,1424
188,"Epilepsy,unsp,not intractable,without status ep",1422
189,"TWIN,MATE LB/BY C-SECT",1419
190,HEPATIC ENCEPHALOPATHY,1403
191,OTHER MALAISE & FATIGUE,1398
192,PYELONEPHRITIS NOS,1393
193,VIRAL ENTERITIS NOS,1388
194,NEUTROPENIA UNSPECIFIED,1374
195,PREM RUPT MEMBRAN-DELIV,1373
196,MAL NEO UPPER LOBE LUNG,1367
197,IRON DEFIC ANEMIA NOS,1365
198,COMP NEC D/T VAS DEV NEC,1361
199,I/I react d/t indwelling urethral catheter init,1350
200,Epigastric pain,1349
201,COMP D/T RENAL DIALY DEV,1333
202,CELLULITIS OF TRUNK,1326
203,Hyperkalemia,1311
204,JOINT REPLACMT AFTERCARE,1299
205,MALIGNANT NEOPL RECTUM,1297
206,Enterocolitis due to Clostridium difficile,1292
207,PLEURAL EFFUSION NOS,1281
208,"Major depressive disorder,single episode,unspeci",1274
209,"CONSTIPATION,UNSPEC",1267
210,HB-SS DISEASE W/ CRISIS,1267
211,"Major depressv disorder,recurrent,severe w psych",1261
212,Headache,1258
213,CHOLELITH W CHOLECYS NEC,1250
214,Essential (primary) hypertension,1242
215,REC MJR DEPRES-PSYCHOTIC,1240
216,"Full-term prem ROM,unsp time betw rupture and ons",1238
217,SKIN SENSATION DISTURB,1238
218,HYPOPOTASSEMIA,1226
219,SEC MAL NEO BRAIN/SPINE,1225
220,"Hepatic failure,unspecified without coma",1224
221,"Full-term prem ROM,onset labor within 24 hours of",1223
222,Bloodstream infection due to central venous cathet,1223
223,Unspecified abdominal pain,1221
224,PARAN SCHIZO-CHR/EXACERB,1217
225,ABN GLUCOSE TOLER-DELIV,1215
226,OSTEOARTHROS NOS-PELVIS,1210
227,"REG ENTERITIS,SM INTEST",1207
228,DEMEN NOS W BEHAV DISTRB,1198
229,ULCERATIVE COLITIS NOS,1195
230,Calculus of gallbladder w acute cholecyst w/o obst,1193
231,DIARRHEA,1186
232,MALIGN NEOPL BREAST NOS,1182
233,ACUTE RSV BRONCHIOLITIS,1181
234,Maternal care for scar from previous cesarean deli,1181
235,SINOATRIAL NODE DYSFUNCT,1180
236,INFEC DUE TO HRT DEVICE,1178
237,GRAM-NEG SEPTICEMIA NEC,1178
238,HYPOTENSION NOS,1175
239,AC DIASTOL HEART FAIL,1170
240,"Incisional hernia with obstruction,without gangre",1168
241,Infect/inflm react d/t oth cardi/vasc dev/implnt/g,1158
242,Bilateral primary osteoarthritis of knee,1138
243,MAJOR DEPRESS DIS-UNSPEC,1137
244,Alcoholic cirrhosis of liver with ascites,1131
245,Type 2 diabetes mellitus with hypoglycemia without,1129
246,HYPERPOTASSEMIA,1129
247,Supraventricular tachycardia,1126
248,AC POSTHEMORRHAG ANEMIA,1123
249,RHABDOMYOLYSIS,1115
250,PALPITATIONS,1112
251,ACUTE BRONCHITIS,1108
252,CORD ENTANGLE NEC-DELIV,1107
253,Ventricular tachycardia,1101
254,THORACIC AORTIC ANEURYSM,1097
255,FX FEMUR INTRCAPS NEC-CL,1095
256,Second degree perineal laceration during delivery,1094
257,Acute bronchiolitis due to respiratory syncytial v,1091
258,OBSTR INCISIONAL HERNIA,1089
259,ALCOHOL CIRRHOSIS LIVER,1076
260,HEMORR COMPLIC PROCEDURE,1075
261,COLO/ENTERSTMY COMP NEC,1071
262,BREECH PRESENTAT-DELIVER,1070
263,REGIONAL ENTERITIS NOS,1069
264,PRECORDIAL PAIN,1064
265,Oth postprocedural complications and disorders of ,1060
266,"Iron deficiency anemia,unspecified",1053
267,LUMBOSACRAL SPONDYLOSIS,1053
268,Malignant neoplasm of rectum,1037
269,ANGIONEUROTIC EDEMA,1030
270,CELLULITIS OF FACE,1030
271,CELLULITIS OF FOOT,1027
272,First degree perineal laceration during delivery,1027
273,DM KETOACID TYPE II UNCN,1023
274,DM UNCOMP TYP II UNCNTRD,1022
275,PARALYTIC ILEUS,1017
276,Congenital insufficiency of aortic valve,1016
277,MAL NEO BRONCH/LUNG NOS,1015
278,OTHER ACUTE BRONCHIOLIT,1009
279,Athscl heart disease of native cor art w unsp ang ,1006
280,AC DVT/EMB DISTL LOW EXT,997
281,"Anemia,unspecified",997
282,OTHER BIPOLAR DIS NEC,996
283,INFEC DUE TO VASC DEVICE,995
284,Secondary malignant neoplasm of brain,994
285,Acute appendicitis with localized peritonitis,994
286,POOR FETAL GROWTH-DELIV,992
287,THRT PREM LABOR-ANTEPART,989
288,Hemorrhage of anus and rectum,987
289,Dvrtclos of lg int w/o perforation or abscess w bl,985
290,STREPTOCOCCAL SEPTICEMIA,984
291,"AC KIDNY FAIL,TUBR NECR",982
292,RLQ ABDOMINAL PAIN,980
293,NORMAL DELIVERY,976
294,COMPL KIDNEY TRANSPLANT,972
295,FLU W RESP MANIFEST NEC,972
296,"Pleural effusion,not elsewhere classified",971
297,MECH COMP PRS JNT IMP OT,962
298,"Tubulo-interstitial nephritis,not spcf as acute o",961
299,EARLY ONSET DELIVERY-DEL,959
300,Incisional hernia without obstruction or gangrene,959
301,MALIG NEO CORPUS UTERI,957
302,Acute kidney failure with tubular necrosis,955
303,FOC EPIL SIMPL NO INTRCT,954
304,INFER AMI NEC-INIT EPISD,952
305,LOC OSTEOARTH NOS-SHLDER,951
306,HEMATEMESIS,951
307,LOC PRIM OSTEOART-L/LEG,940
308,SECONDARY MALIG NEO BONE,938
309,BENIGN NEOPLASM LG BOWEL,934
310,RUQ ABDOMINAL PAIN,931
311,Palpitations,930
312,Type 2 diabetes mellitus with other specified comp,925
313,MECH COMP VASC DEVICE/GR,916
314,"Abdominal aortic aneurysm,without rupture",916
315,TRANS HYPERTEN-DELIVERED,915
316,FX NECK OF FEMUR NOS-CL,912
317,"Thrombosis of vascular prosth dev/grft,init",909
318,DRUG WITHDRAWAL,908
319,Acute posthemorrhagic anemia,907
320,REG ENTERIT SM/LG INTEST,906
321,"Angioneurotic edema,initial encounter",906
322,"Hypotension,unspecified",902
323,"Twin liveborn infant,delivered by cesarean",901
324,MAJR DEPRESS DIS-SEVERE,901
325,"Thoracic aortic aneurysm,without rupture",900
326,VASC INSUFF INTEST NOS,894
327,SECOND MALIG NEO LIVER,894
328,CELLULITIS OF HAND,893
329,PATHOLOG FRACT VERTEBRAE,890
330,AC SYSTOL HEART FAILURE,889
331,Unspecified atrial flutter,889
332,"Other spondylosis with myelopathy,cervical region",888
333,NEOPLASM RELATED PAIN,888
334,AC PYELONEPHRITIS NOS,887
335,"Local-rel symptc epi w simp prt seiz,not ntrct,w/",885
336,MIGRAINE NOS NOT INTRCBL,882
337,COMP D/T HRT VALV PROSTH,882
338,"Hb-SS disease with crisis,unspecified",881
339,MULTIPLE SCLEROSIS,879
340,DIAPHRAGMATIC HERNIA,877
341,Gestatnl htn without significant protein comp chil,876
342,GASTROPARESIS,874
343,"Acute bronchitis,unspecified",873
344,"Major depressive disorder,recurrent,moderate",866
345,NONRUPT CEREBRAL ANEURYM,866
346,ATHERSCL-LIMB W GANGRENE,865
347,Intestinal adhesions w obst (postprocedural) (post,858
348,BIPOL I-REC DEPRESS NOS,857
349,Hematemesis,857
350,GASTRITIS/DUODENITIS NOS,849
351,HEAD INJURY NOS,848
352,"Oth generalized epilepsy,not intractable,w/o sta",848
353,Type 2 diabetes w diabetic peripheral angiopathy w,844
354,DELIRIUM TREMENS,842
355,Other Gram-negative sepsis,841
356,Infect/inflm reaction due to indwell urinary cathe,840
357,DM MANIF NEC TYP II UNCN,839
358,"Viral intestinal infection,unspecified",837
359,ACUTE URI NOS,836
360,COMPL LUNG TRANSPLANT,834
361,HYPERTRPH PROSTAT W OBST,831
362,Other unilateral secondary osteoarthritis of hip,828
363,Acute and chronic respiratory failure with hyperca,825
364,MALIG NEO BLADDER NOS,824
365,"Matern care for oth or susp poor fetl grth,third ",818
366,"BIPOLAR DISORDER,NOS",816
367,RESPIRATORY ABNORM NEC,814
368,CHR BLOOD LOSS ANEMIA,814
369,ACQ SPONDYLOLISTHESIS,813
370,FOC EPILEP CMPLX INTRACT,812
371,Hypokalemia,812
372,DISLOC OF PROSTH JNT,810
373,ESOPHAGEAL REFLUX,810
374,CHR STOMACH ULC W HEM,808
375,CIRRHOSIS OF LIVER NOS,802
376,Acute cystitis without hematuria,801
377,MECH LOOSENING OF PR JNT,801
378,"Maternal care for breech presentation,unsp",800
379,SEC MAL NEO PERITONEUM,799
380,"Bradycardia,unspecified",796
381,DEPRESSIVE DISORDER NEC,795
382,CHOLELITHIASIS NOS,795
383,Displaced intertrochanteric fracture of left femur,791
384,MUSCSKEL SYMPT LIMB NEC,784
385,Alzheimer's disease with late onset,783
386,BIPOL I-REC DEPRESS SEV,782
387,DIAB NEURO MANIF TYPE II,781
388,HEMATOMA COMPL PROCEDURE,780
389,LUMBAGO,778
390,SPIN STEN,773
391,ACUTE CHOLECYSTITIS,771
392,MAL NEO LOWER LOBE LUNG,770
393,Secondary malignant neoplasm of bone,768
394,ASEPTIC NECROSIS FEMUR,768
395,NEUROHYPOPHYSIS DIS NEC,768
396,CAROTID ART OCC W INFARC,765
397,Generalized abdominal pain,765
398,PERSISTENT VOMITING,764
399,Diaphragmatic hernia without obstruction or gangre,759
400,"Constipation,unspecified",759
401,FLUID OVERLOAD NEC,754
402,"Acute bronchiolitis,unspecified",751
403,Rhabdomyolysis,749
404,Oth diabetes mellitus with ketoacidosis without co,749
405,POIS-BENZODIAZEPINE TRAN,743
406,ATHEROSCLER-LIMB W ULCER,739
407,FX LUMBAR VERTEBRA-CLOSE,739
408,"Malignant neoplasm of right kidney,except renal p",731
409,INTESTINAL OBSTRUCT NEC,729
410,ANTER AMI NEC-INIT EPISD,726
411,Iron deficiency anemia secondary to blood loss (ch,723
412,MECH CMP OT INT ORT DI&G,723
413,Precordial pain,721
414,Secondary malig neoplasm of liver and intrahepatic,721
415,ANAL & RECTAL ABSCESS,719
416,BEN NEO CEREBR MENINGES,717
417,HYP KDNY DIS UNS CKD 1-4,716
418,SCHIZOPHRENIA NOS-UNSPEC,715
419,POSTINFLAM PULM FIBROSIS,714
420,Secondary malignant neoplasm of retroperiton and p,714
421,COMP NEC D/T HRT DEV NEC,713
422,Low back pain,712
423,"Oth pregnancy related conditions,third trimester",711
424,HYPRTROPHC OBST CARDIOMY,710
425,Displaced intertrochanteric fracture of right femu,710
426,Aftercare following joint replacement surgery,709
427,THOR-ABD ANEURYM NO RUPT,708
428,CORNARY ATHERO-VESL NOS,707
429,ATRIOVENT BLOCK COMPLETE,702
430,"Acute pancreatitis,unspecified",702
431,Obstructive hypertrophic cardiomyopathy,702
432,BENIGN PARXYSMAL VERTIGO,695
433,MALIGN NEOPL OVARY,694
434,"Schizoaffective disorder,bipolar type",693
435,EPILEPSY NOS-INTRACTABLE,693
436,Cellulitis of right upper limb,692
437,Neoplasm related pain (acute) (chronic),690
438,SUBARACHNOID HEMORRHAGE,690
439,Chronic atrial fibrillation,689
440,LUMB/LUMBOSAC DISC DEGEN,684
441,EPISTAXIS,683
442,OB PERINEAL TRAU NEC-DEL,683
443,OTH SPECIFIED AFTERCARE,680
444,I/I react d/t other urinary catheter initial encou,679
445,GRAND MAL-NOT INTRACTABL,679
446,CHR DUODEN ULCER W HEM,679
447,DM NEUR MANF TYP II UNCN,679
448,"Unsp intestnl obst,unsp as to partial versus comp",679
449,SECONDARY MALIG NEO LUNG,679
450,"Malignant neoplasm of left kidney,except renal pe",679
451,PERICARDIAL DISEASE NOS,672
452,MALIGN NEOPL THYROID,671
453,EXCESS FETAL GRTH-DELIV,669
454,"Stenosis of cardiac prosth dev/grft,init",668
455,FRACTURE OF PUBIS-CLOSED,665
456,"Neutropenia,unspecified",665
457,UNIVERSL ULCERTVE COLITS,665
458,Chronic or unspecified gastric ulcer with hemorrha,664
459,THOR AORTA DISSECTION,664
460,Parkinson's disease,662
461,"Malignant neoplasm of bladder,unspecified",657
462,Type 2 diabetes mellitus with foot ulcer,654
463,"Enterocolitis d/t Clostridium difficile,not spcf ",653
464,Calculus of kidney,653
465,LOC PRIM OSTEOART-PELVIS,650
466,Peritonsillar abscess,650
467,"Spondylolisthesis,lumbar region",649
468,AC/SUBAC BACT ENDOCARD,649
469,INFECT D/T CENT VEN CATH,648
470,MAL NEO PANCREAS HEAD,647
471,GROSS HEMATURIA,644
472,Hypertensive emergency,643
473,"Acute upper respiratory infection,unspecified",643
474,"Bipolar disorder,unspecified",642
475,Right upper quadrant pain,641
476,"Malignant neoplasm of upper lobe,right bronchus o",639
477,INFECT DUE TO DEVICE NEC,638
478,PERITONSILLAR ABSCESS,637
479,Right lower quadrant pain,634
480,INFLUENZA WITH PNEUMONIA,634
481,CHRONIC PANCREATITIS,634
482,PAIN IN LIMB,634
483,"REG ENTERITIS,LG INTEST",632
484,CERVICAL DISC DISPLACMNT,630
485,LLQ ABDOMINAL PAIN,630
486,METH RESIST STAPH SEPTIC,630
487,"Local-rel symptc epi w cmplx part seiz,ntrct,w/o",629
488,Multiple sclerosis,626
489,ATTEN TO COLOSTOMY,624
490,EPISODIC MOOD DISORD NOS,623
491,Alcohol induced acute pancreatitis without necrosi,621
492,Unspecified dementia with behavioral disturbance,620
493,GASTRITIS NEC,617
494,"Ileus,unspecified",615
495,MALIGNANT HYPERTENSION,612
496,"Primary osteoarthritis,right shoulder",611
497,Alcohol dependence with withdrawal delirium,610
498,"Spinal stenosis,lumbar region without neurogenic ",610
499,AC APPEND W PERITONITIS,607
500,Syndrome of inappropriate secretion of antidiureti,607
501,STEMI involving oth coronary artery of inferior wa,603
502,Bipolar II disorder,603
503,SUBDURAL HEMORRHAGE,601
504,Sepsis due to Methicillin resistant Staphylococcus,600
505,Athscl heart disease of native cor art w oth ang p,594
506,PAINFUL RESPIRATION,593
507,CERVICAL SPONDYLOSIS,593
508,VIRAL INFECTION NOS,591
509,UTERVAGINAL PROLAPSE NOS,590
510,CELLULITIS OF BUTTOCK,590
511,Cellulitis of left upper limb,588
512,"Diarrhea,unspecified",587
513,Enlarged prostate with lower urinary tract symptom,587
514,"Major depressv disord,single epsd,sev w/o psych ",587
515,"Atrioventricular block,complete",586
516,EXCESSIVE MENSTRUATION,582
517,Calculus of GB w acute and chronic cholecyst w/o o,580
518,Gastroparesis,576
519,"Labor and del comp by cord around neck,w/o comprs",576
520,"Encephalopathy,unspecified",575
521,Acute tubulo-interstitial nephritis,574
522,OTH ACUTE POSTOP PAIN,573
523,PARALYSIS AGITANS,572
524,"Alzheimer's disease,unspecified",570
525,CONTUSION FACE/SCALP/NCK,569
526,INTERMITT EXPLOSIVE DIS,567
527,METH SUSCEP STAPH SEPTIC,565
528,Sepsis due to Methicillin susceptible Staphylococc,565
529,Unspecified bacterial pneumonia,564
530,"Spinal stenosis,cervical region",563
531,ACHALASIA & CARDIOSPASM,562
532,"Bipolar disord,crnt epsd depress,sev,w/o psych ",560
533,HYPERTEN HEART DIS-FAIL,560
534,Preterm labor third tri w preterm delivery third t,559
535,IDIOP NRM PRESS HYDROCEP,559
536,BRONCHITIS NOS,556
537,"Spinal stenosis,lumbar region with neurogenic cla",556
538,MALFUNC OTH DEVICE/GRAFT,553
539,Cereb infrc d/t unsp occls or stenos of left mid c,553
540,Gross hematuria,553
541,Chronic or unspecified duodenal ulcer with hemorrh,551
542,MULT MYELOMA NO REMISSIO,551
543,CORD AROUND NECK-DELIVER,551
544,GRAND MAL STATUS,551
545,ATHEROSCLER-LIMB&CLAUDIC,550
546,Sick sinus syndrome,549
547,"Cerebral aneurysm,nonruptured",548
548,OTHER PNEUMOTHORAX,547
549,Moderate persistent asthma with (acute) exacerbati,547
550,MECH COMP NEUR DEVICE/GR,546
551,Pericardial effusion (noninflammatory),545
552,ASTHMA W STATUS ASTHMAT,545
553,"TWIN,MATE LB-IN HOS NEC",545
554,Acute embolism and thrombosis of left femoral vein,544
555,MAL NEO SIGMOID COLON,543
556,"Gastritis,unspecified,without bleeding",543
557,Anesthesia of skin,542
558,CORNRY ATHER-AUT BYP GFT,540
559,"ENCEPHALOPATHY,UNSPEC",540
560,Pyonephrosis,538
561,Infect/inflm reaction due to oth int prosth dev/gr,537
562,MALIG NEO ASCEND COLON,534
563,"Ulcerative colitis,unspecified,without complicat",534
564,"ASTHMA,UNSPECIFIED",534
565,ACUTE GOUTY ARTHROPATHY,534
566,DIABETES UNCOMPL TYPE II,533
567,HIV DISEASE,533
568,SURG COMPL-URINARY TRACT,532
569,"Heart failure,unspecified",531
570,RECURR MAJR DEPRESS-UNSP,531
571,"Viral infection,unspecified",530
572,"Primary osteoarthritis,left shoulder",529
573,"Alcohol abuse with intoxication,unspecified",529
574,Encounter for attention to colostomy,526
575,ALCOHOL ABUSE-UNSPEC,525
576,COMPL LIVER TRANSPLANT,521
577,"Malignant neoplasm of upper lobe,left bronchus or",521
578,AC DVT/EMBL LOW EXT NOS,519
579,SUBDURAL HEM W/O LOC,519
580,RECTAL PROLAPSE,519
581,PAROX ATRIAL TACHYCARDIA,517
582,Occlusion and stenosis of right carotid artery,516
583,Cellulitis of face,515
584,Hypertensive chronic kidney disease w stg 1-4/unsp,514
585,Cereb infrc due to embolism of left middle cerebra,514
586,Anemia complicating childbirth,513
587,"Unspecified injury of head,initial encounter",512
588,BACTERIAL PNEUMONIA NOS,510
589,Encounter for full-term uncomplicated delivery,507
590,CHR PULMON HEART DIS NEC,506
591,MITRAL INSUF/AORT STENOS,502
592,CONVERSION DISORDER,501
593,SCHIZOAFFECT-CHR/EXACER,500
594,Labor and delivery complicated by meconium in amni,499
595,PERSIST POSTOP FISTULA,498
596,"MAL NEO LIVER,PRIMARY",497
597,"Partial intestinal obstruction,unspecified as to ",496
598,POSTOP VAGINAL PROLAPSE,496
599,BIPOL I-REC MANC W PSYCH,496
600,Type 2 diabetes mellitus with ketoacidosis without,495
601,ANGIODYSPLAS-UP GI&HEMOR,495
602,INT HEMRRHOID W COMP NEC,495
603,Calculus of gallbladder w chronic cholecyst w/o ob,494
604,DYSPHAGIA UNSPECIFIED,493
605,Occlusion and stenosis of left carotid artery,493
606,"Intervertebral disc disorders w radiculopathy,lum",492
607,ATHEROSCL-LIMB&REST PAIN,491
608,INFECTION AMPUTAT STUMP,488
609,Other specified sepsis,486
610,CHOLANGITIS,485
611,TOXIC ENCEPHALOPATHY,485
612,VENOUS INSUFFICIENCY NOS,484
613,Gastrostomy malfunction,483
614,SEVERE PREECLAMP-DELIVER,480
615,Malignant neoplasm of ascending colon,480
616,"Benign paroxysmal vertigo,unspecified ear",478
617,"Disorientation,unspecified",477
618,Calculus of gallbladder w/o cholecystitis w/o obst,477
619,Epistaxis,477
620,"Unsp intracapsular fracture of left femur,init fo",476
621,MALIG PLEURAL EFFUSION,475
622,BACTEREMIA,475
623,CONSCIOUSNS ALTERAT NEC,475
624,Other intestinal obstruction,474
625,INTESTINAL FISTULA,473
626,OTHER CHRONIC PAIN,471
627,Angiodysplasia of stomach and duodenum with bleedi,471
628,"Leiomyoma of uterus,unspecified",471
629,GENERALIZED ABD PAIN,471
630,IMMUNE THRMBCYTPNC PURP,470
631,Acute diastolic (congestive) heart failure,469
632,"Traum subdr hem w/o loss of consciousness,init",468
633,MALFUNC PROSTH HRT VALVE,467
634,COMP NEC D/T JOINT PROST,466
635,FX DORSAL VERTEBRA-CLOSE,466
636,IDIOPATHIC SCOLIOSIS,465
637,Infect/inflm reaction due to cardiac valve prosthe,465
638,Dissection of thoracic aorta,464
639,MILD/NOS PREECLAMP-DELIV,463
