,index,abs_mono_discharge_value
119,0.4,903
120,0.17,872
121,1.33,853
122,Unable to assay. Clotted specimen.,837
123,1.37,830
124,1.35,817
125,1.36,815
126,1.34,815
127,0.16,801
128,0.15,773
129,Account Credited,723
130,1.38,721
131,1.39,707
132,1.40,705
133,0.14,704
134,0.13,667
135,1.41,665
136,0.8,649
137,1.44,632
138,1.45,624
139,1.42,615
140,0.11,610
141,1.43,607
142,1.46,606
143,0.12,587
144,1.48,550
145,0.10,541
146,0.3,535
147,1.47,534
148,0.09,532
149,0.07,519
150,0.9,512
151,1.51,498
152,0.08,485
153,1.52,476
154,1.53,473
155,1.54,473
156,1.49,470
157,1.50,466
158,1.55,451
159,0.06,425
160,0.00,413
161,1.56,412
162,1.57,403
163,1.59,401
164,1.60,394
165,1.61,386
166,0.05,384
167,1.62,372
168,1.58,367
169,0.04,364
170,1.64,350
171,0.03,348
172,1.0,348
173,1.63,337
174,Unable to report,323
175,1.67,311
176,1.68,310
177,1.65,299
178,1.66,289
179,0.02,276
180,1.69,271
181,0.2,266
182,1.1,242
183,0.01,234
184,1.2,170
185,0.1,146
186,Too Few Cells To Do Differential,127
187,1.70,121
188,1.3,114
189,1.75,108
190,1.73,103
191,1.72,102
192,1.77,100
193,1.80,99
194,1.71,99
195,1.78,90
196,1.74,90
197,1.76,86
198,1.79,83
199,1.84,82
200,<0.03,80
201,1.81,80
202,1.82,78
203,1.83,77
204,1.89,76
205,1.87,71
206,1.85,69
207,1.4,68
208,1.86,67
209,1.92,65
210,Unable to assay. Quantity not sufficient.,62
211,1.88,62
212,1.97,61
213,1.94,61
214,1.93,59
215,1.91,57
216,1.90,55
217,1.5,53
218,2.11,52
219,2.04,51
220,1.98,50
221,2.09,50
222,2.12,50
223,2.13,49
224,0.0,49
225,1.96,47
226,2.14,47
227,Duplicate request,46
228,2.02,45
229,1.95,45
230,2.03,44
231,2.10,44
232,1.99,42
233,2.05,41
234,2.00,40
235,2.01,40
236,2.21,38
237,2.18,37
238,Unable to assay. No specimen received.,37
239,2.15,36
240,2.08,35
241,2.34,35
242,2.07,35
243,2.20,34
244,2.29,32
245,1.6,32
246,2.06,31
247,2.25,30
248,2.41,30
249,2.16,30
250,2.19,29
251,Unable to assay. Specimen incorrectly identified.,28
252,2.26,28
253,2.50,26
254,2.56,26
255,2.22,26
256,2.23,26
257,2.27,26
258,2.28,25
259,2.33,25
260,2.48,24
261,2.38,24
262,2.37,23
263,2.39,23
264,2.35,23
265,2.32,22
266,2.40,22
267,Microtainer specimen,21
268,2.17,20
269,2.58,20
270,2.44,20
271,2.42,20
272,2.30,20
273,2.73,19
274,2.36,19
275,1.8,19
276,2.49,19
277,2.65,18
278,2.53,18
279,2.45,18
280,2.47,18
281,2.24,18
282,2.43,17
283,2.60,17
284,2.51,17
285,2.31,17
286,2.84,16
287,2.55,16
288,2.54,15
289,2.62,15
290,2.81,15
291,2.80,15
292,2.52,15
293,2.68,15
294,2.99,15
295,2.63,14
296,2.69,14
297,1.7,14
298,2.72,14
299,2.74,14
300,2.71,14
301,2.70,13
302,2.46,13
303,2.88,13
304,REVISED,12
305,2.87,12
306,2.61,11
307,2.0,11
308,1.9,11
309,2.66,11
310,3.07,11
311,2.90,11
312,2.92,11
313,2.94,11
314,3.12,11
315,2.96,10
316,2.57,10
317,2.76,10
318,2.77,10
319,2.78,10
320,2.67,10
321,3.02,10
322,2.93,10
323,3.65,10
324,Requisitioning entry error,10
325,Manual review follows,10
326,2.83,9
327,3.14,9
328,2.75,9
329,3.64,9
330,3.08,9
331,2.97,9
332,2.79,9
333,3.04,8
334,Unable to quantitate due to possible contamination.,8
335,Unable to assay. Specimen improperly collected/handled.,8
336,3.17,8
337,3.00,8
338,3.05,8
339,2.82,8
340,3.10,8
341,2.91,8
342,3.11,8
343,3.45,7
344,3.23,7
345,3.03,7
346,3.16,7
347,3.19,7
348,3.33,6
349,3.09,6
350,Unable to assay. Possible interfering substance(s) present.,6
351,3.21,6
352,2.98,6
353,2.95,6
354,2.59,6
355,2.86,6
356,2.64,6
357,3.49,6
358,3.39,6
359,3.06,6
360,3.41,6
361,4.22,6
362,3.61,5
363,Cancelled by clinician,5
364,2.2,5
365,3.20,5
366,3.56,5
367,3.22,5
368,Specimen received unlabelled.,5
369,Ignore results. Specimen was contaminated,5
370,3.18,5
371,3.58,5
372,4.02,5
373,2.85,5
374,3.29,5
375,2.1,5
376,3.51,5
377,3.84,4
378,3.13,4
379,3.82,4
380,2.4,4
381,3.40,4
382,"Test accessioning error,please disregard.",4
383,3.71,4
384,3.66,4
385,3.57,4
386,3.55,4
387,3.53,4
388,3.24,4
389,3.47,4
390,3.44,4
391,4.66,4
392,3.50,4
393,3.38,4
394,4.17,4
395,3.25,4
396,3.26,4
397,3.35,4
398,3.34,4
399,3.37,4
400,3.90,3
401,"CANCELLED,Specimen not collected or received",3
402,5.58,3
403,4.49,3
404,2.89,3
405,4.07,3
406,4.48,3
407,4.40,3
408,4.45,3
409,3.91,3
410,2.3,3
411,4.14,3
412,4.32,3
413,4.30,3
414,3.95,3
415,4.26,3
416,4.09,3
417,4.68,3
418,3.15,3
419,3.77,3
420,3.59,3
421,3.48,3
422,3.75,3
423,3.73,3
424,3.46,3
425,3.42,3
426,3.68,3
427,3.78,3
428,3.80,3
429,3.30,3
430,4.23,2
431,3.54,2
432,3.52,2
433,3.27,2
434,4.06,2
435,3.28,2
436,4.12,2
437,4.15,2
438,3.43,2
439,4.21,2
440,4.20,2
441,4.34,2
442,4.11,2
443,4.18,2
444,3.85,2
445,4.42,2
446,4.35,2
447,3.70,2
448,5.31,2
449,5.19,2
450,5.14,2
451,5.13,2
452,5.12,2
453,5.09,2
454,5.04,2
455,5.00,2
456,4.53,2
457,6.52,2
458,614,2
459,4.98,2
460,4.90,2
461,3.67,2
462,3.63,2
463,4.83,2
464,3.81,2
465,7.40,2
466,3.60,2
467,4.00,2
468,5.62,2
469,3.76,2
470,2.5,2
471,4.56,2
472,4.57,2
473,3.92,2
474,Identity unclear. Specimen labelled incorrectly.,2
475,Ignore results.  Specimen clotted.,2
476,Ignore results. Specimen clotted.,2
477,Test inadvertently not performed,2
478,357,2
479,Unable to assay.  Unable to locate specimen.,2
480,3.99,2
481,3.01,2
482,3.74,2
483,3.83,2
484,6.55,1
485,6.29,1
486,6.34,1
487,6.35,1
488,6.47,1
489,6.26,1
490,6.25,1
491,6.24,1
492,6.22,1
493,6.33,1
494,6.66,1
495,6.68,1
496,6.74,1
497,69,1
498,681,1
499,Results called to and read back by:,1
500,663,1
501,SEE MANUAL DIFF BELOW,1
502,SPECIMEN CLOTTED,1
503,647,1
504,Specimen contaminated,1
505,617,1
506,Specimen drawn in wrong tube.,1
507,Specimen no longer available for testing.,1
508,608,1
509,6.98,1
510,6.91,1
511,6.87,1
512,6.17,1
513,CLTD,1
514,6.16,1
515,5.99,1
516,Unable to assay. Primary specimen no longer available for additional,1
517,528,1
518,3.79,1
519,521,1
520,501,1
521,4.62,1
522,5.85,1
523,6.15,1
524,5.84,1
525,5.82,1
526,5.8,1
527,5.74,1
528,5.68,1
529,5.67,1
530,4.61,1
531,Unable to assay. Broken/spilled in transit.,1
532,531,1
533,Unable to assay. Analytical difficulty.,1
534,533,1
535,543,1
536,552,1
537,567,1
538,568,1
539,593,1
540,594,1
541,595,1
542,6.02,1
543,6.03,1
544,6.04,1
545,696,1
546,6.05,1
547,690,1
548,4.58,1
549,7.01,1
550,9.60,1
551,882,1
552,MISLABELED,1
553,89,1
554,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
555,9.06,1
556,9.14,1
557,Ignore results. Specimen mislabeled,1
558,Ignore results. Specimen hemolyzed,1
559,IMPCOL,1
560,ER NOTIFIED TO REDRAW,1
561,9.20,1
562,9.42,1
563,9.43,1
564,Disregard results. Specimen incorrectly identified.,1
565,Disregard results.,1
566,874,1
567,9.93,1
568,Clerical Error,1
569,9.99,1
570,3.72,1
571,914,1
572,918,1
573,Called to,1
574,968,1
575,970,1
576,971,1
577,979,1
578,<<DO NOT REPORT>>,1
579,ACRE,1
580,CNDUPL,1
581,877,1
582,867,1
583,7.06,1
584,792,1
585,7.15,1
586,7.16,1
587,CLOTTED,1
588,7.54,1
589,7.68,1
590,7.85,1
591,7.90,1
592,701,1
593,710,1
594,712,1
595,730,1
596,741,1
597,756,1
598,769,1
599,8.14,1
600,863,1
601,8.25,1
602,8.33,1
603,8.63,1
604,8.73,1
605,80,1
606,800,1
607,802,1
608,805,1
609,Patient expired,1
610,806,1
611,Patient discharged,1
612,828,1
613,857,1
614,Medical record number mismatch. Disregard results.,1
615,823,1
616,4.55,1
617,5.57,1
618,388,1
619,4.10,1
620,4.08,1
621,4.04,1
622,4.01,1
623,3.2,1
624,4,1
625,394,1
626,382,1
627,18.39,1
628,373,1
629,369,1
630,366,1
631,361,1
632,360,1
633,36.23,1
634,355,1
635,3.31,1
636,4.13,1
637,3.32,1
638,3.36,1
639,19.35,1
640,190,1
641,4.43,1
642,4.41,1
643,3.6,1
644,4.78,1
645,4.38,1
646,4.33,1
647,4.75,1
648,4.74,1
649,4.73,1
650,4.71,1
651,4.29,1
652,4.25,1
653,4.24,1
654,353,1
655,352,1
656,3436,1
657,29,1
658,271,1
659,27.94,1
660,268,1
661,266,1
662,263,1
663,262,1
664,255,1
665,248,1
666,2212,1
667,3.9,1
668,3.88,1
669,217,1
670,3.87,1
671,210,1
672,3.86,1
673,278,1
674,3.93,1
675,336,1
676,3.97,1
677,335,1
678,332,1
679,4.70,1
680,2.6,1
681,322,1
682,320,1
683,32.92,1
684,314,1
685,3.1,1
686,304,1
687,302,1
688,300,1
689,30.59,1
690,2.7,1
691,30.16,1
692,5.54,1
693,189,1
694,174.20,1
695,4836,1
696,468,1
697,464,1
698,461,1
699,450,1
700,446,1
701,444,1
702,442,1
703,439,1
704,437,1
705,429,1
706,428,1
707,424,1
708,4.52,1
709,422,1
710,419,1
711,474,1
712,488,1
713,410,1
714,489,1
715,5.46,1
716,5.44,1
717,5.42,1
718,5.41,1
719,5.40,1
720,5.37,1
721,5.36,1
722,5.29,1
723,5.18,1
724,5.11,1
725,5.08,1
726,21.12,1
727,5.03,1
728,490,1
729,49.36,1
730,162,1
731,413,1
732,1004,1
733,41.26,1
734,1080,1
735,11.23,1
736,11.93,1
737,110,1
738,12.07,1
739,12.19,1
740,13.05,1
741,13.21,1
742,13.5,1
743,13.57,1
744,13.80,1
745,135,1
746,138,1
747,14.01,1
748,150,1
749,1021,1
750,1059,1
751,10.78,1
752,400,1
753,10.65,1
754,10.59,1
755,10.49,1
756,10.48,1
757,41.05,1
758,4.46,1
759,4.86,1
760,4.89,1
761,409,1
762,405,1
763,40,1
764,4.50,1
765,40.56,1
766,5.20,0
767,4.93,0
768,REQUEST CREDITED,0
769,2.8,0
770,6.60,0
