,index,rdw_admit_value
139,24.6,71
140,24.3,69
141,24.7,67
142,24.8,64
143,24.9,64
144,24.5,62
145,Unable to assay. No specimen received.,62
146,25.1,58
147,25.3,58
148,25.0,53
149,25.6,52
150,25.4,50
151,25.2,49
152,25.7,48
153,11.1,46
154,26.2,43
155,25.9,43
156,26.3,43
157,25.5,40
158,Unable to assay. Specimen incorrectly identified.,35
159,26.1,34
160,26.0,33
161,26.4,33
162,26.5,33
163,25.8,31
164,11.0,30
165,26.7,28
166,27.2,27
167,26.8,26
168,26.9,25
169,27.9,24
170,Microtainer specimen,24
171,26.6,24
172,27.0,23
173,27.3,22
174,27.1,21
175,27.4,20
176,28.2,18
177,10.9,18
178,28.6,18
179,27.6,18
180,28.4,17
181,28.0,16
182,28.1,15
183,29.2,15
184,Requisitioning entry error,14
185,27.8,14
186,28.5,14
187,28.7,13
188,27.5,13
189,29.1,12
190,29.4,12
191,Unable to assay. Specimen improperly collected/handled.,11
192,27.7,11
193,29.5,11
194,Specimen received unlabelled.,11
195,"CANCELLED,Specimen not collected or received",10
196,Unable to assay. Possible interfering substance(s) present.,10
197,29.0,10
198,29.3,10
199,30.2,9
200,29.8,9
201,28.8,9
202,30.4,8
203,28.3,8
204,Unable to quantitate due to possible contamination.,8
205,30.0,7
206,29.9,7
207,30.5,7
208,31.8,7
209,31.0,7
210,28.9,6
211,Identity unclear. Specimen labelled incorrectly.,6
212,10.6,6
213,30.9,6
214,30.1,5
215,Ignore results. Specimen was contaminated,5
216,10.5,4
217,Cancelled by clinician,4
218,34.3,4
219,10.8,4
220,"Test accessioning error,please disregard.",4
221,31.5,4
222,Disregard results. Specimen incorrectly identified.,4
223,30.8,4
224,31.2,4
225,30.6,4
226,31.7,3
227,30.7,3
228,30.3,3
229,CLOTTED,3
230,31.6,3
231,34.1,3
232,32.0,3
233,Ignore results.  Specimen clotted.,3
234,10.7,3
235,31.1,3
236,LCAN LOCATION ROUTING ERROR,2
237,Test inadvertently not performed,2
238,29.7,2
239,Ignore results. Specimen clotted.,2
240,Specimen collected in wrong container type.,2
241,Specimen contaminated,2
242,32.2,2
243,32.3,2
244,Test incorrectly ordered.,2
245,31.4,2
246,33.2,2
247,33.5,2
248,31.9,2
249,Unable to assay. Specimen too old to perform test.,2
250,Test Not Performed,2
251,Unable to assay.  Unable to locate specimen.,2
252,Unable to assay. Analytical difficulty.,2
253,Unable to assay. Broken/spilled in transit.,1
254,10.1,1
255,10.4,1
256,"Unable to assay,specimen age exceeds the recommended acceptable limit",1
257,10.2,1
258,Ignore results. Specimen hemolyzed,1
259,Ignore results. Specimen mislabeled,1
260,Test Not Indicated,1
261,Specimen drawn in wrong tube.,1
262,SPECIMEN CLOTTED,1
263,IMPCOL,1
264,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
265,MISLABELED,1
266,Test reordered by CCHS hospital.,1
267,Patient discharged,1
268,10.3,1
269,Results called to and read back by:,1
270,Medical record number mismatch. Disregard results.,1
271,35.6,1
272,ER NOTIFIED TO REDRAW,1
273,34.5,1
274,37.0,1
275,36.5,1
276,36.1,1
277,36.0,1
278,35.9,1
279,35.5,1
280,35.0,1
281,34.7,1
282,34.6,1
283,34.4,1
284,37.5,1
285,33.6,1
286,33.1,1
287,33.0,1
288,32.7,1
289,32.4,1
290,32.1,1
291,31.3,1
292,29.6,1
293,252.0,1
294,37.4,1
295,38.0,1
296,Disregard results.,1
297,9.4,1
298,Disregard previous report of:,1
299,Clerical Error,1
300,Cancelled,1
301,Called to,1
302,CNDUPL,1
303,CLTD,1
304,Blood/Anticoagulant Ratio in tube unsatisfactory.,1
305,ACRE,1
306,9.8,1
307,64.3,1
308,38.6,1
309,60.2,1
310,58.8,1
311,57.0,1
312,55.5,1
313,44.2,1
314,413.7,1
315,41.1,1
316,39.6,1
317,10.0,1
318,REQUEST CREDITED,0
