,index,ast_admit_value
243,Unable to assay.  Unable to locate specimen.,12
244,244,12
245,233,11
246,243,11
247,228,11
248,276,11
249,286,11
250,226,11
251,246,11
252,304,11
253,335,10
254,287,10
255,281,10
256,275,10
257,224,10
258,284,10
259,294,10
260,230,10
261,234,10
262,253,10
263,209,10
264,317,10
265,247,10
266,248,10
267,280,10
268,311,9
269,312,9
270,348,9
271,257,9
272,221,9
273,217,9
274,239,9
275,242,9
276,249,9
277,279,8
278,268,8
279,214,8
280,334,8
281,320,8
282,307,8
283,298,8
284,297,8
285,267,8
286,292,8
287,274,8
288,270,8
289,271,8
290,283,8
291,198,7
292,339,7
293,337,7
294,272,7
295,Unable to assay. Specimen grossly hemolyzed.,7
296,245,7
297,332,7
298,241,7
299,301,7
300,Identity unclear. Specimen labelled incorrectly.,7
301,299,7
302,269,7
303,296,7
304,265,7
305,396,7
306,260,7
307,256,6
308,290,6
309,328,6
310,336,6
311,291,6
312,250,6
313,340,6
314,356,6
315,278,6
316,366,6
317,370,6
318,388,6
319,391,6
320,273,6
321,333,6
322,315,6
323,258,6
324,261,6
325,303,6
326,259,6
327,285,6
328,459,6
329,300,5
330,282,5
331,362,5
332,4,5
333,262,5
334,Unable to assay due to viscosity of specimen.,5
335,302,5
336,371,5
337,373,5
338,418,5
339,378,5
340,422,5
341,<5.0,5
342,478,5
343,382,5
344,385,5
345,321,5
346,305,5
347,314,5
348,327,5
349,255,5
350,350,5
351,>7000,5
352,316,5
353,252,5
354,318,5
355,310,5
356,342,5
357,326,5
358,309,5
359,395,4
360,264,4
361,397,4
362,277,4
363,288,4
364,392,4
365,306,4
366,330,4
367,387,4
368,386,4
369,263,4
370,338,4
371,313,4
372,403,4
373,344,4
374,325,4
375,394,4
376,592,4
377,417,4
378,Requisitioning entry error,4
379,471,4
380,454,4
381,448,4
382,445,4
383,595,4
384,597,4
385,431,4
386,428,4
387,427,4
388,424,4
389,419,4
390,436,4
391,Unable to quantitate due to possible contamination.,4
392,413,4
393,352,3
394,408,3
395,407,3
396,349,3
397,515,3
398,347,3
399,440,3
400,345,3
401,494,3
402,586,3
403,341,3
404,438,3
405,439,3
406,472,3
407,346,3
408,289,3
409,603,3
410,464,3
411,319,3
412,544,3
413,455,3
414,322,3
415,548,3
416,681,3
417,329,3
418,517,3
419,908,3
420,467,3
421,331,3
422,399,3
423,468,3
424,444,3
425,512,3
426,351,3
427,477,3
428,379,3
429,608,3
430,374,3
431,488,3
432,376,3
433,654,3
434,293,3
435,421,3
436,295,3
437,381,3
438,491,3
439,383,3
440,666,3
441,400,3
442,389,3
443,390,3
444,543,3
445,369,3
446,368,3
447,485,3
448,358,3
449,499,3
450,504,3
451,359,3
452,430,3
453,623,3
454,360,3
455,Patient refused collection,2
456,<3,2
457,537,2
458,932,2
459,526,2
460,508,2
461,496,2
462,524,2
463,503,2
464,497,2
465,Disregard results. Specimen incorrectly identified.,2
466,518,2
467,668,2
468,538,2
469,546,2
470,671,2
471,664,2
472,660,2
473,721,2
474,649,2
475,645,2
476,738,2
477,744,2
478,676,2
479,627,2
480,625,2
481,624,2
482,610,2
483,678,2
484,599,2
485,401,2
486,585,2
487,667,2
488,861,2
489,680,2
490,577,2
491,573,2
492,571,2
493,567,2
494,565,2
495,554,2
496,551,2
497,1380,2
498,505,2
499,684,2
500,469,2
501,465,2
502,463,2
503,372,2
504,462,2
505,460,2
506,458,2
507,323,2
508,426,2
509,324,2
510,367,2
511,452,2
512,451,2
513,449,2
514,447,2
515,365,2
516,364,2
517,437,2
518,435,2
519,"Test accessioning error,please disregard.",2
520,432,2
521,361,2
522,353,2
523,357,2
524,1042,2
525,457,2
526,479,2
527,470,2
528,486,2
529,Unable to assay. Specimen improperly collected/handled.,2
530,Unable to assay due to interference by lipemia.,2
531,416,2
532,384,2
533,420,2
534,473,2
535,355,2
536,308,2
537,423,2
538,729,1
539,1480,1
540,1034,1
541,10520,1
542,1059,1
543,795,1
544,1497,1
545,1490,1
546,689,1
547,796,1
548,1481,1
549,804,1
550,723,1
551,811,1
552,812,1
553,818,1
554,Unable to assay. Analytical difficulty.,1
555,1683,1
556,Unable to assay. Specimen significantly icteric.,1
557,688,1
558,713,1
559,786,1
560,Unable to assay due to hemolysis. Please submit new specimen.,1
561,734,1
562,776,1
563,708,1
564,Test inadvertently not performed,1
565,1693,1
566,823,1
567,735,1
568,699,1
569,728,1
570,741,1
571,691,1
572,751,1
573,754,1
574,764,1
575,765,1
576,767,1
577,1709,1
578,1041,1
579,771,1
580,1513,1
581,727,1
582,717,1
583,Quantity not sufficient for repeat testing.,1
584,1420,1
585,830,1
586,956,1
587,978,1
588,980,1
589,999,1
590,1234,1
591,CONVERTED TO ISTAT,1
592,1220,1
593,Specimen collected in wrong container type.,1
594,1218,1
595,Ignore results. Specimen hemolyzed,1
596,Ignore results. Specimen was contaminated,1
597,Incorrect test ordered.,1
598,MISLABELED,1
599,1185,1
600,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
601,1182,1
602,Medical record number mismatch. Disregard results.,1
603,1171,1
604,1733,1
605,1105,1
606,SPECIMEN HEMOLYZED,1
607,Notified by unit that specimen labelled incorrectly.,1
608,1160,1
609,POS CONTAMINATION 998335BY 897715 103018,1
610,1111,1
611,1155,1
612,1115,1
613,1090,1
614,1291,1
615,Specimen contaminated,1
616,868,1
617,831,1
618,1409,1
619,854,1
620,856,1
621,1396,1
622,SAMPLE GROSSLY LIPEMIC SENT TO MAIN CAMPUS FOR TESTING.,1
623,859,1
624,1381,1
625,1061,1
626,Specimen leaked in transport.,1
627,1071,1
628,1377,1
629,1365,1
630,1292,1
631,1077,1
632,883,1
633,905,1
634,1347,1
635,Specimen grossly lipemic,1
636,915,1
637,1320,1
638,918,1
639,924,1
640,926,1
641,931,1
642,1085,1
643,1392,1
644,402,1
645,683,1
646,525,1
647,500,1
648,501,1
649,502,1
650,506,1
651,510,1
652,5107,1
653,513,1
654,2711,1
655,516,1
656,519,1
657,2687,1
658,522,1
659,523,1
660,2648,1
661,2456,1
662,2639,1
663,527,1
664,528,1
665,530,1
666,531,1
667,533,1
668,534,1
669,540,1
670,549,1
671,2495,1
672,558,1
673,559,1
674,561,1
675,498,1
676,495,1
677,493,1
678,492,1
679,404,1
680,405,1
681,406,1
682,410,1
683,412,1
684,414,1
685,4161,1
686,377,1
687,375,1
688,425,1
689,363,1
690,429,1
691,433,1
692,3390,1
693,442,1
694,446,1
695,450,1
696,4529,1
697,456,1
698,461,1
699,466,1
700,475,1
701,481,1
702,483,1
703,3,1
704,484,1
705,487,1
706,1747,1
707,563,1
708,568,1
709,570,1
710,628,1
711,629,1
712,630,1
713,631,1
714,2024,1
715,633,1
716,634,1
717,640,1
718,641,1
719,642,1
720,643,1
721,644,1
722,646,1
723,647,1
724,650,1
725,1918,1
726,651,1
727,653,1
728,656,1
729,6592,1
730,1876,1
731,661,1
732,1847,1
733,665,1
734,1826,1
735,1794,1
736,682,1
737,626,1
738,621,1
739,594,1
740,2269,1
741,572,1
742,576,1
743,578,1
744,580,1
745,581,1
746,583,1
747,584,1
748,587,1
749,589,1
750,2298,1
751,590,1
752,593,1
753,1,1
754,611,1
755,2147,1
756,598,1
757,602,1
758,604,1
759,605,1
760,2168,1
761,2125,1
762,619,1
763,2155,1
764,615,1
765,614,1
766,443,0
767,662,0
768,1157,0
769,815,0
770,620,0
