,index,alkaline_phosphatase_admit_value
595,649,3
596,750,3
597,944,3
598,644,3
599,784,3
600,780,3
601,690,3
602,967,3
603,1467,3
604,778,3
605,695,3
606,638,3
607,787,3
608,710,3
609,715,3
610,806,3
611,714,3
612,885,3
613,723,3
614,675,3
615,712,3
616,813,3
617,726,3
618,805,3
619,869,3
620,884,3
621,531,3
622,876,3
623,740,3
624,711,3
625,662,3
626,661,3
627,852,3
628,770,3
629,518,3
630,477,3
631,441,3
632,537,3
633,551,3
634,569,3
635,585,3
636,565,3
637,606,3
638,586,3
639,580,3
640,605,3
641,588,3
642,592,3
643,Result not available due to interference by hemolysis. Suggest reorder,3
644,468,3
645,562,3
646,597,3
647,617,3
648,615,3
649,619,3
650,540,3
651,14,3
652,977,3
653,630,3
654,576,3
655,543,3
656,571,3
657,627,3
658,570,3
659,625,3
660,545,3
661,595,3
662,546,3
663,578,3
664,516,3
665,621,3
666,620,3
667,491,3
668,1002,2
669,1059,2
670,817,2
671,815,2
672,821,2
673,825,2
674,829,2
675,816,2
676,1046,2
677,812,2
678,808,2
679,771,2
680,Unable to assay. Specimen improperly collected/handled.,2
681,1022,2
682,781,2
683,782,2
684,1033,2
685,786,2
686,788,2
687,790,2
688,792,2
689,793,2
690,1010,2
691,795,2
692,796,2
693,797,2
694,798,2
695,"Test accessioning error,please disregard.",2
696,803,2
697,1047,2
698,1048,2
699,1050,2
700,831,2
701,973,2
702,1063,2
703,765,2
704,1124,2
705,1129,2
706,921,2
707,923,2
708,1135,2
709,Patient refused collection,2
710,1154,2
711,1655,2
712,12,2
713,936,2
714,913,2
715,940,2
716,943,2
717,Disregard results. Specimen incorrectly identified.,2
718,995,2
719,949,2
720,985,2
721,959,2
722,980,2
723,1000,2
724,918,2
725,911,2
726,833,2
727,862,2
728,843,2
729,845,2
730,1065,2
731,851,2
732,1459,2
733,855,2
734,856,2
735,858,2
736,860,2
737,867,2
738,910,2
739,871,2
740,1073,2
741,879,2
742,1092,2
743,11,2
744,899,2
745,900,2
746,907,2
747,909,2
748,975,2
749,804,2
750,728,2
751,622,2
752,558,2
753,470,2
754,729,2
755,673,2
756,651,2
757,561,2
758,631,2
759,618,2
760,689,2
761,610,2
762,575,2
763,583,2
764,609,2
765,735,2
766,412,2
767,594,2
768,656,2
769,671,2
770,626,2
771,716,2
772,696,2
773,600,2
774,601,2
775,707,2
776,702,2
777,701,2
778,687,2
779,668,2
780,736,2
781,646,2
782,764,2
783,763,2
784,762,2
785,637,2
786,536,2
787,643,2
788,678,2
789,636,2
790,682,2
791,633,2
792,645,2
793,677,2
794,749,2
795,753,2
796,684,2
797,485,2
798,739,2
799,647,2
800,547,2
801,Incorrect test ordered.,1
802,1269,1
803,616,1
804,1298,1
805,1199,1
806,1292,1
807,994,1
808,3978,1
809,1187,1
810,996,1
811,1194,1
812,1299,1
813,1188,1
814,997,1
815,1250,1
816,<25,1
817,Ignore results. Specimen was contaminated,1
818,CONVERTED TO ISTAT,1
819,1191,1
820,Ignore results. Specimen hemolyzed,1
821,1190,1
822,767,1
823,1345,1
824,624,1
825,978,1
826,1381,1
827,632,1
828,1392,1
829,1394,1
830,635,1
831,972,1
832,1415,1
833,1417,1
834,1419,1
835,970,1
836,1428,1
837,1429,1
838,968,1
839,1444,1
840,966,1
841,1370,1
842,1367,1
843,991,1
844,1366,1
845,1300,1
846,1302,1
847,1305,1
848,988,1
849,1312,1
850,1319,1
851,987,1
852,1336,1
853,984,1
854,1181,1
855,1347,1
856,981,1
857,1356,1
858,629,1
859,1363,1
860,1185,1
861,613,1
862,MISLABELED,1
863,1061,1
864,1049,1
865,Test inadvertently not performed,1
866,1051,1
867,1058,1
868,564,1
869,572,1
870,1060,1
871,1068,1
872,Unable to assay. Analytical difficulty.,1
873,1069,1
874,Specimen leaked in transport.,1
875,1075,1
876,1077,1
877,1078,1
878,1079,1
879,Specimen contaminated,1
880,557,1
881,1037,1
882,1179,1
883,1017,1
884,529,1
885,534,1
886,1004,1
887,Unable to assay. Specimen significantly icteric.,1
888,508,1
889,1012,1
890,1014,1
891,501,1
892,1032,1
893,544,1
894,1024,1
895,1025,1
896,1027,1
897,1028,1
898,1029,1
899,1030,1
900,1080,1
901,1084,1
902,1088,1
903,POS CONTAMINATION 998335BY 897715 103018,1
904,1127,1
905,1134,1
906,1136,1
907,1139,1
908,1464,1
909,1142,1
910,1144,1
911,1151,1
912,1089,1
913,614,1
914,1159,1
915,Notified by unit that specimen labelled incorrectly.,1
916,1164,1
917,1167,1
918,Medical record number mismatch. Disregard results.,1
919,1174,1
920,608,1
921,1123,1
922,604,1
923,1119,1
924,Specimen collected in wrong container type.,1
925,1094,1
926,1096,1
927,1097,1
928,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
929,1104,1
930,1106,1
931,1108,1
932,SPECIMEN HEMOLYZED,1
933,603,1
934,1111,1
935,1112,1
936,1113,1
937,1114,1
938,1116,1
939,962,1
940,1529,1
941,640,1
942,713,1
943,844,1
944,842,1
945,840,1
946,2274,1
947,835,1
948,709,1
949,832,1
950,830,1
951,849,1
952,826,1
953,3173,1
954,824,1
955,823,1
956,2360,1
957,717,1
958,819,1
959,847,1
960,850,1
961,2390,1
962,863,1
963,688,1
964,2066,1
965,691,1
966,866,1
967,2081,1
968,2085,1
969,865,1
970,694,1
971,700,1
972,861,1
973,697,1
974,857,1
975,699,1
976,7,1
977,853,1
978,3313,1
979,818,1
980,3167,1
981,960,1
982,751,1
983,744,1
984,791,1
985,745,1
986,789,1
987,746,1
988,747,1
989,748,1
990,783,1
991,794,1
992,755,1
993,758,1
994,779,1
995,760,1
996,776,1
997,761,1
998,773,1
999,741,1
1000,2562,1
1001,722,1
1002,2454,1
1003,2407,1
1004,724,1
1005,814,1
1006,725,1
1007,3097,1
1008,2445,1
1009,811,1
1010,810,1
1011,738,1
1012,809,1
1013,727,1
1014,731,1
1015,732,1
1016,801,1
1017,799,1
1018,2550,1
1019,873,1
1020,2033,1
1021,874,1
1022,3620,1
1023,1605,1
1024,1606,1
1025,654,1
1026,1612,1
1027,939,1
1028,938,1
1029,935,1
1030,933,1
1031,653,1
1032,932,1
1033,1676,1
1034,931,1
1035,928,1
1036,1693,1
1037,665,1
1038,927,1
1039,941,1
1040,942,1
1041,875,1
1042,1526,1
1043,1474,1
1044,1482,1
1045,957,1
1046,1499,1
1047,955,1
1048,1501,1
1049,952,1
1050,1528,1
1051,1589,1
1052,768,1
1053,948,1
1054,947,1
1055,1558,1
1056,946,1
1057,648,1
1058,1575,1
1059,1701,1
1060,926,1
1061,1719,1
1062,893,1
1063,905,1
1064,904,1
1065,901,1
1066,897,1
1067,896,1
1068,1912,1
1069,894,1
1070,1931,1
1071,676,1
1072,890,1
1073,887,1
1074,1961,1
1075,683,1
1076,883,1
1077,881,1
1078,686,1
1079,666,1
1080,1848,1
1081,914,1
1082,674,1
1083,667,1
1084,670,1
1085,1755,1
1086,917,1
1087,1765,1
1088,915,1
1089,1773,1
1090,10,1
1091,1780,1
1092,1786,1
1093,1793,1
1094,3545,1
1095,912,1
1096,672,1
1097,1815,1
1098,1008,0
1099,898,0
1100,1834,0
