,index,creatinine_discharge_value
185,0.21,186
186,0.22,183
187,2.02,183
188,1.96,181
189,1.99,178
190,1.97,174
191,2.05,172
192,2.01,167
193,2.08,167
194,2.03,166
195,1.92,162
196,2.07,162
197,2.04,159
198,2.13,154
199,Account Credited,154
200,1.4,151
201,0.20,150
202,2.06,145
203,2.09,145
204,2.11,143
205,Duplicate request,143
206,2.19,136
207,2.15,135
208,2.27,133
209,2.14,131
210,2.12,131
211,2.10,131
212,2.23,125
213,0.19,120
214,2.20,119
215,2.22,119
216,2.33,117
217,2.24,114
218,2.32,113
219,2.28,113
220,2.21,111
221,2.26,110
222,2.18,109
223,2.35,108
224,2.16,108
225,2.30,103
226,2.25,102
227,2.34,101
228,1.5,101
229,2.17,100
230,2.39,100
231,2.36,98
232,0.18,98
233,2.40,96
234,2.37,96
235,2.44,90
236,2.31,90
237,2.45,89
238,2.38,85
239,2.49,84
240,2.46,84
241,2.29,83
242,2.42,82
243,0.17,81
244,2.57,80
245,2.48,79
246,Unable to assay. Specimen significantly hemolyzed.,79
247,2.43,78
248,2.47,78
249,Unacceptable due to gross hemolysis. Redraw requested.,78
250,2.50,78
251,2.54,78
252,2.52,77
253,2.51,76
254,2.41,75
255,2.63,73
256,2.58,73
257,2.72,73
258,2.55,73
259,2.53,73
260,2.69,72
261,2.73,72
262,2.56,72
263,0.3,71
264,2.60,70
265,Unable to assay. No specimen received.,69
266,2.70,69
267,2.74,69
268,2.59,69
269,1.6,69
270,2.65,69
271,2.68,68
272,2.71,68
273,2.90,62
274,2.78,62
275,2.81,60
276,2.62,59
277,2.84,59
278,2.66,58
279,2.64,58
280,2.85,57
281,2.79,56
282,3.00,56
283,2.75,55
284,2.87,55
285,2.76,54
286,2.77,54
287,2.83,54
288,3.43,54
289,0.16,53
290,2.82,53
291,2.67,53
292,3.04,52
293,2.97,52
294,3.26,51
295,1.7,51
296,2.89,51
297,2.61,51
298,Unable to assay. Quantity not sufficient.,51
299,3.10,50
300,3.05,50
301,2.96,49
302,2.93,49
303,3.21,49
304,3.11,48
305,2.99,48
306,3.25,47
307,2.80,47
308,2.86,47
309,3.13,46
310,3.37,46
311,2.98,46
312,Unable to assay.  Unable to locate specimen.,46
313,3.23,45
314,2.91,45
315,1.8,45
316,1.9,45
317,3.32,45
318,2.94,45
319,2.95,45
320,3.02,44
321,2.92,44
322,3.20,44
323,"CANCELLED,Specimen not collected or received",42
324,3.67,42
325,3.34,42
326,3.19,42
327,Cancelled by clinician,41
328,2.88,41
329,3.14,39
330,3.06,39
331,3.09,39
332,3.44,38
333,3.17,38
334,3.08,38
335,3.33,38
336,3.31,37
337,3.62,37
338,3.28,37
339,3.36,36
340,3.60,36
341,Unable to assay. Possible interfering substance(s) present.,36
342,3.70,35
343,3.52,35
344,3.12,35
345,3.41,35
346,3.54,34
347,3.07,34
348,3.30,34
349,3.93,34
350,3.42,34
351,3.74,34
352,3.22,33
353,3.49,33
354,3.63,33
355,3.55,33
356,3.69,32
357,3.58,32
358,3.64,32
359,3.15,32
360,3.16,32
361,3.27,32
362,3.38,32
363,3.03,31
364,4.03,31
365,3.39,31
366,3.50,31
367,3.48,31
368,4.14,30
369,0.14,30
370,3.91,30
371,3.53,30
372,3.72,30
373,3.61,29
374,4.59,29
375,4.18,29
376,4.39,29
377,2.0,29
378,3.65,29
379,3.01,29
380,3.45,29
381,3.35,28
382,3.24,28
383,3.40,28
384,4.62,28
385,3.77,28
386,3.46,28
387,3.56,28
388,4.24,28
389,Unable to assay. Specimen incorrectly identified.,28
390,4.56,27
391,4.21,27
392,3.85,27
393,3.76,27
394,4.20,27
395,4.15,27
396,4.10,27
397,4.09,27
398,3.79,27
399,4.01,27
400,3.82,27
401,3.99,27
402,3.98,27
403,0.15,27
404,5.42,26
405,3.51,26
406,3.88,26
407,4.32,26
408,3.73,26
409,4.07,26
410,3.83,26
411,3.84,26
412,3.57,26
413,3.59,25
414,4.79,25
415,4.58,25
416,4.34,25
417,4.26,25
418,5.41,25
419,4.12,25
420,3.96,25
421,3.92,25
422,3.90,25
423,5.38,25
424,3.86,24
425,3.47,24
426,3.29,24
427,5.23,24
428,4.41,24
429,3.78,24
430,5.44,24
431,4.46,24
432,5.01,23
433,4.04,23
434,4.02,23
435,5.39,23
436,5.32,23
437,3.18,23
438,3.80,23
439,3.75,23
440,3.71,23
441,4.57,23
442,4.54,23
443,2.1,23
444,4.49,22
445,4.68,22
446,4.43,22
447,5.97,22
448,4.84,22
449,4.95,22
450,4.53,22
451,3.87,22
452,3.66,22
453,5.50,22
454,6.08,22
455,5.36,22
456,3.95,22
457,5.10,22
458,3.81,22
459,5.05,21
460,4.67,21
461,4.76,21
462,6.65,21
463,5.45,21
464,5.30,21
465,4.87,21
466,5.20,21
467,6.07,21
468,4.93,21
469,5.56,21
470,4.50,21
471,4.05,21
472,4.08,21
473,4.11,21
474,4.13,21
475,4.37,21
476,4.17,21
477,4.33,20
478,3.68,20
479,5.46,20
480,3.89,20
481,3.97,20
482,5.26,20
483,5.21,20
484,5.15,20
485,6.50,20
486,4.81,20
487,4.77,20
488,4.47,20
489,4.36,20
490,4.44,20
491,4.60,19
492,4.61,19
493,4.51,19
494,4.00,19
495,4.70,19
496,5.34,19
497,5.00,19
498,4.22,19
499,4.40,19
500,5.22,19
501,4.16,19
502,4.91,19
503,5.14,19
504,4.35,19
505,5.69,19
506,2.3,19
507,4.65,19
508,6.45,19
509,5.86,19
510,5.85,19
511,5.81,19
512,5.88,18
513,6.24,18
514,0.13,18
515,4.78,18
516,5.75,18
517,4.80,18
518,4.83,18
519,4.86,18
520,5.53,18
521,4.88,18
522,4.23,18
523,5.27,18
524,4.06,18
525,5.25,18
526,5.61,18
527,5.84,18
528,6.95,18
529,6.97,18
530,6.37,18
531,5.68,18
532,6.03,17
533,4.89,17
534,4.92,17
535,5.33,17
536,6.63,17
537,5.37,17
538,5.08,17
539,4.71,17
540,5.71,17
541,6.48,17
542,5.51,17
543,6.42,17
544,5.66,17
545,5.62,17
546,2.2,17
547,6.88,17
548,4.25,17
549,4.27,17
550,4.29,17
551,6.19,17
552,4.45,17
553,4.48,17
554,4.52,17
555,4.64,17
556,6.73,16
557,4.85,16
558,6.01,16
559,4.82,16
560,4.19,16
561,4.96,16
562,4.98,16
563,5.18,16
564,6.90,16
565,4.75,16
566,6.06,16
567,4.55,16
568,5.54,16
569,5.48,16
570,Specimen received unlabelled.,16
571,6.53,16
572,5.64,16
573,5.29,16
574,5.28,16
575,5.55,16
576,5.47,16
577,5.82,15
578,9.13,15
579,6.16,15
580,6.91,15
581,4.42,15
582,3.94,15
583,5.98,15
584,5.19,15
585,4.72,15
586,5.65,15
587,8.36,15
588,5.67,15
589,5.59,15
590,7.85,15
591,6.31,15
592,5.92,15
593,5.57,15
594,5.77,15
595,4.28,15
596,4.63,15
597,5.58,15
598,4.31,15
599,5.03,15
600,5.02,15
601,6.09,15
602,4.74,14
603,8.80,14
604,6.81,14
605,8.74,14
606,5.70,14
607,7.87,14
608,5.40,14
609,6.80,14
610,5.63,14
611,6.58,14
612,5.09,14
613,6.77,14
614,5.99,14
615,6.54,14
616,5.07,14
617,5.06,14
618,7.13,14
619,6.22,14
620,5.91,14
621,4.30,14
622,6.38,14
623,5.24,14
624,4.94,14
625,8.42,14
626,5.94,14
627,4.90,14
628,5.11,14
629,7.32,14
630,6.94,14
631,6.23,13
632,4.38,13
633,6.75,13
634,6.33,13
635,8.31,13
636,6.84,13
637,6.87,13
638,6.93,13
639,8.40,13
640,7.00,13
641,8.15,13
642,7.07,13
643,6.43,13
644,7.11,13
645,<0.20,13
646,6.47,13
647,7.37,13
648,7.38,13
649,8.08,13
650,5.17,13
651,0.2,13
652,6.04,13
653,5.12,13
654,5.90,13
655,5.93,13
656,7.62,13
657,6.52,13
658,5.79,13
659,4.73,13
660,4.69,13
661,4.66,13
662,2.4,13
663,9.65,13
664,5.52,12
665,6.21,12
666,7.47,12
667,7.20,12
668,7.01,12
669,8.19,12
670,8.07,12
671,5.78,12
672,8.01,12
673,6.71,12
674,7.95,12
675,7.59,12
676,8.09,12
677,5.96,12
678,0.12,12
679,6.96,12
680,9.18,12
681,9.15,12
682,6.12,12
683,6.61,12
684,5.74,12
685,8.85,12
686,6.82,12
687,6.66,12
688,6.60,12
689,7.29,12
690,7.36,12
691,6.76,12
692,6.25,12
693,8.30,12
694,4.99,11
695,7.06,11
696,5.13,11
697,5.72,11
698,5.87,11
699,7.04,11
700,7.39,11
701,7.53,11
702,7.33,11
703,6.70,11
704,11.30,11
705,<0.2,11
706,7.23,11
707,5.89,11
708,7.12,11
709,7.97,11
710,7.16,11
711,7.27,11
712,7.93,11
713,7.26,11
714,7.19,11
715,8.53,11
716,7.25,11
717,7.48,11
718,9.80,11
719,6.29,11
720,5.73,11
721,8.12,11
722,6.79,11
723,7.84,11
724,6.02,11
725,7.58,11
726,8.27,11
727,7.86,11
728,7.74,11
729,6.56,11
730,5.76,11
731,6.55,11
732,6.32,11
733,8.28,11
734,6.64,11
735,5.35,11
736,8.38,11
737,8.93,11
738,7.65,11
739,6.35,11
740,6.36,11
741,8.70,11
742,6.11,11
743,6.74,11
744,7.69,11
745,5.16,11
746,5.43,11
747,9.44,10
748,9.50,10
749,9.10,10
750,7.45,10
751,9.14,10
752,8.63,10
753,7.46,10
754,10.02,10
755,7.89,10
756,7.49,10
757,9.09,10
758,7.68,10
759,7.52,10
760,8.83,10
761,Unable to assay. Specimen significantly icteric.,10
762,10.58,10
763,7.56,10
764,10.04,10
765,Specimen hemolyzed.,10
766,6.85,10
767,7.02,10
768,6.13,10
769,8.34,10
770,6.72,10
771,6.39,10
772,8.26,10
773,8.14,10
774,5.04,10
775,6.30,10
776,8.20,10
777,8.13,10
778,6.28,10
779,5.31,10
780,5.49,10
781,2.7,10
782,6.27,10
783,6.05,10
784,6.14,10
785,6.17,10
786,7.03,10
787,8.03,10
788,7.34,10
789,7.30,10
790,7.22,10
791,7.21,10
792,8.51,10
793,8.50,10
794,6.46,10
795,7.10,10
796,6.44,10
797,6.41,10
798,8.45,10
799,7.09,10
800,8.44,10
801,7.05,10
802,6.51,10
803,9.81,9
804,2.5,9
805,10.21,9
806,10.47,9
807,10.71,9
808,8.59,9
809,9.00,9
810,8.04,9
811,9.11,9
812,9.86,9
813,8.47,9
814,9.30,9
815,9.28,9
816,2.9,9
817,8.41,9
818,8.25,9
819,8.75,9
820,9.07,9
821,9.62,9
822,8.96,9
823,8.92,9
824,8.17,9
825,8.02,9
826,8.16,9
827,7.96,9
828,7.76,9
829,Unable to assay. Specimen improperly collected/handled.,9
830,6.59,9
831,6.57,9
832,7.79,9
833,7.78,9
834,7.08,9
835,6.83,9
836,7.75,9
837,7.40,9
838,7.72,9
839,5.80,9
840,7.42,9
841,6.20,9
842,6.18,9
843,6.15,9
844,6.92,9
845,7.28,9
846,7.63,9
847,5.60,9
848,6.00,9
849,5.95,9
850,7.91,9
851,6.69,8
852,10.34,8
853,8.64,8
854,6.62,8
855,8.21,8
856,10.42,8
857,6.26,8
858,8.11,8
859,8.10,8
860,8.06,8
861,8.05,8
862,2.6,8
863,6.99,8
864,10.07,8
865,8.48,8
866,7.24,8
867,7.54,8
868,7.57,8
869,9.12,8
870,7.61,8
871,9.08,8
872,9.23,8
873,9.05,8
874,9.02,8
875,7.67,8
876,7.71,8
877,8.87,8
878,9.40,8
879,8.81,8
880,7.43,8
881,9.55,8
882,8.68,8
883,7.80,8
884,8.62,8
885,10.00,8
886,10.12,8
887,9.99,8
888,5.83,8
889,9.16,8
890,10.69,8
891,11.17,8
892,11.15,8
893,7.99,8
894,4.97,8
895,3.1,8
896,8.00,7
897,10.98,7
898,9.48,7
899,9.45,7
900,8.76,7
901,8.52,7
902,7.18,7
903,7.17,7
904,8.79,7
905,7.15,7
906,3.6,7
907,7.31,7
908,10.26,7
909,Identity unclear. Specimen labelled incorrectly.,7
910,8.82,7
911,10.93,7
912,9.70,7
913,6.98,7
914,10.88,7
915,10.16,7
916,3.2,7
917,9.49,7
918,8.65,7
919,9.72,7
920,8.58,7
921,9.64,7
922,9.63,7
923,9.79,7
924,10.03,7
925,9.84,7
926,7.35,7
927,9.98,7
928,8.66,7
929,9.56,7
930,9.53,7
931,10.09,7
932,10.10,7
933,9.52,7
934,8.90,7
935,8.88,7
936,8.57,7
937,9.26,7
938,6.67,7
939,7.64,7
940,5.2,7
941,0.11,7
942,10.76,7
943,6.40,7
944,10.40,7
945,8.91,7
946,8.18,7
947,9.24,7
948,9.04,7
949,6.10,7
950,7.98,7
951,7.51,7
952,11.45,7
953,9.21,7
954,10.39,7
955,7.90,7
956,8.29,7
957,7.70,7
958,10.45,7
959,8.97,7
960,8.94,7
961,9.29,7
962,8.33,7
963,10.72,6
964,9.20,6
965,9.69,6
966,7.55,6
967,9.59,6
968,8.61,6
969,Requisitioning entry error,6
970,7.41,6
971,10.75,6
972,9.61,6
973,7.60,6
974,9.36,6
975,9.06,6
976,11.10,6
977,9.54,6
978,10.85,6
979,9.32,6
980,7.73,6
981,9.31,6
982,9.41,6
983,8.99,6
984,7.66,6
985,7.77,6
986,9.25,6
987,9.46,6
988,10.81,6
989,8.73,6
990,11.07,6
991,10.78,6
992,9.22,6
993,10.61,6
994,3.0,6
995,9.73,6
996,12.15,6
997,10.41,6
998,6.49,6
999,4.9,6
1000,13.30,6
1001,11.54,6
1002,10.24,6
1003,7.14,6
1004,11.27,6
1005,11.51,6
1006,8.56,6
1007,8.22,6
1008,10.33,6
1009,8.39,6
1010,11.33,6
1011,10.55,6
1012,10.35,6
1013,6.86,6
1014,12.53,6
1015,12.60,6
1016,6.68,6
1017,6.78,6
1018,10.14,6
1019,3.4,6
1020,14.00,6
1021,10.13,6
1022,9.75,6
1023,8.55,6
1024,9.77,6
1025,9.78,6
1026,Unable to quantitate due to possible contamination.,6
1027,12.02,6
1028,10.01,6
1029,7.83,6
1030,10.38,6
1031,11.63,6
1032,10.05,6
1033,10.06,6
1034,9.91,6
1035,11.65,6
1036,0.10,6
1037,12.38,5
1038,10.65,5
1039,11.95,5
1040,11.44,5
1041,10.43,5
1042,9.01,5
1043,10.80,5
1044,11.92,5
1045,12.10,5
1046,10.44,5
1047,0.08,5
1048,12.30,5
1049,11.62,5
1050,10.31,5
1051,10.83,5
1052,10.59,5
1053,7.82,5
1054,8.60,5
1055,11.19,5
1056,7.88,5
1057,11.14,5
1058,13.83,5
1059,8.69,5
1060,10.11,5
1061,8.71,5
1062,11.24,5
1063,11.00,5
1064,12.63,5
1065,10.17,5
1066,11.25,5
1067,10.19,5
1068,9.17,5
1069,10.27,5
1070,10.96,5
1071,12.98,5
1072,11.28,5
1073,12.67,5
1074,11.41,5
1075,13.11,5
1076,"Test accessioning error,please disregard.",5
1077,3.3,5
1078,6.34,5
1079,9.68,5
1080,9.33,5
1081,7.44,5
1082,9.74,5
1083,9.27,5
1084,9.76,5
1085,9.58,5
1086,9.57,5
1087,9.38,5
1088,6.89,5
1089,10.62,5
1090,<0.06,5
1091,8.35,5
1092,8.46,5
1093,9.43,5
1094,9.89,5
1095,9.92,5
1096,8.23,5
1097,7.92,4
1098,11.23,4
1099,5.7,4
1100,14.50,4
1101,14.88,4
1102,11.22,4
1103,9.5,4
1104,13.13,4
1105,9.60,4
1106,11.99,4
1107,7.81,4
1108,3.8,4
1109,10.57,4
1110,8.72,4
1111,8.49,4
1112,3.9,4
1113,11.26,4
1114,8.67,4
1115,11.42,4
1116,9.66,4
1117,11.91,4
1118,10.08,4
1119,11.69,4
1120,11.71,4
1121,13.82,4
1122,9.90,4
1123,13.63,4
1124,11.66,4
1125,9.95,4
1126,9.96,4
1127,11.61,4
1128,11.75,4
1129,10.53,4
1130,10.15,4
1131,7.3,4
1132,9.83,4
1133,11.78,4
1134,10.18,4
1135,11.85,4
1136,11.48,4
1137,10.20,4
1138,4.5,4
1139,2.8,4
1140,9.71,4
1141,5.8,4
1142,10.63,4
1143,10.95,4
1144,12.70,4
1145,9.34,4
1146,8.24,4
1147,12.74,4
1148,12.21,4
1149,16.40,4
1150,12.76,4
1151,8.89,4
1152,8.32,4
1153,8.98,4
1154,9.39,4
1155,8.84,4
1156,10.97,4
1157,12.44,4
1158,7.50,4
1159,10.94,4
1160,10.32,4
1161,0.09,4
1162,10.70,4
1163,Unable to assay. Specimen grossly hemolyzed.,4
1164,10.67,4
1165,10.36,4
1166,12.34,4
1167,10.86,4
1168,8.3,3
1169,10.37,3
1170,13.36,3
1171,12.16,3
1172,7.2,3
1173,12.58,3
1174,12.48,3
1175,6.3,3
1176,13.49,3
1177,12.28,3
1178,9.93,3
1179,12.36,3
1180,12.26,3
1181,12.23,3
1182,12.42,3
1183,12.43,3
1184,9.94,3
1185,11.73,3
1186,12.47,3
1187,11.74,3
1188,9.97,3
1189,13.52,3
1190,13.27,3
1191,11.76,3
1192,13.28,3
1193,12.90,3
1194,13.26,3
1195,7.0,3
1196,11.96,3
1197,12.80,3
1198,12.08,3
1199,7.1,3
1200,10.28,3
1201,12.82,3
1202,11.70,3
1203,6.2,3
1204,12.07,3
1205,6.0,3
1206,12.87,3
1207,12.89,3
1208,10.46,3
1209,10.29,3
1210,8.4,3
1211,12.78,3
1212,12.77,3
1213,12.75,3
1214,13.08,3
1215,13.10,3
1216,8.37,3
1217,12.71,3
1218,12.65,3
1219,13.16,3
1220,13.17,3
1221,10.22,3
1222,13.21,3
1223,16.10,3
1224,12.13,3
1225,11.87,3
1226,13.24,3
1227,13.70,3
1228,12.29,3
1229,13.73,3
1230,13.74,3
1231,10.84,3
1232,9.67,3
1233,11.38,3
1234,15.77,3
1235,11.35,3
1236,4.0,3
1237,11.31,3
1238,11.29,3
1239,0.06,3
1240,10.90,3
1241,10.91,3
1242,9.51,3
1243,14.89,3
1244,9.47,3
1245,9.03,3
1246,14.30,3
1247,16.48,3
1248,11.21,3
1249,Disregard results. Specimen incorrectly identified.,3
1250,11.18,3
1251,11.16,3
1252,8.78,3
1253,11.12,3
1254,17.10,3
1255,9.42,3
1256,10.60,3
1257,11.09,3
1258,8.95,3
1259,11.03,3
1260,9.37,3
1261,14.37,3
1262,4.1,3
1263,11.55,3
1264,13.94,3
1265,11.46,3
1266,7.94,3
1267,11.59,3
1268,9.85,3
1269,11.60,3
1270,9.88,3
1271,6.6,3
1272,11.53,3
1273,5.5,3
1274,13.91,3
1275,10.52,3
1276,13.85,3
1277,10.66,3
1278,11.68,3
1279,4.8,3
1280,9.35,3
1281,14.26,3
1282,11.47,3
1283,10.77,3
1284,11.50,3
1285,14.27,3
1286,14.25,3
1287,Patient refused collection,2
1288,12.09,2
1289,10.64,2
1290,Test reordered on another CCHS MRN.,2
1291,Patient discharged,2
1292,10.82,2
1293,10.68,2
1294,12.19,2
1295,11.04,2
1296,see below,2
1297,10.99,2
1298,10.74,2
1299,10.87,2
1300,12.12,2
1301,Ignore results. Specimen was contaminated,2
1302,10.89,2
1303,Patient expired,2
1304,Specimen collected in wrong container type.,2
1305,10.4,2
1306,6.5,2
1307,Ignore results. Specimen hemolyzed,2
1308,10.73,2
1309,10.79,2
1310,5.9,2
1311,11.05,2
1312,11.06,2
1313,11.89,2
1314,11.88,2
1315,11.86,2
1316,4.7,2
1317,10.50,2
1318,11.82,2
1319,11.52,2
1320,11.80,2
1321,10.51,2
1322,11.56,2
1323,11.58,2
1324,11.77,2
1325,5.6,2
1326,11.72,2
1327,11.67,2
1328,4.2,2
1329,11.39,2
1330,11.37,2
1331,12.05,2
1332,22.79,2
1333,11.08,2
1334,11.11,2
1335,11.13,2
1336,Unable to assay. Specimen too old to perform test.,2
1337,11.20,2
1338,12.04,2
1339,11.93,2
1340,12.03,2
1341,3.5,2
1342,3.7,2
1343,11.97,2
1344,11.94,2
1345,10.56,2
1346,5.3,2
1347,16.13,2
1348,12.32,2
1349,14.69,2
1350,14.53,2
1351,15.93,2
1352,14.59,2
1353,14.62,2
1354,14.65,2
1355,17.71,2
1356,14.70,2
1357,14.90,2
1358,17.51,2
1359,14.74,2
1360,14.77,2
1361,17.37,2
1362,14.80,2
1363,14.82,2
1364,14.51,2
1365,18.09,2
1366,8.6,2
1367,14.44,2
1368,18.31,2
1369,14.36,2
1370,12.35,2
1371,14.33,2
1372,14.31,2
1373,16.21,2
1374,9.8,2
1375,7.4,2
1376,14.18,2
1377,14.17,2
1378,9.82,2
1379,14.15,2
1380,14.14,2
1381,14.87,2
1382,14.94,2
1383,14.10,2
1384,16.28,2
1385,15.40,2
1386,16.65,2
1387,16.64,2
1388,15.48,2
1389,15.86,2
1390,16.59,2
1391,16.45,2
1392,16.24,2
1393,15.67,2
1394,15.70,2
1395,15.73,2
1396,16.44,2
1397,15.80,2
1398,15.81,2
1399,9.2,2
1400,16.66,2
1401,15.90,2
1402,15.30,2
1403,15.25,2
1404,16.86,2
1405,15.18,2
1406,8.86,2
1407,9.4,2
1408,17.04,2
1409,15.05,2
1410,8.8,2
1411,16.25,2
1412,7.5,2
1413,8.77,2
1414,17.19,2
1415,14.95,2
1416,16.30,2
1417,14.11,2
1418,14.08,2
1419,12.81,2
1420,13.06,2
1421,15.96,2
1422,13.01,2
1423,9.19,2
1424,12.99,2
1425,16.02,2
1426,8.43,2
1427,12.97,2
1428,12.96,2
1429,12.95,2
1430,12.94,2
1431,12.92,2
1432,10.30,2
1433,12.85,2
1434,12.72,2
1435,8.5,2
1436,12.66,2
1437,12.62,2
1438,12.61,2
1439,12.59,2
1440,6.7,2
1441,16.17,2
1442,12.52,2
1443,12.51,2
1444,12.50,2
1445,12.49,2
1446,12.46,2
1447,12.40,2
1448,12.39,2
1449,12.37,2
1450,14.07,2
1451,13.09,2
1452,13.15,2
1453,13.87,2
1454,13.65,2
1455,16.20,2
1456,13.72,2
1457,13.75,2
1458,13.77,2
1459,13.81,2
1460,13.89,2
1461,13.56,2
1462,13.90,2
1463,13.92,2
1464,13.93,2
1465,13.96,2
1466,9.87,2
1467,14.02,2
1468,10.23,2
1469,13.59,2
1470,13.51,2
1471,13.50,2
1472,7.9,2
1473,13.20,2
1474,13.22,2
1475,13.23,2
1476,13.29,2
1477,10.2,2
1478,8.54,2
1479,19.95,2
1480,13.40,2
1481,13.42,2
1482,13.47,2
1483,16.32,2
1484,SPECIMEN HEMOLYZED,1
1485,Specimen drawn in wrong tube.,1
1486,9.1,1
1487,Test inadvertently not performed,1
1488,PT EXPIRED,1
1489,10.54,1
1490,MISLABELED,1
1491,LCAN LOCATION TOUTING ERROR,1
1492,CONVERTED TO ISTAT,1
1493,0.1,1
1494,10.48,1
1495,10.49,1
1496,10.25,1
1497,10.5,1
1498,10.1,1
1499,10.0,1
1500,Specimen icteric,1
1501,Unable to quantitate due to age of specimen.,1
1502,Unable to assay. Analytical difficulty.,1
1503,Unable to assay due to viscosity of specimen.,1
1504,0.07,1
1505,"DUPLICATE ORDER,PATIENT CREDITED",1
1506,Ignore results.  Ordered on wrong patient.,1
1507,9.0,1
1508,Ignore results.  Specimen mislabeled.,1
1509,10.3,1
1510,17.11,1
1511,10.92,1
1512,18.02,1
1513,18.23,1
1514,18.18,1
1515,18.16,1
1516,18.15,1
1517,18.07,1
1518,18.03,1
1519,17.92,1
1520,18.49,1
1521,17.90,1
1522,17.83,1
1523,17.74,1
1524,17.69,1
1525,17.68,1
1526,17.67,1
1527,18.33,1
1528,18.50,1
1529,19.29,1
1530,18.80,1
1531,19.24,1
1532,19.20,1
1533,19.18,1
1534,19.08,1
1535,19.01,1
1536,18.99,1
1537,18.79,1
1538,18.52,1
1539,18.77,1
1540,18.75,1
1541,18.66,1
1542,18.62,1
1543,18.59,1
1544,18.54,1
1545,17.63,1
1546,17.44,1
1547,17.41,1
1548,16.55,1
1549,16.77,1
1550,16.76,1
1551,16.72,1
1552,16.67,1
1553,16.63,1
1554,16.61,1
1555,16.52,1
1556,17.39,1
1557,16.51,1
1558,16.49,1
1559,16.41,1
1560,16.37,1
1561,16.34,1
1562,16.33,1
1563,16.78,1
1564,16.80,1
1565,16.82,1
1566,16.88,1
1567,16.90,1
1568,16.96,1
1569,16.98,1
1570,17.05,1
1571,17.06,1
1572,17.09,1
1573,17.20,1
1574,17.22,1
1575,17.23,1
1576,17.24,1
1577,17.26,1
1578,17.30,1
1579,17.32,1
1580,19.26,1
1581,19.30,1
1582,11.0,1
1583,23.29,1
1584,24.91,1
1585,24.17,1
1586,24.11,1
1587,23.81,1
1588,23.73,1
1589,23.63,1
1590,23.06,1
1591,25.20,1
1592,22.54,1
1593,22.46,1
1594,22.33,1
1595,22.29,1
1596,22.18,1
1597,21.96,1
1598,24.93,1
