,index,insurance2
436,ANTHEM PREFERRED PRIM PLUS,150
437,ANTHM DL ADVG MCR OP,150
438,CARE WORKS OF OHIO,150
439,INTL GEO BLUE,149
440,UHC COMPASS HIX FL,148
441,UNITED HEALTHCARE OPTIONS,148
442,CAREWORKS MCO,147
443,AETNA INDEMNITY,146
444,LIFE TRAC NETWORK ALLIANZ LIFE,145
445,MMO MUTUAL HLTH SVCS,145
446,INTERNATIONAL GENERIC,143
447,MMO SUPERMED,140
448,INTL ATLANTIC MEDICAL,138
449,TRICARE EAST,138
450,UNITED PPO GENERIC,137
451,INTL EMBASSY UAE MILITARY,136
452,AETNA TRANSPLANT,136
453,AMISH CHURCHFUND POLICY,136
454,888 OHIO COMP MCO,135
455,VALUE OPTNS BEH HLTH,135
456,BCBS MEDICARE PPO OTHER,135
457,INDEPENDENT HLTH MDCR HMO/PPO,132
458,BLUE CROSS HMO,132
459,UHC NHP HMO,131
460,BUCKEYE MYCARE MEDICARE,130
461,ATLANTIC MEDICAL INS,129
462,UHC HLTHCARE,128
463,UHC PPO,127
464,PARAMOUNT PREFERRED,127
465,HUMANA CLEVELAND CLINIC PREFERRED,127
466,INTL SANUS HEALTH,124
467,AETNA CHOICE POS,124
468,NORTHERN GROUP SERVICES,122
469,ADVANTRA MDCR HMO IP,122
470,UNITED INDEMNITY GENERIC,122
471,MEDICARE UNITED HEALTHCAR,120
472,UNITED HEALTHCARE CHOICE EPO,120
473,ANTHEM MEDIBLUE PRIME SELECT,120
474,OHIO HLTH CHOICE PLAN,120
475,MMO PPO EXCHANGE PLN,119
476,SUMMA MEDICARE ADVANTAGE,118
477,CORESOURCE,118
478,AVMED CHOICE,118
479,MEDICARE UNITEDHEALTHCARE,118
480,CIGNA HEALTHCARE HMO OPN ACCES,117
481,LOWES HEALTH DESIGN PLUS,116
482,MHS AKRON ONA,116
483,MMO MEDADVANTAGE SELECT PPO,115
484,PARAMOUNT HEALTH CARE INC,114
485,OHIO HEALTH CHOICE,113
486,WELLCARE MEDICARE HMO,111
487,ALLIED BENEFIT SYSTEMS,111
488,SUMMACARE HMO,110
489,BLUE PREFERRED EPO,110
490,OON GENERIC,110
491,GOLDEN RULE,109
492,INTERNATIONAL UHC,108
493,AETNA NAP,108
494,CIGNA HEALTHCARE NTWK OPEN ACC,108
495,SUNSHINE HEALTH HIX,108
496,ANTHEM SILVER DIRECTACCES,106
497,AETNA MERITAIN HLTH,106
498,AETNA QHP,105
499,CHAMPVA CENTER,105
500,HUMANA HMO CHOICE,105
501,HEALTH AMERICA MDCR HMO,104
502,AULTCARE HEALTH PLAN,104
503,NORTHCOAST MINISTRY,104
504,HUMANA MEDCRE PPO IP,103
505,HUMANA PREFERRED,103
506,INTL EMBASSY QATAR MEDICAL,103
507,OXFORD - UNITED HEALTHCARE,103
508,AETNA MHBP,103
509,CIGNA HEALTHCARE HMO,103
510,COVENTRY HEALTH CARE,101
511,WELLCARE MDCR HMO IP,101
512,UHC NAVIGATE PLUS,100
513,KUWAIT OIL CO,100
514,UMR CCHS FL STAFF,99
515,UHC GROUP MEDICARE ADVANTAGE HMO,99
516,SUMMACARE PREFERRED PPO,98
517,CIGNA HEALTHCARE POS,97
518,KUWAIT EMBASSY DEFENSE,97
519,VA VETERANS CHOICE,97
520,MEDICARE MMO,97
521,HEALTH PLAN UPPER OHIO VALLEY,96
522,PARAMOUNT ADVANTAGE HMO,96
523,AETNA CORESOURCE,96
524,MMO CLEVELAND CLINIC CHOICE HMO,95
525,SUMMACARE BEH HLTH,95
526,AETNA GLOBAL BENEFITS,94
527,HEALTH CARE PLAN/HMO GRP,94
528,HEALTHSPAN INC,93
529,EMERALD HLTH NETWORK PPO,93
530,ZZZUHC CHOICE PLUS OPEN ACC,93
531,MOLINA SILVER HIX,93
532,CHAMPUS,93
533,LIABILITY INS/AUTO,92
534,SEMINOLE TRIBE HLTH,90
535,COVENTRY SUMMIT MEDICARE HMO,90
536,"MULTIPLAN ,INC GROUP",90
537,UHC HLTH MULTIPLN,89
538,HEALTH OHIO INC,89
539,WEST VA DEPT OF WELFARE,89
540,MEDICAL MUTUAL TRADITIONAL,89
541,PRIVATE HLTHCARE SYST,88
542,SUMMACARE MEDCRE IP,88
543,BLUE MEDICARE HMO IP,88
544,GWH CIGNA POS,88
545,UHC ALL SAVERS,86
546,CIGNA CHOICEFUND OAPLUS IN,86
547,"HEALTHSPAN,INC.",86
548,BWC MCO COMP MANAGED CARE SERV,85
549,TRADITIONAL BLUE MEDICARE PPO,85
550,EXCELLUS MDCR BLUE PPO,84
551,PARAMOUNT HLTH CARE,84
552,HUMANA MEDCRE HMO OP,83
553,KAISER FOUNDATION HEALTH,82
554,PRIORITY HEALTH PLAN,82
555,BLUE CROS MCR PPO IP,82
556,CIGNA HEALTHCARE NETWORK,81
557,CARESOURCE EXCHG PLN,80
558,AETNA SELECT,80
559,COFINITY,79
560,DEPT OF VETERANS AFFAIRS,79
561,UNIVERSITY COMP CARE,79
562,THP PPO,79
563,"SHEALKEY UNICARE,INC.",78
564,CAREWORKS OF OHIO,78
565,HOMETOWN HOSP HLTH PLAN,78
566,UNITED POS GENERIC,78
567,HEALTHAMERICA PPO,78
568,FIRST HEALTH NETWORK GENERIC,78
569,COMP MGMT HEALTH SYS,77
570,ANTHEM MEDICARE PFFS,77
571,THP HMO,76
572,ANTHEM PATHWAY OON,76
573,NALC/AFFORDABLE,76
574,SAFE PROGRAM,75
575,MYCARE AETNA MEDICARE,75
576,AETNA ASA GENERIC,75
577,CORVEL CORP,74
578,MMO NAS,74
579,2ND COMMERCIAL INS,74
580,AMISH CHURCH FUND POLICY,73
581,ADVANTRA MDCR PPO OP,73
582,WESTLAKE VLLG NRS HM,73
583,TRICARE GENERIC,72
584,UHC COMPASS HIX,72
585,CENTRAL STATES,72
586,UAE EMBASSY MINISTRY OF HEALTH,72
587,INTL SAUDI ARABIA EMBASSY-MEDICAL,70
588,CARESOURCE MDCR IP,70
589,PRIMETIME HEALTH MDCR PPO,70
590,BCBS NETWORKBLUE,69
591,AETNA HEALTH NETWORK ONLY,69
592,STUDENT RESOURCES,68
593,ADVANTRA FREEDOM,68
594,EMH REG HLTHCARE SYS,68
595,THE EMPIRE PLAN HOSP ONLY,67
596,BCBS PPO GENERIC,67
597,PARKVIEW HLTH SYSTEMS - SMCP,67
598,HUMANA PFFS,67
599,HUMANA CLEVELAND CLINIC PREFERRED HMO SNP,67
600,MEDICARE RAILROAD,67
601,HEALTH PLAN OF UPPER OH V,66
602,"CORESOURE,INC",66
603,UNITED HEALTHCARE INDEM,66
604,SANUS HEALTH CORP,66
605,AETNA MERITAIN HEALTH CHOICE POS II,65
606,BCBS MEDICAID HMO OOS,65
607,CIGNA PPO GENERIC,65
608,UHC HERITAGE PLUS,63
609,HUMANA,63
610,CARESOURCE JUST FOR ME HIX,62
611,MEDICAL BENEFITS MUTUAL,62
612,AETNA HMO GENERIC,62
613,888 OHIOCOMP,61
614,BENEFIT SERVICES,61
615,SHEAKLEY UNICARE,61
616,OLYMPUS MGD HLTH CARE,60
617,SENIOR BLUE HMO,59
618,HEALTHSCOPE BENEFITS (CNA),59
619,UHC OPTUMHEALTH TRANSPLANT FL,59
620,AETNA MEDICARE PFFS,59
621,SELF PAY MEDICARE PART A ONLY,59
622,MEDICAID FL PSN,59
623,COMPMGMT HEALTH SYS,58
624,MMO ADVANTG PPO OP,57
625,BCBS FL BLUESELECT,57
626,BCBS HMO GENERIC,57
627,FIRST HLTH NETWORK,57
628,INDEPENDENT HLTH MDCR HMO,56
629,ADVANTAGE BUCKEYE MDCRHMO,56
630,SHEAKLEY MCO,56
631,KENTUCKY MEDICAID HOSP ONLY,56
632,COVENTRY MA,56
633,WELLS FARGO TPA PPO,55
634,INTL QUALITY HEALTH,55
635,CARE MGMT NTWK PPO,55
636,AETNA OPEN ACCESS PPO,55
637,UHC GOLDEN RULE,54
638,FREEDOM BLUE PFFS,54
639,AETNA STUDENT MGD HLTH PLAN,53
640,AETNA PPO GENERIC,53
641,CAREPLUS MDCR HMO IP,53
642,MMO SUPERMED PLUS PSYCH,52
643,MOUNT CARMEL HEALTH PLAN,52
644,CIGNA PAYER SOLUTIONS OAP,52
645,AETNA WHIRLPOOL HEALTHSCOPE BENEFITS,52
646,WELLCARE MEDICARE PFFS,51
647,UHC WORLDWIDE,51
648,ADVANTRA MDCR HMO OP,50
649,HEALTHPARTNERS,50
650,INT'L PT WITHOUT INS,50
651,J P FARLEY,50
652,CIGNA HEALTH CARE HMO,50
653,ANTHEM PATHWAY HMO HIX,50
654,CIGNA MVP HEALTH CARE,50
655,EMPLOYER HEALTH INS,49
656,COVENTRY CARELINK HMO,49
657,UHC MCR ADVG PPO OP,48
658,AETNA MC,48
659,UHC NHP POS ACCESS,48
660,SECURITY BLUE,48
661,MMO CLECF CHOICE HMO,48
662,UHC COMPASS HIX OH,47
663,COVENTRY CARELINK PPO,47
664,HUMANA HIX,46
665,MMO HMO HEALTH OHIO,46
666,UHC BEHAVIORAL HLTH,46
667,MMO SUPERMED PPO TEAMSTERS,46
668,OHIO MEDICAID PSYCH,45
669,HMO HEALTH OHIO,45
670,MEDICA,45
671,MYCARE CARESOURCE MEDICAID,45
672,UNITED HEALTHCARE - UMR,44
673,SKILLED NURSING/NURSING HOME,44
674,UHC MEDICAL RESOURCES,44
675,INTL UAE EMBASSY MILITARY,44
676,BCBS FL PPC,44
677,AETNA INDEMNITY GENERIC,43
678,AULTCARE SELECT NETWORK HIX,43
679,SC SELECT PPO,43
680,TRICARE WEST,42
681,INTL AETNA GLOBAL BENEFITS,42
682,PREFERRED CARE PARTNERS CCF FL,42
683,UHC POS,42
684,UHC AARP MEDICARECOMPLETE CHOICE WELLMED,41
685,UPMC PPO,41
686,BUCKEYE ADVANTAGE MEDICARE HMO,41
687,ANTHEM SILVER DIRECTACCESS,41
688,ROYAL CARIBBEAN CRUISE LINES,41
689,THP SECURECHOICE MDCR PPO,40
690,SHEAKLEY UNICOMP MCO,40
691,UHC COMMUNITY PLAN MEDICAID AKRON BH,40
692,AVMED MEDCRE HMO OP,40
693,MOLINA BRONZE HIX,40
694,MEDINA COUNTY SHERIFF,40
695,3-HAB,40
696,UHC NHP POS,40
697,MEDICARE SECURE CARE,39
698,HEALTHSMART,39
699,GEHA,39
700,ADVOCARE,39
701,PARKVIEW HEALTH SYSTEMS I,39
702,ANTHEM 332,39
703,ALLIANCE HLTH CARE WEBTPA,38
704,COVENTRY HEALTH CARE OF FL HMO,38
