,index,lymph_discharge_value
142,23.9,1376
143,9.8,1375
144,23.1,1370
145,8.6,1370
146,8.8,1369
147,23.8,1368
148,24.2,1367
149,8.9,1360
150,23.3,1358
151,22.8,1356
152,23.7,1352
153,9.2,1350
154,24.7,1345
155,22.2,1342
156,23.5,1336
157,9.3,1336
158,23.4,1330
159,29.0,1329
160,24.1,1327
161,24.5,1325
162,9.7,1324
163,23.2,1321
164,8.2,1317
165,22.5,1315
166,9.1,1311
167,8.5,1310
168,24.4,1304
169,7.8,1301
170,8.1,1301
171,28.0,1300
172,7.9,1300
173,8.3,1300
174,24.8,1299
175,24.3,1290
176,25.3,1288
177,24.6,1282
178,23.6,1273
179,25.6,1270
180,8.4,1259
181,25.5,1256
182,7.7,1256
183,25.2,1256
184,24.9,1255
185,7.6,1244
186,25.4,1242
187,7.5,1234
188,25.7,1230
189,5.0,1226
190,26.2,1224
191,6.9,1223
192,26.1,1222
193,7.2,1219
194,7.3,1217
195,25.1,1213
196,25.9,1210
197,6.6,1209
198,27.5,1203
199,25.8,1197
200,27.1,1196
201,7.4,1194
202,26.6,1188
203,26.8,1186
204,26.5,1179
205,27.7,1178
206,26.9,1177
207,27.3,1177
208,26.3,1172
209,26.4,1171
210,6.8,1170
211,26.7,1170
212,27.8,1165
213,6.1,1158
214,7.1,1158
215,27.4,1152
216,30.0,1151
217,31.0,1142
218,6.7,1129
219,28.1,1128
220,6.5,1120
221,27.6,1112
222,27.2,1112
223,6.4,1103
224,28.5,1101
225,6.3,1101
226,28.2,1100
227,28.3,1097
228,27.9,1095
229,28.9,1093
230,28.8,1078
231,28.6,1078
232,28.4,1077
233,29.3,1060
234,29.2,1058
235,5.9,1042
236,28.7,1038
237,29.5,1037
238,29.7,1031
239,29.1,1028
240,5.6,1025
241,4.0,1023
242,30.1,1021
243,6.2,1019
244,29.4,1006
245,5.8,1003
246,31.3,1002
247,29.6,1001
248,5.2,988
249,33.0,986
250,5.5,983
251,30.7,981
252,32.0,978
253,5.7,978
254,29.8,977
255,30.2,976
256,5.3,976
257,29.9,963
258,31.4,960
259,30.9,960
260,30.5,957
261,5.4,948
262,30.8,946
263,30.4,945
264,34.0,941
265,30.3,937
266,31.7,933
267,31.5,926
268,30.6,912
269,32.5,905
270,31.6,903
271,5.1,902
272,31.9,902
273,31.1,898
274,32.3,859
275,31.2,857
276,31.8,853
277,32.8,851
278,33.3,846
279,35.0,843
280,4.8,840
281,4.9,838
282,32.1,834
283,32.6,804
284,Unable to assay. Clotted specimen.,802
285,32.2,800
286,32.7,798
287,4.7,795
288,32.4,795
289,4.6,793
290,33.2,786
291,32.9,783
292,4.3,781
293,4.4,772
294,33.5,770
295,34.1,769
296,33.1,756
297,33.7,752
298,33.6,749
299,33.8,746
300,33.4,746
301,36.0,738
302,33.9,735
303,34.4,731
304,34.7,726
305,34.8,725
306,4.5,719
307,37.0,718
308,34.2,716
309,34.3,711
310,34.6,709
311,34.5,708
312,4.2,707
313,35.3,704
314,Account Credited,702
315,35.2,680
316,3.0,678
317,34.9,665
318,35.5,658
319,35.1,652
320,35.9,650
321,35.7,640
322,4.1,636
323,35.4,634
324,35.6,633
325,3.5,618
326,35.8,616
327,36.3,616
328,3.8,615
329,3.7,612
330,36.5,602
331,36.2,595
332,36.1,594
333,3.9,593
334,36.4,586
335,38.0,585
336,36.6,574
337,37.5,568
338,37.2,567
339,36.8,566
340,36.7,566
341,37.6,552
342,3.6,548
343,39.0,547
344,37.3,545
345,37.1,536
346,40.0,530
347,36.9,530
348,3.4,528
349,37.8,525
350,37.9,524
351,38.3,518
352,37.7,515
353,38.1,513
354,37.4,506
355,38.5,486
356,38.2,486
357,38.6,484
358,39.2,471
359,38.4,465
360,39.8,457
361,38.8,454
362,39.4,451
363,39.7,448
364,3.3,447
365,3.1,444
366,38.9,443
367,39.6,440
368,3.2,437
369,39.1,436
370,38.7,433
371,41.0,431
372,39.5,426
373,39.9,423
374,39.3,420
375,2.0,415
376,42.0,412
377,40.2,403
378,40.6,402
379,2.9,395
380,40.5,386
381,43.0,383
382,2.6,382
383,40.8,382
384,41.3,378
385,41.1,374
386,41.5,373
387,40.1,373
388,40.4,371
389,40.3,366
390,44.0,364
391,41.2,363
392,40.7,363
393,40.9,353
394,41.6,347
395,42.4,347
396,2.8,345
397,42.9,343
398,2.7,343
399,41.4,335
400,41.9,333
401,41.8,332
402,42.2,325
403,42.1,323
404,2.5,320
405,Unable to report,319
406,41.7,313
407,42.5,304
408,46.0,301
409,43.3,295
410,43.8,291
411,43.1,287
412,42.3,283
413,42.6,282
414,45.0,277
415,42.7,274
416,43.2,272
417,43.5,270
418,42.8,267
419,43.7,257
420,2.4,254
421,47.0,252
422,44.4,251
423,43.9,246
424,44.1,246
425,48.0,245
426,43.6,245
427,44.3,243
428,44.6,241
429,43.4,238
430,44.8,235
431,45.5,231
432,44.9,230
433,2.3,227
434,44.2,222
435,2.2,216
436,45.3,215
437,44.7,214
438,45.1,214
439,46.7,206
440,45.2,206
441,45.6,204
442,44.5,203
443,46.2,202
444,46.1,198
445,4,197
446,45.8,197
447,7,195
448,49.0,194
449,8,194
450,45.9,191
451,46.4,190
452,45.4,189
453,6,188
454,2.1,188
455,47.5,186
456,45.7,185
457,1.0,185
458,46.5,184
459,1.7,183
460,47.6,175
461,47.2,174
462,46.9,174
463,46.3,173
464,46.8,173
465,5,172
466,50.0,172
467,10,170
468,1.8,165
469,46.6,165
470,47.4,161
471,51.0,160
472,47.3,160
473,47.1,159
474,48.2,153
475,1.9,151
476,47.7,150
477,47.8,148
478,3,148
479,48.4,145
480,11,145
481,9,143
482,48.9,142
483,48.5,141
484,48.1,141
485,49.5,139
486,12,137
487,48.8,137
488,52.0,136
489,48.7,133
490,2,133
491,47.9,132
492,14,128
493,Too Few Cells To Do Differential,126
494,49.3,125
495,48.6,125
496,54.0,125
497,49.4,124
498,1.6,124
499,48.3,123
500,49.2,119
501,53.0,118
502,16,112
503,49.1,111
504,13,108
505,0.0,104
506,50.3,103
507,17,102
508,49.6,101
509,49.8,101
510,50.4,99
511,57.0,98
512,50.7,98
513,55.0,98
514,49.9,95
515,50.2,95
516,15,94
517,20,93
518,1.5,91
519,51.4,90
520,50.5,90
521,49.7,90
522,1.4,90
523,50.9,90
524,0.9,87
525,56.0,87
526,50.1,86
527,51.7,85
528,50.6,85
529,19,85
530,51.5,84
531,50.8,83
532,51.6,80
533,51.1,80
534,51.9,79
535,25,78
536,24,78
537,51.3,78
538,52.4,77
539,21,75
540,52.2,75
541,1,75
542,52.1,73
543,52.8,72
544,51.2,72
545,23,69
546,61.0,69
547,52.3,69
548,52.6,69
549,52.9,67
550,53.2,66
551,18,65
552,58.0,65
553,53.7,65
554,53.1,64
555,54.2,63
556,59.0,63
557,54.8,62
558,60.0,61
559,52.7,60
560,51.8,59
561,1.2,59
562,53.4,58
563,Unable to assay. Quantity not sufficient.,58
564,53.3,57
565,52.5,57
566,54.6,55
567,54.7,52
568,54.5,52
569,1.3,52
570,53.5,51
571,53.8,50
572,26,50
573,1.1,49
574,54.3,49
575,63.0,48
576,28,47
577,53.9,46
578,22,46
579,53.6,46
580,27,46
581,64.0,45
582,Duplicate request,45
583,62.0,44
584,55.9,43
585,56.6,42
586,55.4,42
587,29,42
588,55.1,42
589,66.0,41
590,54.1,40
591,56.3,40
592,55.6,40
593,55.7,40
594,65.0,39
595,54.4,39
596,34,38
597,56.8,38
598,55.5,37
599,33,37
600,Unable to assay. No specimen received.,37
601,31,36
602,56.4,35
603,69.0,35
604,54.9,34
605,55.8,34
606,32,34
607,30,33
608,67.0,33
609,55.2,32
610,45,32
611,59.3,31
612,36,31
613,56.2,31
614,57.9,31
615,56.5,31
616,57.6,31
617,57.2,30
618,70.0,30
619,57.5,30
620,35,30
621,58.2,30
622,56.1,29
623,72.0,29
624,68.0,29
625,37,29
626,38,29
627,57.4,28
628,Unable to assay. Specimen incorrectly identified.,28
629,57.1,27
630,71.0,27
631,60.3,26
632,58.3,26
633,0.8,25
634,57.8,25
635,58.7,25
636,76.0,24
637,55.3,24
638,59.1,24
639,74.0,24
640,57.3,23
641,57.7,23
642,59.4,23
643,56.9,23
644,56.7,22
645,58.6,22
646,43,22
647,75.0,22
648,58.9,21
649,60.5,21
650,41,21
651,40,21
652,58.5,21
653,62.1,20
654,44,20
655,87.0,20
656,59.2,20
657,59.8,20
658,42,19
659,73.0,19
660,39,19
661,61.5,19
662,Microtainer specimen,19
663,63.8,19
664,58.1,18
665,80.0,18
666,82.0,18
667,55,18
668,60.9,18
669,77.0,18
670,58.4,18
671,53,18
672,59.9,17
673,51,17
674,62.6,17
675,59.5,17
676,59.6,17
677,61.1,16
678,61.7,16
679,48,16
680,47,16
681,61.4,16
682,49,15
683,52,15
684,58,15
685,83.0,15
686,60.7,15
687,50,15
688,78.0,14
689,0.7,14
690,60.1,14
691,60.2,14
692,60.4,14
693,56,14
694,94.0,14
695,88.0,13
696,59.7,13
697,62.2,13
698,58.8,13
699,61.3,13
700,62.5,13
701,54,13
702,98.0,13
703,60.6,12
704,90.0,12
705,89.0,12
706,61.2,12
707,REVISED,12
708,60.8,12
709,62.4,12
710,79.0,12
711,62.8,12
712,66.6,12
713,63.2,11
714,81.0,11
715,62,11
716,0.4,11
717,63.7,11
718,63.3,11
719,96.0,11
720,63.1,11
721,61.6,11
722,57,11
723,46,11
724,60,10
725,63.9,10
726,0.5,9
727,Manual review follows,9
728,67.4,9
729,84.0,9
730,63.5,9
731,66.1,9
732,65.5,9
733,62.3,9
734,65.3,9
735,64.2,9
736,64.9,9
737,61.8,9
738,Requisitioning entry error,9
739,85.0,8
740,76,8
741,86.0,8
742,92.0,8
743,97.0,8
744,Unable to quantitate due to possible contamination.,8
745,Unable to assay. Specimen improperly collected/handled.,8
746,69.9,8
747,62.9,8
748,68.3,8
749,67.8,8
750,68,8
751,65,8
752,65.1,8
753,67.1,8
754,68.5,8
755,66.4,8
756,61.9,8
757,66,8
758,65.9,8
759,65.6,8
760,65.2,7
761,91.0,7
762,69,7
763,99.0,7
764,66.3,7
765,67,7
766,82,7
767,67.5,7
768,67.6,7
769,64.7,7
770,64.8,7
771,59,7
772,64.1,7
773,61,7
774,63.6,7
775,64.6,6
776,Unable to assay. Possible interfering substance(s) present.,6
777,67.7,6
778,0.6,6
779,69.4,6
780,67.2,6
781,62.7,6
782,66.2,6
783,63,6
784,93.0,6
785,64.4,6
786,64,6
787,64.3,6
788,65.7,6
789,70.8,5
790,Ignore results. Specimen was contaminated,5
791,71.1,5
792,74.2,5
793,73.6,5
794,73.8,5
795,66.5,5
796,Specimen received unlabelled.,5
797,70.1,5
798,63.4,5
799,Cancelled by clinician,5
800,78.6,5
801,72.4,5
802,72.8,5
803,69.3,5
804,76.5,5
805,69.7,5
806,69.6,5
807,68.6,5
808,69.8,5
809,69.1,4
810,67.3,4
811,95.0,4
812,95,4
813,71.7,4
814,68.1,4
815,65.4,4
816,77.8,4
817,71.5,4
818,74.8,4
819,84,4
820,74.7,4
821,76.2,4
822,66.7,4
823,86,4
824,65.8,4
825,72.6,4
826,72.5,4
827,89,4
828,68.2,4
829,70.6,4
830,68.9,4
831,71.3,4
832,81.1,4
833,"Test accessioning error,please disregard.",4
834,72,4
835,64.5,4
836,73.5,4
837,69.5,4
838,74,3
839,77.6,3
840,72.7,3
841,90,3
842,76.4,3
843,79.8,3
844,76.9,3
845,70.9,3
846,80,3
847,88.2,3
848,70.2,3
849,70.3,3
850,0.2,3
851,70.5,3
852,72.2,3
853,67.9,3
854,76.7,3
855,78.5,3
856,75,3
857,77.5,3
858,82.4,3
859,96,3
860,"CANCELLED,Specimen not collected or received",3
861,73.4,3
862,71.8,3
863,71.6,3
864,94,3
865,68.4,3
866,78.8,3
867,68.7,3
868,93,3
869,92,3
870,74.3,3
871,98.2,2
872,75.2,2
873,74.9,2
874,Ignore results. Specimen mislabeled,2
875,73,2
876,Ignore results.  Specimen clotted.,2
877,Ignore results. Specimen clotted.,2
878,98,2
879,76.6,2
880,Identity unclear. Specimen labelled incorrectly.,2
881,90.1,2
882,70,2
883,73.7,2
884,66.8,2
885,82.3,2
886,81.4,2
887,73.2,2
888,Test inadvertently not performed,2
889,83,2
890,73.1,2
891,83.3,2
892,77.4,2
893,80.7,2
894,66.9,2
895,80.4,2
896,80.2,2
897,81.5,2
898,74.4,2
899,85,2
900,73.9,2
901,77,2
902,79.4,2
903,76.8,2
904,70.4,2
905,IMPCOL,1
906,Clerical Error,1
907,0.3,1
908,Disregard results.,1
909,Ignore results. Specimen hemolyzed,1
910,Disregard results. Specimen incorrectly identified.,1
911,74.5,1
912,71.9,1
913,69.2,1
914,FEW REACTIVE LYMPH SEEN ON THE SLIDE,1
915,Specimen no longer available for testing.,1
916,MISLABELED,1
917,73.3,1
918,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
919,Specimen drawn in wrong tube.,1
920,Specimen contaminated,1
921,SPECIMEN CLOTTED,1
922,Unable to assay.  Unable to locate specimen.,1
923,SEE MANUAL DIFF BELOW,1
924,71.2,1
925,Called to,1
926,Results called to and read back by:,1
927,71.4,1
928,100.0,1
929,Unable to assay. Analytical difficulty.,1
930,Unable to assay. Broken/spilled in transit.,1
931,Patient expired,1
932,Patient discharged,1
933,68.8,1
934,Medical record number mismatch. Disregard results.,1
935,Unable to assay. Primary specimen no longer available for additional,1
936,77.9,1
937,91.5,1
938,CNDUPL,1
939,82.9,1
940,77.3,1
941,77.2,1
942,82.1,1
943,82.2,1
944,77.1,1
945,82.7,1
946,83.1,1
947,81.2,1
948,83.4,1
949,83.5,1
950,83.6,1
951,84.1,1
952,84.4,1
953,85.8,1
954,81.8,1
955,81,1
956,86.4,1
957,79.3,1
958,78.1,1
959,78.2,1
960,78.3,1
961,78.7,1
962,77.7,1
963,79.2,1
964,79.5,1
965,80.9,1
966,79.6,1
967,79.7,1
968,79.9,1
969,80.3,1
970,80.5,1
971,80.8,1
972,70.7,1
973,86.6,1
974,CLTD,1
975,75.5,1
976,75.8,1
977,93.3,1
978,75.7,1
979,95.5,1
980,75.6,1
981,96.6,1
982,75.4,1
983,86.7,1
984,99,1
985,75.3,1
986,<<DO NOT REPORT>>,1
987,ACRE,1
988,71,1
989,CLOTTED,1
990,75.9,1
991,92.2,1
992,91.8,1
993,88.4,1
994,86.8,1
995,87,1
996,87.4,1
997,87.9,1
998,88,1
999,88.3,1
1000,89.8,1
1001,76.1,1
1002,90.9,1
1003,91,1
1004,91.2,1
1005,86.2,1
1006,72.9,0
1007,REQUEST CREDITED,0
1008,93.4,0
